,GENUS,SPECIES,Match,ID_score
0,Ovis,Ovis aries,114,0.99
0,Capra,Capra hircus,113,0.99
0,Budorcas,Budorcas taxicolor,113,0.99
0,Oryx,Oryx dammah,111,0.97
0,Moschus,Moschus berezovskii,111,0.97
0,Dama,Dama dama,109,0.96
0,Cervus,Cervus canadensis,109,0.96
0,Cervus,Cervus elaphus,109,0.96
0,Odocoileus,Odocoileus virginianus texanus,108,0.95
0,Bos,Bos javanicus,105,0.94
0,Bos,Bos taurus,105,0.94
0,Bison,Bison bison bison,105,0.94
0,Bos,Bos indicus,104,0.93
0,Bos,Bos mutus,104,0.93
0,Kogia,Kogia breviceps,102,0.93
0,Bubalus,Bubalus bubalis,101,0.91
0,Bubalus,Bubalus kerabau,101,0.91
0,Equus,Equus caballus,100,0.9
0,Equus,Equus quagga,100,0.9
