,GENUS,SPECIES,Match
0,Vulpes,Vulpes vulpes,103
0,Canis,Canis lupus dingo,103
0,Vulpes,Vulpes lagopus,103
0,Acinonyx,Acinonyx jubatus,102
0,Prionailurus,Prionailurus viverrinus,102
0,Lynx,Lynx canadensis,102
0,Lynx,Lynx rufus,102
0,Nyctereutes,Nyctereutes procyonoides,102
0,Prionailurus,Prionailurus bengalensis,102
0,Neofelis,Neofelis nebulosa,102
0,Panthera,Panthera onca,101
0,Panthera,Panthera leo,101
0,Panthera,Panthera uncia,101
0,Felis,Felis catus,101
0,Canis,Canis lupus familiaris,100
0,Panthera,Panthera tigris,100
0,Mustela,Mustela lutreola,99
0,Leopardus,Leopardus geoffroyi,99
0,Mustela,Mustela erminea,99
0,Neogale,Neogale vison,99
