,GENUS,SPECIES,Match
0,Bubalus,Bubalus bubalis,133
0,Bubalus,Bubalus kerabau,132
0,Bos,Bos indicus x Bos taurus,125
0,Bos,Bos taurus,125
0,Bos,Bos javanicus,125
0,Bison,Bison bison bison,125
0,Bos,Bos indicus,124
0,Bos,Bos mutus,124
0,Moschus,Moschus berezovskii,123
0,Dama,Dama dama,120
0,Cervus,Cervus elaphus,119
0,Budorcas,Budorcas taxicolor,119
0,Cervus,Cervus canadensis,119
0,Hippopotamus,Hippopotamus amphibius kiboko,119
0,Felis,Felis catus,118
0,Oryx,Oryx dammah,118
0,Odocoileus,Odocoileus virginianus texanus,118
0,Capra,Capra hircus,117
0,Ovis,Ovis aries,117
0,Kogia,Kogia breviceps,116
0,Lynx,Lynx canadensis,116
0,Lynx,Lynx rufus,116
0,Prionailurus,Prionailurus bengalensis,116
0,Prionailurus,Prionailurus viverrinus,116
0,Acinonyx,Acinonyx jubatus,116
0,Neofelis,Neofelis nebulosa,116
0,Ursus,Ursus arctos,116
0,Ursus,Ursus americanus,116
0,Ailuropoda,Ailuropoda melanoleuca,116
0,Leopardus,Leopardus geoffroyi,115
0,Panthera,Panthera leo,115
0,Mustela,Mustela erminea,115
0,Mustela,Mustela lutreola,115
0,Mustela,Mustela nigripes,115
0,Mustela,Mustela putorius furo,115
0,Neogale,Neogale vison,115
0,Panthera,Panthera uncia,115
0,Tupaia,Tupaia chinensis,115
0,Panthera,Panthera onca,115
0,Urocitellus,Urocitellus parryii,114
0,Ursus,Ursus maritimus,114
0,Meles,Meles meles,114
0,Equus,Equus quagga,114
0,Equus,Equus caballus,114
0,Propithecus,Propithecus coquereli,114
0,Panthera,Panthera pardus,114
0,Camelus,Camelus bactrianus,114
0,Camelus,Camelus ferus,114
0,Marmota,Marmota monax,113
0,Equus,Equus asinus,113
0,Marmota,Marmota marmota marmota,113
0,Vicugna,Vicugna pacos,113
0,Galeopterus,Galeopterus variegatus,113
0,Camelus,Camelus dromedarius,113
0,Marmota,Marmota flaviventris,113
0,Lutra,Lutra lutra,113
0,Lontra,Lontra canadensis,113
0,Cynocephalus,Cynocephalus volans,112
0,Panthera,Panthera tigris,112
0,Phyllostomus,Phyllostomus discolor,112
0,Phacochoerus,Phacochoerus africanus,112
0,Odobenus,Odobenus rosmarus divergens,112
0,Diceros,Diceros bicornis minor,112
0,Neophocaena,Neophocaena asiaeorientalis,111
