,GENUS,SPECIES,Match
0,Hippopotamus,Hippopotamus amphibius kiboko,96
0,Nannospalax,Nannospalax galili,81
0,Desmodus,Desmodus rotundus,80
0,Marmota,Marmota flaviventris,80
0,Marmota,Marmota monax,80
0,Marmota,Marmota marmota marmota,80
0,Dipodomys,Dipodomys ordii,79
0,Diceros,Diceros bicornis minor,78
0,Camelus,Camelus dromedarius,78
0,Rousettus,Rousettus aegyptiacus,78
0,Condylura,Condylura cristata,77
0,Talpa,Talpa occidentalis,77
0,Meles,Meles meles,77
0,Hyaena,Hyaena hyaena,77
0,Sorex,Sorex fumeus,77
0,Cebus,Cebus imitator,76
0,Phacochoerus,Phacochoerus africanus,76
0,Leopardus,Leopardus geoffroyi,76
0,Callorhinus,Callorhinus ursinus,76
0,Phodopus,Phodopus roborovskii,76
0,Phoca,Phoca vitulina,76
0,Mustela,Mustela lutreola,76
0,Neogale,Neogale vison,76
0,Neofelis,Neofelis nebulosa,76
0,Ailuropoda,Ailuropoda melanoleuca,76
0,Mustela,Mustela erminea,76
0,Mustela,Mustela putorius furo,76
0,Erinaceus,Erinaceus europaeus,76
0,Sorex,Sorex araneus,76
0,Mustela,Mustela nigripes,76
0,Eumetopias,Eumetopias jubatus,76
0,Felis,Felis catus,76
0,Vicugna,Vicugna pacos,76
0,Panthera,Panthera uncia,75
0,Panthera,Panthera onca,75
0,Panthera,Panthera leo,75
0,Acinonyx,Acinonyx jubatus,75
0,Prionailurus,Prionailurus bengalensis,75
0,Phyllostomus,Phyllostomus discolor,75
0,Sapajus,Sapajus apella,75
0,Vulpes,Vulpes lagopus,75
0,Ursus,Ursus maritimus,75
0,Ursus,Ursus arctos,75
0,Ursus,Ursus americanus,75
0,Urocitellus,Urocitellus parryii,75
0,Tupaia,Tupaia chinensis,75
0,Lutra,Lutra lutra,75
0,Sturnira,Sturnira hondurensis,75
0,Miniopterus,Miniopterus natalensis,75
0,Callithrix,Callithrix jacchus,75
0,Lynx,Lynx canadensis,75
0,Lynx,Lynx rufus,75
0,Prionailurus,Prionailurus viverrinus,75
0,Sciurus,Sciurus carolinensis,74
0,Halichoerus,Halichoerus grypus,74
0,Mesocricetus,Mesocricetus auratus,74
0,Camelus,Camelus bactrianus,74
0,Sus,Sus scrofa domesticus,74
0,Sus,Sus scrofa,74
0,Camelus,Camelus ferus,74
0,Canis,Canis lupus dingo,74
0,Vulpes,Vulpes vulpes,74
0,Nyctereutes,Nyctereutes procyonoides,74
0,Hipposideros,Hipposideros armiger,73
0,Choloepus,Choloepus didactylus,73
0,Equus,Equus caballus,73
0,Dipodomys,Dipodomys spectabilis,73
0,Odobenus,Odobenus rosmarus divergens,73
0,Phyllostomus,Phyllostomus hastatus,73
0,Physeter,Physeter catodon,73
0,Rhinolophus,Rhinolophus sinicus,73
0,Canis,Canis lupus familiaris,73
0,Suncus,Suncus etruscus,73
0,Lontra,Lontra canadensis,73
0,Panthera,Panthera tigris,72
0,Perognathus,Perognathus longimembris pacificus,72
0,Rattus,Rattus rattus,72
0,Zalophus,Zalophus californianus,72
0,Bos,Bos javanicus,72
0,Cricetulus,Cricetulus griseus,72
0,Fukomys,Fukomys damarensis,72
0,Bos,Bos indicus x Bos taurus,72
0,Bos,Bos indicus,72
0,Ictidomys,Ictidomys tridecemlineatus,72
0,Bison,Bison bison bison,72
0,Equus,Equus quagga,72
0,Artibeus,Artibeus jamaicensis,72
0,Bos,Bos taurus,72
0,Piliocolobus,Piliocolobus tephrosceles,71
0,Equus,Equus asinus,71
0,Colobus,Colobus angolensis palliatus,71
0,Pipistrellus,Pipistrellus kuhlii,71
0,Pteropus,Pteropus giganteus,71
0,Rattus,Rattus norvegicus,71
0,Papio,Papio anubis,71
0,Mirounga,Mirounga angustirostris,71
0,Mirounga,Mirounga leonina,71
0,Bubalus,Bubalus bubalis,71
0,Bos,Bos mutus,71
0,Manis,Manis pentadactyla,71
0,Manis,Manis javanica,71
0,Panthera,Panthera pardus,71
0,Theropithecus,Theropithecus gelada,71
0,Arvicola,Arvicola amphibius,71
0,Aotus,Aotus nancymaae,71
0,Lepus,Lepus europaeus,71
0,Chlorocebus,Chlorocebus sabaeus,70
0,Ovis,Ovis aries,70
0,Budorcas,Budorcas taxicolor,70
0,Cervus,Cervus elaphus,70
0,Cervus,Cervus canadensis,70
0,Rhinopithecus,Rhinopithecus bieti,70
0,Saimiri,Saimiri boliviensis boliviensis,70
0,Suricata,Suricata suricatta,70
0,Arvicanthis,Arvicanthis niloticus,70
0,Elephas,Elephas maximus indicus,70
0,Microcebus,Microcebus murinus,70
0,Loxodonta,Loxodonta africana,70
0,Kogia,Kogia breviceps,70
0,Molossus,Molossus molossus,70
0,Rhinopithecus,Rhinopithecus roxellana,69
0,Bubalus,Bubalus kerabau,69
0,Oryctolagus,Oryctolagus cuniculus,69
0,Globicephala,Globicephala melas,69
0,Mandrillus,Mandrillus leucophaeus,69
0,Dama,Dama dama,69
