,GENUS,SPECIES,Match
0,Moschus,Moschus berezovskii,121
0,Capra,Capra hircus,113
0,Ovis,Ovis aries,111
0,Oryx,Oryx dammah,111
0,Cervus,Cervus canadensis,110
0,Cervus,Cervus elaphus,110
0,Odocoileus,Odocoileus virginianus texanus,110
0,Budorcas,Budorcas taxicolor,109
0,Dama,Dama dama,108
0,Bos,Bos taurus,106
0,Bison,Bison bison bison,106
0,Bos,Bos indicus x Bos taurus,106
0,Bos,Bos javanicus,106
0,Bubalus,Bubalus bubalis,105
0,Bos,Bos indicus,105
0,Bos,Bos mutus,105
0,Bubalus,Bubalus kerabau,105
0,Vicugna,Vicugna pacos,103
0,Kogia,Kogia breviceps,103
0,Ochotona,Ochotona princeps,103
0,Ochotona,Ochotona curzoniae,103
0,Equus,Equus caballus,102
0,Phacochoerus,Phacochoerus africanus,102
0,Erinaceus,Erinaceus europaeus,101
0,Equus,Equus quagga,101
0,Equus,Equus asinus,101
0,Camelus,Camelus bactrianus,100
0,Camelus,Camelus ferus,100
0,Sciurus,Sciurus carolinensis,99
0,Chinchilla,Chinchilla lanigera,98
0,Phocoena,Phocoena sinus,98
0,Trachypithecus,Trachypithecus francoisi,98
0,Camelus,Camelus dromedarius,98
0,Propithecus,Propithecus coquereli,98
0,Rhinopithecus,Rhinopithecus roxellana,98
0,Perognathus,Perognathus longimembris pacificus,97
0,Rhinopithecus,Rhinopithecus bieti,97
0,Nannospalax,Nannospalax galili,97
0,Talpa,Talpa occidentalis,97
0,Dipodomys,Dipodomys ordii,97
0,Diceros,Diceros bicornis minor,97
0,Felis,Felis catus,97
0,Odobenus,Odobenus rosmarus divergens,97
0,Cynocephalus,Cynocephalus volans,97
0,Panthera,Panthera uncia,97
0,Otolemur,Otolemur garnettii,97
0,Panthera,Panthera leo,97
0,Chlorocebus,Chlorocebus sabaeus,97
0,Panthera,Panthera onca,97
0,Piliocolobus,Piliocolobus tephrosceles,97
0,Microcebus,Microcebus murinus,97
0,Lynx,Lynx rufus,96
0,Macaca,Macaca mulatta,96
0,Lynx,Lynx canadensis,96
0,Papio,Papio anubis,96
0,Neofelis,Neofelis nebulosa,96
0,Neophocaena,Neophocaena asiaeorientalis,96
0,Prionailurus,Prionailurus bengalensis,96
