,GENUS,SPECIES,Match
0,Sus,Sus scrofa,142
0,Sus,Sus scrofa domesticus,142
0,Phacochoerus,Phacochoerus africanus,137
0,Leopardus,Leopardus geoffroyi,121
0,Panthera,Panthera leo,121
0,Panthera,Panthera onca,121
0,Panthera,Panthera uncia,121
0,Acinonyx,Acinonyx jubatus,120
0,Lynx,Lynx rufus,120
0,Lynx,Lynx canadensis,120
0,Felis,Felis catus,120
0,Prionailurus,Prionailurus bengalensis,120
0,Prionailurus,Prionailurus viverrinus,120
0,Panthera,Panthera tigris,120
0,Moschus,Moschus berezovskii,119
0,Neofelis,Neofelis nebulosa,119
0,Vicugna,Vicugna pacos,118
0,Hyaena,Hyaena hyaena,118
0,Equus,Equus quagga,118
0,Panthera,Panthera pardus,118
0,Equus,Equus asinus,117
0,Equus,Equus caballus,116
0,Pipistrellus,Pipistrellus kuhlii,115
0,Suricata,Suricata suricatta,115
0,Physeter,Physeter catodon,115
0,Odocoileus,Odocoileus virginianus texanus,115
0,Camelus,Camelus dromedarius,115
0,Lutra,Lutra lutra,115
0,Neogale,Neogale vison,114
0,Hippopotamus,Hippopotamus amphibius kiboko,114
0,Myotis,Myotis myotis,114
0,Mustela,Mustela putorius furo,114
0,Mustela,Mustela nigripes,114
0,Mustela,Mustela lutreola,114
0,Mustela,Mustela erminea,114
0,Lontra,Lontra canadensis,114
0,Phoca,Phoca vitulina,113
0,Balaenoptera,Balaenoptera musculus,113
0,Diceros,Diceros bicornis minor,113
0,Dama,Dama dama,113
0,Cervus,Cervus canadensis,113
0,Hipposideros,Hipposideros armiger,113
0,Cervus,Cervus elaphus,113
0,Meles,Meles meles,113
0,Myotis,Myotis daubentonii,113
0,Tupaia,Tupaia chinensis,113
0,Budorcas,Budorcas taxicolor,113
0,Nannospalax,Nannospalax galili,112
0,Camelus,Camelus ferus,112
0,Camelus,Camelus bactrianus,112
0,Ailuropoda,Ailuropoda melanoleuca,112
0,Eumetopias,Eumetopias jubatus,112
0,Colobus,Colobus angolensis palliatus,111
0,Piliocolobus,Piliocolobus tephrosceles,111
0,Halichoerus,Halichoerus grypus,111
0,Rhinopithecus,Rhinopithecus bieti,111
0,Cavia,Cavia porcellus,111
0,Capra,Capra hircus,111
0,Ovis,Ovis aries,111
0,Kogia,Kogia breviceps,110
0,Lemur,Lemur catta,110
0,Neomonachus,Neomonachus schauinslandi,110
0,Ictidomys,Ictidomys tridecemlineatus,110
0,Manis,Manis pentadactyla,110
0,Myotis,Myotis lucifugus,110
0,Bos,Bos javanicus,110
0,Peromyscus,Peromyscus leucopus,110
0,Eubalaena,Eubalaena glacialis,110
0,Ursus,Ursus americanus,110
0,Bison,Bison bison bison,110
0,Bos,Bos indicus,110
0,Bos,Bos indicus x Bos taurus,110
0,Eptesicus,Eptesicus fuscus,110
0,Bubalus,Bubalus bubalis,110
0,Bos,Bos taurus,110
0,Ursus,Ursus arctos,110
0,Ursus,Ursus maritimus,110
0,Bubalus,Bubalus kerabau,109
0,Callorhinus,Callorhinus ursinus,109
0,Heterocephalus,Heterocephalus glaber,109
0,Trachypithecus,Trachypithecus francoisi,109
0,Rhinopithecus,Rhinopithecus roxellana,109
0,Manis,Manis javanica,109
0,Urocitellus,Urocitellus parryii,109
0,Macaca,Macaca mulatta,109
0,Oryx,Oryx dammah,109
0,Molossus,Molossus molossus,109
0,Orcinus,Orcinus orca,109
0,Bos,Bos mutus,109
0,Odobenus,Odobenus rosmarus divergens,109
0,Lepus,Lepus europaeus,109
0,Erinaceus,Erinaceus europaeus,109
0,Miniopterus,Miniopterus natalensis,108
0,Tursiops,Tursiops truncatus,108
0,Lagenorhynchus,Lagenorhynchus albirostris,108
0,Lagenorhynchus,Lagenorhynchus obliquidens,108
0,Rousettus,Rousettus aegyptiacus,108
0,Vulpes,Vulpes lagopus,108
0,Delphinus,Delphinus delphis,108
0,Vulpes,Vulpes vulpes,107
0,Propithecus,Propithecus coquereli,107
0,Peromyscus,Peromyscus californicus insignis,107
0,Onychomys,Onychomys torridus,107
0,Nyctereutes,Nyctereutes procyonoides,107
0,Octodon,Octodon degus,107
0,Zalophus,Zalophus californianus,107
0,Marmota,Marmota marmota marmota,107
0,Dipodomys,Dipodomys ordii,107
0,Globicephala,Globicephala melas,107
0,Balaenoptera,Balaenoptera acutorostrata,107
0,Canis,Canis lupus dingo,107
0,Marmota,Marmota flaviventris,107
0,Marmota,Marmota monax,107
0,Loxodonta,Loxodonta africana,107
0,Neophocaena,Neophocaena asiaeorientalis,106
0,Ochotona,Ochotona curzoniae,106
0,Chlorocebus,Chlorocebus sabaeus,106
0,Ochotona,Ochotona princeps,106
0,Elephas,Elephas maximus indicus,106
0,Rhinolophus,Rhinolophus sinicus,106
0,Carlito,Carlito syrichta,106
0,Fukomys,Fukomys damarensis,106
0,Balaenoptera,Balaenoptera ricei,106
0,Microtus,Microtus fortis,106
0,Arvicanthis,Arvicanthis niloticus,106
0,Desmodus,Desmodus rotundus,105
0,Peromyscus,Peromyscus maniculatus bairdii,105
0,Delphinapterus,Delphinapterus leucas,105
0,Mirounga,Mirounga leonina,105
0,Cynocephalus,Cynocephalus volans,105
0,Oryctolagus,Oryctolagus cuniculus,105
0,Rattus,Rattus norvegicus,105
0,Sturnira,Sturnira hondurensis,105
0,Castor,Castor canadensis,105
0,Canis,Canis lupus familiaris,105
0,Arvicola,Arvicola amphibius,105
0,Otolemur,Otolemur garnettii,105
0,Microcebus,Microcebus murinus,105
0,Orycteropus,Orycteropus afer afer,105
0,Jaculus,Jaculus jaculus,105
0,Pteropus,Pteropus giganteus,104
0,Sorex,Sorex fumeus,104
0,Galeopterus,Galeopterus variegatus,104
0,Suncus,Suncus etruscus,104
0,Monodon,Monodon monoceros,104
0,Papio,Papio anubis,104
0,Dipodomys,Dipodomys spectabilis,104
0,Chionomys,Chionomys nivalis,104
0,Phodopus,Phodopus roborovskii,104
0,Chinchilla,Chinchilla lanigera,104
0,Phocoena,Phocoena sinus,103
0,Mesoplodon,Mesoplodon densirostris,103
0,Rhinolophus,Rhinolophus ferrumequinum,103
0,Theropithecus,Theropithecus gelada,103
0,Mirounga,Mirounga angustirostris,103
0,Nomascus,Nomascus leucogenys,103
0,Symphalangus,Symphalangus syndactylus,103
0,Microtus,Microtus ochrogaster,103
0,Microtus,Microtus oregoni,103
0,Sciurus,Sciurus carolinensis,103
0,Sorex,Sorex araneus,103
0,Macaca,Macaca fascicularis,103
0,Cercocebus,Cercocebus atys,102
0,Mandrillus,Mandrillus leucophaeus,102
0,Rattus,Rattus rattus,102
0,Myodes,Myodes glareolus,102
0,Dasypus,Dasypus novemcinctus,102
0,Hylobates,Hylobates moloch,102
0,Perognathus,Perognathus longimembris pacificus,102
0,Nycticebus,Nycticebus coucang,102
0,Phyllostomus,Phyllostomus discolor,101
0,Macaca,Macaca nemestrina,101
0,Macaca,Macaca thibetana thibetana,101
0,Cricetulus,Cricetulus griseus,101
0,Condylura,Condylura cristata,101
0,Pteronotus,Pteronotus parnellii mesoamericanus,101
