,GENUS,SPECIES,Match,ID_score
0,Bos,Bos javanicus,77,0.99
0,Bos,Bos taurus,77,0.99
0,Bison,Bison bison bison,77,0.99
0,Bos,Bos indicus,76,0.99
0,Bos,Bos mutus,76,0.98
0,Bubalus,Bubalus kerabau,72,0.95
0,Bubalus,Bubalus bubalis,72,0.95
0,Moschus,Moschus berezovskii,72,0.94
0,Budorcas,Budorcas taxicolor,71,0.94
0,Ovis,Ovis aries,71,0.93
0,Capra,Capra hircus,70,0.92
0,Cervus,Cervus elaphus,69,0.92
0,Cervus,Cervus canadensis,69,0.92
0,Ursus,Ursus americanus,68,0.91
0,Ursus,Ursus arctos,68,0.91
0,Dama,Dama dama,68,0.91
0,Ailuropoda,Ailuropoda melanoleuca,68,0.91
0,Oryx,Oryx dammah,68,0.9
0,Odocoileus,Odocoileus virginianus texanus,68,0.9
