,GENUS,SPECIES,Match
0,Callorhinus,Callorhinus ursinus,159
0,Eumetopias,Eumetopias jubatus,158
0,Zalophus,Zalophus californianus,154
0,Odobenus,Odobenus rosmarus divergens,152
0,Lutra,Lutra lutra,152
0,Ailuropoda,Ailuropoda melanoleuca,150
0,Neogale,Neogale vison,149
0,Meles,Meles meles,149
0,Mustela,Mustela erminea,149
0,Mustela,Mustela lutreola,149
0,Mustela,Mustela nigripes,149
0,Mustela,Mustela putorius furo,149
0,Ursus,Ursus americanus,147
0,Ursus,Ursus arctos,147
0,Ursus,Ursus maritimus,147
0,Suricata,Suricata suricatta,147
0,Panthera,Panthera leo,146
0,Panthera,Panthera onca,146
0,Panthera,Panthera uncia,146
0,Prionailurus,Prionailurus bengalensis,146
0,Prionailurus,Prionailurus viverrinus,146
0,Lynx,Lynx rufus,146
0,Lynx,Lynx canadensis,146
0,Neofelis,Neofelis nebulosa,146
0,Acinonyx,Acinonyx jubatus,146
0,Felis,Felis catus,145
0,Vulpes,Vulpes vulpes,145
0,Phoca,Phoca vitulina,145
0,Mirounga,Mirounga leonina,145
0,Canis,Canis lupus dingo,144
0,Vulpes,Vulpes lagopus,144
0,Lontra,Lontra canadensis,144
0,Nyctereutes,Nyctereutes procyonoides,144
0,Mirounga,Mirounga angustirostris,144
0,Halichoerus,Halichoerus grypus,143
0,Panthera,Panthera tigris,142
0,Panthera,Panthera pardus,141
0,Diceros,Diceros bicornis minor,141
0,Leopardus,Leopardus geoffroyi,140
0,Hyaena,Hyaena hyaena,139
0,Canis,Canis lupus familiaris,139
0,Equus,Equus asinus,137
0,Equus,Equus quagga,137
0,Equus,Equus caballus,136
0,Condylura,Condylura cristata,135
0,Manis,Manis pentadactyla,135
0,Oryctolagus,Oryctolagus cuniculus,135
0,Piliocolobus,Piliocolobus tephrosceles,135
0,Bos,Bos javanicus,133
0,Bos,Bos indicus x Bos taurus,133
0,Marmota,Marmota monax,133
0,Marmota,Marmota marmota marmota,133
0,Marmota,Marmota flaviventris,133
0,Callithrix,Callithrix jacchus,133
0,Bison,Bison bison bison,133
