,GENUS,SPECIES,Match
0,Mirounga,Mirounga angustirostris,173
0,Mirounga,Mirounga leonina,172
0,Zalophus,Zalophus californianus,161
0,Eumetopias,Eumetopias jubatus,161
0,Meles,Meles meles,161
0,Callorhinus,Callorhinus ursinus,160
0,Phoca,Phoca vitulina,160
0,Odobenus,Odobenus rosmarus divergens,160
0,Lutra,Lutra lutra,159
0,Mustela,Mustela erminea,158
0,Mustela,Mustela lutreola,158
0,Mustela,Mustela nigripes,158
0,Mustela,Mustela putorius furo,158
0,Neogale,Neogale vison,158
0,Ailuropoda,Ailuropoda melanoleuca,158
0,Panthera,Panthera leo,156
0,Panthera,Panthera onca,156
0,Panthera,Panthera uncia,156
0,Halichoerus,Halichoerus grypus,156
0,Neofelis,Neofelis nebulosa,155
0,Prionailurus,Prionailurus bengalensis,155
0,Prionailurus,Prionailurus viverrinus,155
0,Lynx,Lynx rufus,155
0,Suricata,Suricata suricatta,155
0,Lynx,Lynx canadensis,155
0,Felis,Felis catus,155
0,Acinonyx,Acinonyx jubatus,155
0,Ursus,Ursus arctos,153
0,Hyaena,Hyaena hyaena,153
0,Ursus,Ursus americanus,153
0,Panthera,Panthera tigris,153
0,Ursus,Ursus maritimus,152
0,Canis,Canis lupus dingo,152
0,Nyctereutes,Nyctereutes procyonoides,152
0,Leopardus,Leopardus geoffroyi,152
0,Lontra,Lontra canadensis,152
0,Vulpes,Vulpes lagopus,152
0,Vulpes,Vulpes vulpes,152
0,Neomonachus,Neomonachus schauinslandi,151
0,Galeopterus,Galeopterus variegatus,150
0,Panthera,Panthera pardus,149
0,Cynocephalus,Cynocephalus volans,147
0,Canis,Canis lupus familiaris,146
0,Dipodomys,Dipodomys ordii,146
0,Piliocolobus,Piliocolobus tephrosceles,145
0,Miniopterus,Miniopterus natalensis,144
0,Pipistrellus,Pipistrellus kuhlii,143
0,Urocitellus,Urocitellus parryii,142
0,Choloepus,Choloepus didactylus,142
0,Rhinopithecus,Rhinopithecus roxellana,142
0,Marmota,Marmota monax,142
0,Marmota,Marmota marmota marmota,142
0,Marmota,Marmota flaviventris,142
0,Myotis,Myotis myotis,142
0,Sorex,Sorex araneus,142
0,Vicugna,Vicugna pacos,142
0,Manis,Manis javanica,141
0,Sciurus,Sciurus carolinensis,141
0,Sorex,Sorex fumeus,141
0,Dipodomys,Dipodomys spectabilis,141
0,Equus,Equus asinus,141
0,Rhinopithecus,Rhinopithecus bieti,140
0,Manis,Manis pentadactyla,140
0,Colobus,Colobus angolensis palliatus,140
0,Nannospalax,Nannospalax galili,140
0,Equus,Equus quagga,140
0,Tupaia,Tupaia chinensis,140
0,Myotis,Myotis lucifugus,140
0,Homo,Homo sapiens,140
0,Equus,Equus caballus,140
0,Talpa,Talpa occidentalis,140
0,Rattus,Rattus norvegicus,140
0,Nomascus,Nomascus leucogenys,139
0,Gorilla,Gorilla gorilla gorilla,139
0,Eptesicus,Eptesicus fuscus,139
0,Callithrix,Callithrix jacchus,139
0,Oryctolagus,Oryctolagus cuniculus,139
0,Papio,Papio anubis,139
0,Myotis,Myotis daubentonii,139
0,Chlorocebus,Chlorocebus sabaeus,139
0,Diceros,Diceros bicornis minor,139
0,Rattus,Rattus rattus,139
0,Lepus,Lepus europaeus,138
0,Molossus,Molossus molossus,138
0,Jaculus,Jaculus jaculus,138
