,GENUS,SPECIES,Match
0,Mirounga,Mirounga leonina,170
0,Mirounga,Mirounga angustirostris,168
0,Phoca,Phoca vitulina,159
0,Halichoerus,Halichoerus grypus,157
0,Callorhinus,Callorhinus ursinus,156
0,Eumetopias,Eumetopias jubatus,156
0,Zalophus,Zalophus californianus,156
0,Ailuropoda,Ailuropoda melanoleuca,155
0,Lutra,Lutra lutra,153
0,Meles,Meles meles,153
0,Odobenus,Odobenus rosmarus divergens,153
0,Vulpes,Vulpes vulpes,152
0,Ursus,Ursus americanus,151
0,Vulpes,Vulpes lagopus,151
0,Ursus,Ursus arctos,151
0,Ursus,Ursus maritimus,151
0,Canis,Canis lupus dingo,150
0,Mustela,Mustela erminea,150
0,Mustela,Mustela lutreola,150
0,Mustela,Mustela nigripes,150
0,Mustela,Mustela putorius furo,150
0,Suricata,Suricata suricatta,150
0,Neogale,Neogale vison,150
0,Panthera,Panthera leo,149
0,Panthera,Panthera onca,149
0,Panthera,Panthera uncia,149
0,Hyaena,Hyaena hyaena,149
0,Neomonachus,Neomonachus schauinslandi,149
0,Neofelis,Neofelis nebulosa,148
0,Nyctereutes,Nyctereutes procyonoides,148
0,Prionailurus,Prionailurus bengalensis,147
0,Prionailurus,Prionailurus viverrinus,147
0,Lynx,Lynx rufus,146
0,Lynx,Lynx canadensis,146
0,Acinonyx,Acinonyx jubatus,146
0,Panthera,Panthera tigris,145
0,Felis,Felis catus,145
0,Lontra,Lontra canadensis,144
0,Canis,Canis lupus familiaris,143
0,Leopardus,Leopardus geoffroyi,143
0,Panthera,Panthera pardus,140
0,Diceros,Diceros bicornis minor,138
0,Equus,Equus asinus,137
0,Piliocolobus,Piliocolobus tephrosceles,137
0,Marmota,Marmota monax,136
0,Equus,Equus quagga,136
0,Equus,Equus caballus,136
0,Manis,Manis javanica,136
0,Marmota,Marmota flaviventris,136
0,Marmota,Marmota marmota marmota,136
0,Rattus,Rattus rattus,136
0,Rattus,Rattus norvegicus,135
0,Manis,Manis pentadactyla,134
0,Choloepus,Choloepus didactylus,134
0,Rhinopithecus,Rhinopithecus roxellana,133
0,Colobus,Colobus angolensis palliatus,133
0,Rhinopithecus,Rhinopithecus bieti,132
0,Urocitellus,Urocitellus parryii,132
0,Chlorocebus,Chlorocebus sabaeus,132
0,Perognathus,Perognathus longimembris pacificus,131
0,Nannospalax,Nannospalax galili,131
0,Dipodomys,Dipodomys ordii,131
0,Talpa,Talpa occidentalis,131
0,Bos,Bos javanicus,130
0,Lepus,Lepus europaeus,130
0,Oryctolagus,Oryctolagus cuniculus,130
0,Tupaia,Tupaia chinensis,130
0,Bos,Bos indicus x Bos taurus,130
0,Bos,Bos indicus,130
0,Bison,Bison bison bison,130
0,Galeopterus,Galeopterus variegatus,130
0,Sorex,Sorex fumeus,130
0,Bos,Bos taurus,130
0,Papio,Papio anubis,129
0,Bos,Bos mutus,129
0,Cynocephalus,Cynocephalus volans,129
0,Hippopotamus,Hippopotamus amphibius kiboko,129
0,Rhinolophus,Rhinolophus sinicus,129
0,Trachypithecus,Trachypithecus francoisi,129
0,Sorex,Sorex araneus,129
0,Elephas,Elephas maximus indicus,129
0,Sciurus,Sciurus carolinensis,128
0,Loxodonta,Loxodonta africana,128
0,Condylura,Condylura cristata,128
0,Ictidomys,Ictidomys tridecemlineatus,128
0,Macaca,Macaca mulatta,127
0,Macaca,Macaca thibetana thibetana,127
0,Grammomys,Grammomys surdaster,127
0,Macaca,Macaca fascicularis,127
0,Pipistrellus,Pipistrellus kuhlii,127
0,Miniopterus,Miniopterus natalensis,127
0,Phyllostomus,Phyllostomus discolor,127
0,Callithrix,Callithrix jacchus,127
0,Theropithecus,Theropithecus gelada,127
0,Vicugna,Vicugna pacos,127
0,Chinchilla,Chinchilla lanigera,126
0,Rousettus,Rousettus aegyptiacus,126
0,Dipodomys,Dipodomys spectabilis,126
0,Balaenoptera,Balaenoptera acutorostrata,126
0,Carlito,Carlito syrichta,125
0,Homo,Homo sapiens,125
0,Erinaceus,Erinaceus europaeus,125
0,Phacochoerus,Phacochoerus africanus,125
0,Gorilla,Gorilla gorilla gorilla,125
0,Sapajus,Sapajus apella,125
0,Cercocebus,Cercocebus atys,125
0,Jaculus,Jaculus jaculus,125
0,Myotis,Myotis lucifugus,125
0,Pan,Pan paniscus,125
0,Myotis,Myotis myotis,125
0,Macaca,Macaca nemestrina,125
0,Mandrillus,Mandrillus leucophaeus,125
0,Pan,Pan troglodytes,125
0,Bubalus,Bubalus kerabau,124
0,Bubalus,Bubalus bubalis,124
0,Nomascus,Nomascus leucogenys,124
0,Cebus,Cebus imitator,124
0,Camelus,Camelus dromedarius,124
0,Molossus,Molossus molossus,124
0,Phyllostomus,Phyllostomus hastatus,124
0,Pongo,Pongo pygmaeus,124
0,Mesocricetus,Mesocricetus auratus,124
0,Hylobates,Hylobates moloch,124
0,Sturnira,Sturnira hondurensis,124
0,Eptesicus,Eptesicus fuscus,124
0,Pongo,Pongo abelii,123
0,Balaenoptera,Balaenoptera ricei,123
0,Rhinolophus,Rhinolophus ferrumequinum,123
0,Symphalangus,Symphalangus syndactylus,123
0,Artibeus,Artibeus jamaicensis,123
0,Odocoileus,Odocoileus virginianus texanus,123
0,Microcebus,Microcebus murinus,123
0,Camelus,Camelus bactrianus,123
0,Delphinapterus,Delphinapterus leucas,123
0,Kogia,Kogia breviceps,123
0,Monodon,Monodon monoceros,123
0,Camelus,Camelus ferus,123
0,Psammomys,Psammomys obesus,122
0,Dama,Dama dama,122
0,Castor,Castor canadensis,122
0,Physeter,Physeter catodon,122
0,Myotis,Myotis daubentonii,122
0,Nycticebus,Nycticebus coucang,122
0,Octodon,Octodon degus,121
0,Oryx,Oryx dammah,121
0,Cervus,Cervus elaphus,121
0,Cervus,Cervus canadensis,121
0,Moschus,Moschus berezovskii,121
0,Lemur,Lemur catta,121
0,Meriones,Meriones unguiculatus,121
0,Dasypus,Dasypus novemcinctus,120
0,Orcinus,Orcinus orca,120
0,Desmodus,Desmodus rotundus,120
0,Globicephala,Globicephala melas,120
0,Heterocephalus,Heterocephalus glaber,120
0,Hipposideros,Hipposideros armiger,120
0,Propithecus,Propithecus coquereli,120
0,Neophocaena,Neophocaena asiaeorientalis,120
0,Ovis,Ovis aries,120
0,Capra,Capra hircus,120
0,Phodopus,Phodopus roborovskii,120
0,Ochotona,Ochotona curzoniae,119
0,Arvicola,Arvicola amphibius,119
0,Saimiri,Saimiri boliviensis boliviensis,119
0,Delphinus,Delphinus delphis,119
0,Lagenorhynchus,Lagenorhynchus albirostris,119
0,Lagenorhynchus,Lagenorhynchus obliquidens,119
0,Suncus,Suncus etruscus,119
0,Ochotona,Ochotona princeps,119
0,Cricetulus,Cricetulus griseus,119
0,Microtus,Microtus ochrogaster,119
0,Pteropus,Pteropus giganteus,118
0,Tursiops,Tursiops truncatus,118
0,Phocoena,Phocoena sinus,118
0,Sus,Sus scrofa,118
0,Sus,Sus scrofa domesticus,118
0,Mus,Mus caroli,117
0,Budorcas,Budorcas taxicolor,117
0,Myodes,Myodes glareolus,117
0,Arvicanthis,Arvicanthis niloticus,117
0,Apodemus,Apodemus sylvaticus,117
0,Aotus,Aotus nancymaae,117
0,Fukomys,Fukomys damarensis,117
0,Peromyscus,Peromyscus californicus insignis,117
0,Microtus,Microtus oregoni,116
0,Balaenoptera,Balaenoptera musculus,116
0,Microtus,Microtus fortis,116
0,Acomys,Acomys russatus,116
0,Mesoplodon,Mesoplodon densirostris,116
0,Mastomys,Mastomys coucha,115
0,Otolemur,Otolemur garnettii,115
0,Pteronotus,Pteronotus parnellii mesoamericanus,115
0,Orycteropus,Orycteropus afer afer,114
0,Chionomys,Chionomys nivalis,114
0,Mus,Mus musculus,113
0,Onychomys,Onychomys torridus,112
0,Peromyscus,Peromyscus leucopus,111
0,Peromyscus,Peromyscus maniculatus bairdii,110
0,Echinops,Echinops telfairi,110
0,Trichechus,Trichechus manatus latirostris,109
0,Eubalaena,Eubalaena glacialis,107
0,Cavia,Cavia porcellus,106
