,CLASS,SUBCLASS,INFRACLASS,ORDER,FAMILY,GENUS,SPECIES,Match,ID_score
0,Mammalia,Theria,Eutheria,Carnivora,Hyaenidae,Hyaena,Hyaena hyaena,103,0.9866666785875956
0,Mammalia,Theria,Eutheria,Carnivora,Felidae,Panthera,Panthera tigris,103,0.9866401843229929
0,Mammalia,Theria,Eutheria,Carnivora,Felidae,Felis,Felis catus,103,0.984891920487086
0,Mammalia,Theria,Eutheria,Carnivora,Felidae,Leopardus,Leopardus geoffroyi,102,0.9742906618118286
0,Mammalia,Theria,Eutheria,Perissodactyla,Equidae,Equus,Equus asinus,105,0.94490886926651
0,Mammalia,Theria,Eutheria,Carnivora,Mustelidae,Meles,Meles meles,97,0.9444095400969187
0,Mammalia,Theria,Eutheria,Perissodactyla,Equidae,Equus,Equus caballus,105,0.9440464943647384
0,Mammalia,Theria,Eutheria,Carnivora,Mustelidae,Enhydra,Enhydra lutris,97,0.9399849681059519
0,Mammalia,Theria,Eutheria,Carnivora,Mustelidae,Lontra,Lontra canadensis,96,0.9352878475189208
0,Mammalia,Theria,Eutheria,Carnivora,Mustelidae,Mustela,Mustela putorius,95,0.9312484045823415
0,Mammalia,Theria,Eutheria,Rodentia,Sciuridae,Marmota,Marmota marmota,100,0.9014834115902582
0,Mammalia,Theria,Eutheria,Rodentia,Heteromyidae,Dipodomys,Dipodomys ordii,99,0.8951868003606795
0,Mammalia,Theria,Eutheria,Rodentia,Sciuridae,Urocitellus,Urocitellus parryii,99,0.8936383163928985
0,Mammalia,Theria,Eutheria,Chiroptera,Pteropodidae,Rousettus,Rousettus aegyptiacus,98,0.8931054147084554
0,Mammalia,Theria,Eutheria,Rodentia,Sciuridae,Neosciurus,Neosciurus carolinensis,98,0.8879058482249578
0,Mammalia,Theria,Eutheria,Carnivora,Ursidae,Ursus,Ursus maritimus,97,0.8868736980358759
0,Mammalia,Theria,Eutheria,Cetacea,Lipotidae,Lipotes,Lipotes vexillifer,95,0.8836464663346608
0,Mammalia,Theria,Eutheria,Artiodactyla,Suidae,Phacochoerus,Phacochoerus africanus,96,0.8800768250226974
0,Mammalia,Theria,Eutheria,Chiroptera,Phyllostomidae,Sturnira,Sturnira hondurensis,96,0.8761838519573211
0,Mammalia,Theria,Eutheria,Rodentia,Heteromyidae,Dipodomys,Dipodomys spectabilis,96,0.8748002791404723
