,CLASS,SUBCLASS,INFRACLASS,ORDER,FAMILY,GENUS,SPECIES,Match
0,Mammalia,Theria,Eutheria,Perissodactyla,Equidae,Equus,Equus caballus,105
0,Mammalia,Theria,Eutheria,Perissodactyla,Equidae,Equus,Equus asinus,105
0,Mammalia,Theria,Eutheria,Carnivora,Felidae,Panthera,Panthera tigris,103
0,Mammalia,Theria,Eutheria,Carnivora,Hyaenidae,Hyaena,Hyaena hyaena,103
0,Mammalia,Theria,Eutheria,Carnivora,Felidae,Felis,Felis catus,103
0,Mammalia,Theria,Eutheria,Carnivora,Felidae,Leopardus,Leopardus geoffroyi,102
0,Mammalia,Theria,Eutheria,Rodentia,Sciuridae,Marmota,Marmota marmota,100
0,Mammalia,Theria,Eutheria,Rodentia,Sciuridae,Urocitellus,Urocitellus parryii,99
0,Mammalia,Theria,Eutheria,Rodentia,Heteromyidae,Dipodomys,Dipodomys ordii,99
0,Mammalia,Theria,Eutheria,Chiroptera,Pteropodidae,Rousettus,Rousettus aegyptiacus,98
0,Mammalia,Theria,Eutheria,Rodentia,Sciuridae,Neosciurus,Neosciurus carolinensis,98
0,Mammalia,Theria,Eutheria,Carnivora,Mustelidae,Enhydra,Enhydra lutris,97
0,Mammalia,Theria,Eutheria,Carnivora,Mustelidae,Meles,Meles meles,97
0,Mammalia,Theria,Eutheria,Carnivora,Ursidae,Ursus,Ursus maritimus,97
0,Mammalia,Theria,Eutheria,Artiodactyla,Suidae,Phacochoerus,Phacochoerus africanus,96
0,Mammalia,Theria,Eutheria,Carnivora,Mustelidae,Lontra,Lontra canadensis,96
0,Mammalia,Theria,Eutheria,Chiroptera,Phyllostomidae,Sturnira,Sturnira hondurensis,96
0,Mammalia,Theria,Eutheria,Rodentia,Heteromyidae,Dipodomys,Dipodomys spectabilis,96
0,Mammalia,Theria,Eutheria,Carnivora,Mustelidae,Mustela,Mustela putorius,95
0,Mammalia,Theria,Eutheria,Cetacea,Lipotidae,Lipotes,Lipotes vexillifer,95
0,Mammalia,Theria,Eutheria,Carnivora,Otariidae,Callorhinus,Callorhinus ursinus,95
0,Mammalia,Theria,Eutheria,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus cuniculus,95
0,Mammalia,Theria,Eutheria,Artiodactyla,Physeteridae,Physeter,Physeter cotodon,94
0,Mammalia,Theria,Eutheria,Rodentia,Castoridae,Castor,Castor canadensis,94
0,Mammalia,Theria,Eutheria,Primates,Tarsiidae,Carlito,Carlito syrichta,94
0,Mammalia,Theria,Eutheria,Carnivora,Mustelidae,Lutra,Lutra lutra,94
0,Mammalia,Theria,Eutheria,Artiodactyla,Bovidae,Bubalus,Bubalus bubalis,94
0,Mammalia,Theria,Eutheria,Cetacea,Delphinidae,Globicephala,Globicephala melas,93
0,Mammalia,Theria,Eutheria,Carnivora,Canidae,Vulpes,Vulpes vulpes,93
0,Mammalia,Theria,Eutheria,Carnivora,Ursidae,Ailuropoda,Ailuropoda melanoleuca,93
0,Mammalia,Theria,Eutheria,Carnivora,Canidae,Canis,Canis lupus,93
0,Mammalia,Theria,Eutheria,Carnivora,Phocidae,Phoca,Phoca vitulina,92
0,Mammalia,Theria,Eutheria,Cetacea,Delphinidae,Orcinus,Orcinus orca,92
0,Mammalia,Theria,Eutheria,Artiodactyla,Camelidae,Vicugna,Vicugna pacos,92
0,Mammalia,Theria,Eutheria,Pilosa,Megalonychidae,Choloepus,Choloepus didactylus,92
0,Mammalia,Theria,Eutheria,Rodentia,Dipodidae,Jaculus,Jaculus jaculus,92
0,Mammalia,Theria,Eutheria,Carnivora,Phocidae,Halichoerus,Halichoerus grypus,91
0,Mammalia,Theria,Eutheria,Cetacea,Delphinidae,Tursiops,Tursiops truncatus,91
0,Mammalia,Theria,Eutheria,Chiroptera,Vespertilionidae,Myotis,Myotis myotis,91
0,Mammalia,Theria,Eutheria,Primates,Cheirogaleidae,Microcebus,Microcebus murinus,91
0,Mammalia,Theria,Eutheria,Perissodactyla,Rhinocerotidae,Ceratotherium,Ceratotherium simum,91
0,Mammalia,Theria,Eutheria,Carnivora,Odobenidae,Odobenus,Odobenus rosmarus,90
0,Mammalia,Theria,Eutheria,Dermoptera,Cynocephalidae,Galeopterus,Galeopterus variegatus,90
0,Mammalia,Theria,Eutheria,Primates,Galagidae,Otolemur,Otolemur garnettii,90
0,Mammalia,Theria,Eutheria,Cetacea,Phocoenidae,Phocoena,Phocoena sinus,89
0,Mammalia,Theria,Eutheria,Chiroptera,Pteropodidae,Pteropus,Pteropus giganteus,89
0,Mammalia,Theria,Eutheria,Chiroptera,Vespertilionidae,Myotis,Myotis lucifugus,89
0,Mammalia,Theria,Eutheria,Artiodactyla,Bovidae,Bos,Bos taurus,89
0,Mammalia,Theria,Eutheria,Carnivora,Phocidae,Mirounga,Mirounga leonina,89
0,Mammalia,Theria,Eutheria,Carnivora,Phocidae,Mirounga,Mirounga angustirostris,89
0,Mammalia,Theria,Eutheria,Carnivora,Otariidae,Zalophus,Zalophus californianus,89
0,Mammalia,Theria,Eutheria,Rodentia,Muridae,Arvicanthis,Arvicanthis niloticus,89
0,Mammalia,Theria,Eutheria,Chiroptera,Hipposideridae,Hipposideros,Hipposideros armiger,89
0,Mammalia,Theria,Eutheria,Pholidota,Manidae,Manis,Manis pentadactyla,89
0,Mammalia,Theria,Eutheria,Pholidota,Manidae,Manis,Manis javanica,89
0,Mammalia,Theria,Eutheria,Cetacea,Balaenopteridae,Balaenoptera,Balaenoptera musculus,88
0,Mammalia,Theria,Eutheria,Rodentia,Cricetidae,Microtus,Microtus ochrogaster,88
0,Mammalia,Theria,Eutheria,Macroscelidea,Macroscelididae,Elephantulus,Elephantulus edwardii,87
0,Mammalia,Theria,Eutheria,Rodentia,Cricetidae,Peromyscus,Peromyscus maniculatus,87
0,Mammalia,Theria,Eutheria,Lagomorpha,Ochotonidae,Ochotona,Ochotona princeps,86
0,Mammalia,Theria,Eutheria,Rodentia,Cricetidae,Arvicola,Arvicola amphibius,86
0,Mammalia,Theria,Eutheria,Soricomorpha,Talpidae,Talpa,Talpa occidentalis,86
0,Mammalia,Theria,Eutheria,Chiroptera,Vespertilionidae,Pipistrellus,Pipistrellus kuhlii,86
0,Mammalia,Theria,Eutheria,Cetacea,Monodontidae,Delphinapterus,Delphinapterus leucas,86
0,Mammalia,Theria,Eutheria,Rodentia,Chinchillidae,Chinchilla,Chinchilla lanigera,86
0,Mammalia,Theria,Eutheria,Soricomorpha,Talpidae,Condylura,Condylura cristata,86
0,Mammalia,Theria,Eutheria,Artiodactyla,Cervidae,Cervus,Cervus canadensis,86
0,Mammalia,Theria,Eutheria,Lagomorpha,Ochotonidae,Ochotona,Ochotona curzoniae,86
0,Mammalia,Theria,Eutheria,Rodentia,Cricetidae,Myodes,Myodes glareolus,86
0,Mammalia,Theria,Eutheria,Rodentia,Cricetidae,Microtus,Microtus oregoni,85
0,Mammalia,Theria,Eutheria,Primates,Hominidae,Gorilla,Gorilla gorilla,85
0,Mammalia,Theria,Eutheria,Primates,Cercopithecidae,Papio,Papio anubis,85
0,Mammalia,Theria,Eutheria,Primates,Lemuridae,Lemur,Lemur catta,85
0,Mammalia,Theria,Eutheria,Chiroptera,Miniopteridae,Miniopterus,Miniopterus natalensis,84
0,Mammalia,Theria,Eutheria,Primates,Hylobatidae,Nomascus,Nomascus leucogenys,84
0,Mammalia,Theria,Eutheria,Artiodactyla,Bovidae,Oryx,Oryx dammah,84
0,Mammalia,Theria,Eutheria,Carnivora,Phocidae,Neomonachus,Neomonachus schauinslandi,84
0,Mammalia,Theria,Eutheria,Chiroptera,Molossidae,Molossus,Molossus molossus,84
0,Mammalia,Theria,Eutheria,Artiodactyla,Bovidae,Capra,Capra hircus,84
0,Mammalia,Theria,Eutheria,Artiodactyla,Cervidae,Odocoileus,Odocoileus virginianus,83
0,Mammalia,Theria,Eutheria,Primates,Hominidae,Homo,Homo sapiens,83
0,Mammalia,Theria,Eutheria,Primates,Hylobatidae,Hylobates,Hylobates moloch,83
0,Mammalia,Theria,Eutheria,Primates,Cercopithecidae,Macaca,Macaca fascicularis,83
0,Mammalia,Theria,Eutheria,Primates,Cercopithecidae,Chlorocebus,Chlorocebus sabaeus,83
0,Mammalia,Theria,Eutheria,Soricomorpha,Soricidae,Sorex,Sorex araneus,82
0,Mammalia,Theria,Eutheria,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,82
0,Mammalia,Theria,Eutheria,Tubulidentata,Orycteropodidae,Orycteropus,Orycteropus afer,82
0,Mammalia,Theria,Eutheria,Primates,Cercopithecidae,Macaca,Macaca nemestrina,82
0,Mammalia,Theria,Eutheria,Rodentia,Caviidae,Cavia,Cavia porcellus,81
0,Mammalia,Theria,Eutheria,Primates,Cercopithecidae,Rhinopithecus,Rhinopithecus roxellana,81
0,Mammalia,Theria,Eutheria,Chiroptera,Rhinolophidae,Rhinolophus,Rhinolophus sinicus,79
0,Mammalia,Theria,Eutheria,Afrosoricida,Chrysochloridae,Chrysochloris,Chrysochloris asiatica,78
0,Mammalia,Theria,Eutheria,Chiroptera,Vespertilionidae,Eptesicus,Eptesicus fuscus,78
0,Mammalia,Theria,Metatheria,Diprotodontia,Vombatidae,Vombatus,Vombatus ursinus,76
0,Mammalia,Theria,Eutheria,Chiroptera,Rhinolophidae,Rhinolophus,Rhinolophus ferrumequinum,76
0,Mammalia,Theria,Eutheria,Sirenia,Trichechidae,Trichechus,Trichechus manatus,73
0,Mammalia,Theria,Prototheria,Monotremata,Ornithorhynchidae,Ornithorhynchus,Ornithorhynchus anatinus,73
0,Mammalia,Theria,Metatheria,Dasyuromorphia,Dasyuridae,Sarcophilus,Sarcophilus harrisii,67
0,Mammalia,Theria,Metatheria,Microbiotheria,Microbiotheriidae,Dromiciops,Dromiciops gliroides,62
0,Mammalia,Theria,Eutheria,Afrosoricida,Tenrecidae,Echinops,Echinops telfairi,51
