,GENUS,SPECIES,Match
0,Microtus,Microtus fortis,146
0,Myodes,Myodes glareolus,145
0,Microtus,Microtus ochrogaster,144
0,Chionomys,Chionomys nivalis,143
0,Arvicola,Arvicola amphibius,142
0,Mesocricetus,Mesocricetus auratus,139
0,Microtus,Microtus oregoni,139
0,Cricetulus,Cricetulus griseus,137
0,Peromyscus,Peromyscus leucopus,136
0,Peromyscus,Peromyscus californicus insignis,136
0,Rattus,Rattus norvegicus,135
0,Phodopus,Phodopus roborovskii,135
0,Rattus,Rattus rattus,133
0,Peromyscus,Peromyscus maniculatus bairdii,133
0,Grammomys,Grammomys surdaster,130
0,Apodemus,Apodemus sylvaticus,129
0,Onychomys,Onychomys torridus,128
0,Psammomys,Psammomys obesus,126
0,Meriones,Meriones unguiculatus,125
0,Mastomys,Mastomys coucha,123
0,Equus,Equus caballus,123
0,Equus,Equus quagga,122
0,Acomys,Acomys russatus,121
0,Oryctolagus,Oryctolagus cuniculus,121
0,Dipodomys,Dipodomys ordii,120
0,Equus,Equus asinus,120
0,Nannospalax,Nannospalax galili,119
0,Sciurus,Sciurus carolinensis,118
0,Lepus,Lepus europaeus,118
0,Mirounga,Mirounga angustirostris,118
0,Hyaena,Hyaena hyaena,118
0,Arvicanthis,Arvicanthis niloticus,118
0,Mus,Mus musculus,117
0,Mirounga,Mirounga leonina,117
0,Sorex,Sorex fumeus,117
0,Meles,Meles meles,116
0,Vicugna,Vicugna pacos,116
0,Sorex,Sorex araneus,116
0,Dipodomys,Dipodomys spectabilis,116
0,Eumetopias,Eumetopias jubatus,115
0,Mustela,Mustela erminea,115
0,Mustela,Mustela lutreola,115
0,Neogale,Neogale vison,115
0,Zalophus,Zalophus californianus,115
0,Otolemur,Otolemur garnettii,115
0,Carlito,Carlito syrichta,115
0,Lutra,Lutra lutra,115
0,Sturnira,Sturnira hondurensis,115
0,Callorhinus,Callorhinus ursinus,115
0,Mustela,Mustela nigripes,115
0,Mustela,Mustela putorius furo,115
0,Canis,Canis lupus familiaris,114
0,Perognathus,Perognathus longimembris pacificus,114
0,Odobenus,Odobenus rosmarus divergens,114
0,Artibeus,Artibeus jamaicensis,114
0,Phoca,Phoca vitulina,113
0,Phacochoerus,Phacochoerus africanus,113
0,Nyctereutes,Nyctereutes procyonoides,113
0,Halichoerus,Halichoerus grypus,113
0,Urocitellus,Urocitellus parryii,113
0,Ursus,Ursus americanus,113
0,Ursus,Ursus arctos,113
0,Ursus,Ursus maritimus,113
0,Galeopterus,Galeopterus variegatus,113
0,Panthera,Panthera leo,112
0,Mus,Mus caroli,112
0,Panthera,Panthera uncia,112
0,Vulpes,Vulpes vulpes,112
0,Phyllostomus,Phyllostomus discolor,112
0,Chinchilla,Chinchilla lanigera,112
0,Choloepus,Choloepus didactylus,112
0,Canis,Canis lupus dingo,112
0,Panthera,Panthera onca,112
0,Odocoileus,Odocoileus virginianus texanus,112
0,Lynx,Lynx rufus,111
0,Neofelis,Neofelis nebulosa,111
0,Prionailurus,Prionailurus bengalensis,111
0,Prionailurus,Prionailurus viverrinus,111
0,Sus,Sus scrofa domesticus,111
0,Sus,Sus scrofa,111
0,Vulpes,Vulpes lagopus,111
0,Marmota,Marmota monax,111
0,Marmota,Marmota marmota marmota,111
0,Nycticebus,Nycticebus coucang,111
0,Marmota,Marmota flaviventris,111
0,Acinonyx,Acinonyx jubatus,111
0,Microcebus,Microcebus murinus,111
0,Ailuropoda,Ailuropoda melanoleuca,111
0,Camelus,Camelus dromedarius,111
0,Lynx,Lynx canadensis,111
0,Felis,Felis catus,111
0,Jaculus,Jaculus jaculus,110
0,Rhinopithecus,Rhinopithecus roxellana,110
0,Rhinolophus,Rhinolophus sinicus,110
0,Camelus,Camelus bactrianus,110
0,Camelus,Camelus ferus,110
0,Phyllostomus,Phyllostomus hastatus,110
0,Cynocephalus,Cynocephalus volans,110
0,Dasypus,Dasypus novemcinctus,110
0,Desmodus,Desmodus rotundus,110
0,Hippopotamus,Hippopotamus amphibius kiboko,110
0,Panthera,Panthera tigris,110
0,Leopardus,Leopardus geoffroyi,110
0,Loxodonta,Loxodonta africana,109
0,Fukomys,Fukomys damarensis,109
0,Hipposideros,Hipposideros armiger,109
0,Papio,Papio anubis,109
0,Lontra,Lontra canadensis,109
0,Heterocephalus,Heterocephalus glaber,109
0,Propithecus,Propithecus coquereli,109
0,Castor,Castor canadensis,109
0,Piliocolobus,Piliocolobus tephrosceles,108
0,Diceros,Diceros bicornis minor,108
0,Ochotona,Ochotona curzoniae,108
0,Rhinopithecus,Rhinopithecus bieti,108
0,Elephas,Elephas maximus indicus,108
0,Macaca,Macaca nemestrina,108
0,Cebus,Cebus imitator,107
0,Cervus,Cervus canadensis,107
0,Cervus,Cervus elaphus,107
0,Dama,Dama dama,107
0,Condylura,Condylura cristata,107
0,Pipistrellus,Pipistrellus kuhlii,107
0,Ictidomys,Ictidomys tridecemlineatus,107
0,Panthera,Panthera pardus,107
0,Suricata,Suricata suricatta,107
0,Eptesicus,Eptesicus fuscus,107
0,Callithrix,Callithrix jacchus,107
0,Trichechus,Trichechus manatus latirostris,107
0,Myotis,Myotis lucifugus,107
0,Moschus,Moschus berezovskii,107
0,Theropithecus,Theropithecus gelada,106
0,Chlorocebus,Chlorocebus sabaeus,106
0,Talpa,Talpa occidentalis,106
0,Macaca,Macaca mulatta,106
0,Sapajus,Sapajus apella,106
0,Mandrillus,Mandrillus leucophaeus,106
0,Ochotona,Ochotona princeps,106
0,Rhinolophus,Rhinolophus ferrumequinum,106
0,Cercocebus,Cercocebus atys,106
0,Macaca,Macaca thibetana thibetana,105
0,Trachypithecus,Trachypithecus francoisi,105
0,Colobus,Colobus angolensis palliatus,105
0,Aotus,Aotus nancymaae,105
0,Macaca,Macaca fascicularis,105
0,Myotis,Myotis daubentonii,105
0,Myotis,Myotis myotis,105
0,Erinaceus,Erinaceus europaeus,105
0,Neomonachus,Neomonachus schauinslandi,105
