,GENUS,SPECIES,Match
0,Bos,Bos javanicus,133
0,Bison,Bison bison bison,133
0,Bos,Bos taurus,133
0,Bos,Bos indicus x Bos taurus,133
0,Bos,Bos indicus,133
0,Bos,Bos mutus,132
0,Bubalus,Bubalus kerabau,128
0,Bubalus,Bubalus bubalis,128
0,Odocoileus,Odocoileus virginianus texanus,128
0,Oryx,Oryx dammah,127
0,Capra,Capra hircus,127
0,Moschus,Moschus berezovskii,126
0,Phacochoerus,Phacochoerus africanus,126
0,Ovis,Ovis aries,126
0,Dama,Dama dama,125
0,Cervus,Cervus elaphus,124
0,Canis,Canis lupus dingo,124
0,Cervus,Cervus canadensis,124
0,Budorcas,Budorcas taxicolor,124
0,Vulpes,Vulpes lagopus,124
0,Nyctereutes,Nyctereutes procyonoides,124
0,Vulpes,Vulpes vulpes,123
0,Ursus,Ursus americanus,122
0,Ursus,Ursus arctos,122
0,Ailuropoda,Ailuropoda melanoleuca,121
0,Canis,Canis lupus familiaris,121
0,Hippopotamus,Hippopotamus amphibius kiboko,120
0,Mustela,Mustela nigripes,120
0,Mustela,Mustela lutreola,120
0,Vicugna,Vicugna pacos,120
0,Neogale,Neogale vison,120
0,Ursus,Ursus maritimus,120
0,Mustela,Mustela erminea,120
0,Mustela,Mustela putorius furo,120
0,Meles,Meles meles,119
0,Sus,Sus scrofa,119
0,Sus,Sus scrofa domesticus,119
0,Lutra,Lutra lutra,119
0,Panthera,Panthera uncia,118
0,Panthera,Panthera onca,118
0,Panthera,Panthera leo,118
0,Equus,Equus caballus,118
0,Panthera,Panthera tigris,117
0,Equus,Equus asinus,117
0,Felis,Felis catus,117
0,Neofelis,Neofelis nebulosa,117
0,Equus,Equus quagga,117
0,Tupaia,Tupaia chinensis,117
0,Acinonyx,Acinonyx jubatus,116
0,Prionailurus,Prionailurus viverrinus,116
0,Prionailurus,Prionailurus bengalensis,116
0,Cavia,Cavia porcellus,116
0,Lynx,Lynx rufus,116
0,Lynx,Lynx canadensis,116
0,Lontra,Lontra canadensis,116
0,Leopardus,Leopardus geoffroyi,116
0,Neomonachus,Neomonachus schauinslandi,115
0,Mirounga,Mirounga angustirostris,115
0,Galeopterus,Galeopterus variegatus,115
0,Rousettus,Rousettus aegyptiacus,115
0,Suricata,Suricata suricatta,114
0,Neophocaena,Neophocaena asiaeorientalis,114
0,Halichoerus,Halichoerus grypus,114
0,Odobenus,Odobenus rosmarus divergens,114
0,Heterocephalus,Heterocephalus glaber,114
0,Homo,Homo sapiens,114
0,Phoca,Phoca vitulina,114
0,Fukomys,Fukomys damarensis,114
0,Rhinolophus,Rhinolophus sinicus,114
0,Diceros,Diceros bicornis minor,113
0,Mandrillus,Mandrillus leucophaeus,113
0,Castor,Castor canadensis,113
0,Balaenoptera,Balaenoptera acutorostrata,113
0,Piliocolobus,Piliocolobus tephrosceles,113
0,Cercocebus,Cercocebus atys,113
0,Urocitellus,Urocitellus parryii,113
0,Callorhinus,Callorhinus ursinus,113
0,Loxodonta,Loxodonta africana,113
0,Mirounga,Mirounga leonina,113
0,Papio,Papio anubis,113
