,GENUS,SPECIES,Match
0,Canis,Canis lupus dingo,107
0,Nyctereutes,Nyctereutes procyonoides,106
0,Vulpes,Vulpes vulpes,106
0,Vulpes,Vulpes lagopus,106
0,Canis,Canis lupus familiaris,106
0,Acinonyx,Acinonyx jubatus,103
0,Panthera,Panthera uncia,103
0,Panthera,Panthera onca,103
0,Panthera,Panthera leo,103
0,Neofelis,Neofelis nebulosa,103
0,Prionailurus,Prionailurus viverrinus,103
0,Lynx,Lynx rufus,103
0,Lynx,Lynx canadensis,103
0,Felis,Felis catus,103
0,Prionailurus,Prionailurus bengalensis,103
0,Panthera,Panthera tigris,102
0,Leopardus,Leopardus geoffroyi,102
0,Hyaena,Hyaena hyaena,102
0,Suricata,Suricata suricatta,100
0,Ailuropoda,Ailuropoda melanoleuca,100
0,Ursus,Ursus arctos,99
0,Ursus,Ursus americanus,99
0,Panthera,Panthera pardus,99
0,Ursus,Ursus maritimus,98
0,Neogale,Neogale vison,96
0,Meles,Meles meles,96
0,Mustela,Mustela erminea,96
0,Mustela,Mustela lutreola,96
0,Mustela,Mustela nigripes,96
0,Mustela,Mustela putorius furo,96
0,Lutra,Lutra lutra,95
0,Galeopterus,Galeopterus variegatus,95
0,Lontra,Lontra canadensis,94
0,Cynocephalus,Cynocephalus volans,93
0,Sciurus,Sciurus carolinensis,93
0,Dipodomys,Dipodomys spectabilis,93
0,Diceros,Diceros bicornis minor,93
0,Pteropus,Pteropus giganteus,92
0,Manis,Manis javanica,92
0,Dipodomys,Dipodomys ordii,91
0,Callorhinus,Callorhinus ursinus,91
0,Equus,Equus caballus,91
0,Eumetopias,Eumetopias jubatus,91
0,Pipistrellus,Pipistrellus kuhlii,91
0,Rhinolophus,Rhinolophus sinicus,91
0,Equus,Equus quagga,91
0,Rousettus,Rousettus aegyptiacus,91
0,Perognathus,Perognathus longimembris pacificus,90
0,Molossus,Molossus molossus,90
0,Equus,Equus asinus,90
0,Urocitellus,Urocitellus parryii,90
0,Desmodus,Desmodus rotundus,89
0,Eptesicus,Eptesicus fuscus,89
0,Jaculus,Jaculus jaculus,88
0,Propithecus,Propithecus coquereli,88
0,Manis,Manis pentadactyla,88
0,Myotis,Myotis daubentonii,88
0,Nannospalax,Nannospalax galili,88
0,Hippopotamus,Hippopotamus amphibius kiboko,88
0,Sturnira,Sturnira hondurensis,88
0,Rhinolophus,Rhinolophus ferrumequinum,88
0,Papio,Papio anubis,88
0,Phyllostomus,Phyllostomus discolor,88
0,Miniopterus,Miniopterus natalensis,88
0,Zalophus,Zalophus californianus,88
0,Cebus,Cebus imitator,88
0,Callithrix,Callithrix jacchus,88
0,Camelus,Camelus dromedarius,88
0,Choloepus,Choloepus didactylus,88
0,Chlorocebus,Chlorocebus sabaeus,88
0,Erinaceus,Erinaceus europaeus,87
0,Piliocolobus,Piliocolobus tephrosceles,87
0,Marmota,Marmota monax,87
0,Marmota,Marmota marmota marmota,87
0,Marmota,Marmota flaviventris,87
0,Oryctolagus,Oryctolagus cuniculus,87
0,Mandrillus,Mandrillus leucophaeus,87
0,Macaca,Macaca mulatta,87
0,Macaca,Macaca fascicularis,87
0,Condylura,Condylura cristata,87
0,Loxodonta,Loxodonta africana,87
0,Lepus,Lepus europaeus,87
0,Talpa,Talpa occidentalis,87
0,Cercocebus,Cercocebus atys,87
0,Theropithecus,Theropithecus gelada,87
0,Ictidomys,Ictidomys tridecemlineatus,87
0,Pteronotus,Pteronotus parnellii mesoamericanus,87
0,Colobus,Colobus angolensis palliatus,86
0,Bos,Bos taurus,86
0,Phacochoerus,Phacochoerus africanus,86
0,Bubalus,Bubalus bubalis,86
0,Bos,Bos indicus,86
0,Bos,Bos javanicus,86
0,Bubalus,Bubalus kerabau,86
0,Myotis,Myotis lucifugus,86
0,Myotis,Myotis myotis,86
0,Phyllostomus,Phyllostomus hastatus,86
0,Bos,Bos indicus x Bos taurus,86
0,Rhinopithecus,Rhinopithecus bieti,86
0,Sapajus,Sapajus apella,86
0,Castor,Castor canadensis,86
0,Tupaia,Tupaia chinensis,86
0,Oryx,Oryx dammah,86
0,Elephas,Elephas maximus indicus,86
0,Sus,Sus scrofa,86
0,Homo,Homo sapiens,86
0,Sus,Sus scrofa domesticus,86
0,Macaca,Macaca thibetana thibetana,86
0,Vicugna,Vicugna pacos,86
0,Bison,Bison bison bison,86
0,Trichechus,Trichechus manatus latirostris,86
0,Camelus,Camelus ferus,85
0,Odobenus,Odobenus rosmarus divergens,85
0,Pan,Pan paniscus,85
0,Capra,Capra hircus,85
0,Nomascus,Nomascus leucogenys,85
0,Phoca,Phoca vitulina,85
0,Rhinopithecus,Rhinopithecus roxellana,85
0,Camelus,Camelus bactrianus,85
0,Bos,Bos mutus,85
0,Rattus,Rattus norvegicus,85
0,Sorex,Sorex fumeus,85
0,Rattus,Rattus rattus,85
0,Dama,Dama dama,85
0,Pan,Pan troglodytes,85
0,Ovis,Ovis aries,84
0,Halichoerus,Halichoerus grypus,84
0,Otolemur,Otolemur garnettii,84
0,Odocoileus,Odocoileus virginianus texanus,84
0,Budorcas,Budorcas taxicolor,84
0,Gorilla,Gorilla gorilla gorilla,84
0,Cervus,Cervus canadensis,84
0,Cervus,Cervus elaphus,84
0,Hipposideros,Hipposideros armiger,84
0,Trachypithecus,Trachypithecus francoisi,84
0,Symphalangus,Symphalangus syndactylus,83
0,Artibeus,Artibeus jamaicensis,83
0,Lemur,Lemur catta,83
0,Peromyscus,Peromyscus californicus insignis,83
0,Mirounga,Mirounga angustirostris,83
0,Sorex,Sorex araneus,83
0,Microtus,Microtus ochrogaster,83
0,Mirounga,Mirounga leonina,83
0,Neomonachus,Neomonachus schauinslandi,83
0,Pongo,Pongo abelii,82
0,Peromyscus,Peromyscus leucopus,82
0,Pongo,Pongo pygmaeus,82
0,Saimiri,Saimiri boliviensis boliviensis,82
0,Grammomys,Grammomys surdaster,82
0,Ochotona,Ochotona princeps,82
0,Moschus,Moschus berezovskii,82
0,Nycticebus,Nycticebus coucang,82
0,Macaca,Macaca nemestrina,82
0,Hylobates,Hylobates moloch,82
0,Mesocricetus,Mesocricetus auratus,81
0,Neophocaena,Neophocaena asiaeorientalis,81
0,Carlito,Carlito syrichta,81
