,GENUS,SPECIES,Match
0,Manis,Manis javanica,55
0,Nyctereutes,Nyctereutes procyonoides,54
0,Neophocaena,Neophocaena asiaeorientalis,53
0,Vulpes,Vulpes lagopus,53
0,Canis,Canis lupus dingo,53
0,Acinonyx,Acinonyx jubatus,52
0,Panthera,Panthera tigris,52
0,Lynx,Lynx rufus,52
0,Panthera,Panthera leo,52
0,Panthera,Panthera onca,52
0,Lynx,Lynx canadensis,52
0,Panthera,Panthera uncia,52
0,Manis,Manis pentadactyla,52
0,Prionailurus,Prionailurus bengalensis,52
0,Prionailurus,Prionailurus viverrinus,52
0,Suricata,Suricata suricatta,52
0,Canis,Canis lupus familiaris,52
0,Felis,Felis catus,52
0,Neofelis,Neofelis nebulosa,52
0,Hyaena,Hyaena hyaena,51
0,Oryx,Oryx dammah,51
0,Vulpes,Vulpes vulpes,51
0,Cervus,Cervus elaphus,50
0,Ovis,Ovis aries,50
0,Panthera,Panthera pardus,50
0,Lontra,Lontra canadensis,50
0,Ursus,Ursus americanus,50
0,Ursus,Ursus arctos,50
0,Leopardus,Leopardus geoffroyi,50
0,Jaculus,Jaculus jaculus,50
0,Ursus,Ursus maritimus,50
0,Eumetopias,Eumetopias jubatus,50
0,Dama,Dama dama,50
0,Zalophus,Zalophus californianus,50
0,Cervus,Cervus canadensis,50
0,Callorhinus,Callorhinus ursinus,50
0,Castor,Castor canadensis,50
0,Budorcas,Budorcas taxicolor,50
0,Ailuropoda,Ailuropoda melanoleuca,50
0,Balaenoptera,Balaenoptera acutorostrata,49
0,Meles,Meles meles,49
0,Ictidomys,Ictidomys tridecemlineatus,49
0,Monodon,Monodon monoceros,49
0,Moschus,Moschus berezovskii,49
0,Phocoena,Phocoena sinus,49
0,Capra,Capra hircus,49
0,Odocoileus,Odocoileus virginianus texanus,48
0,Mustela,Mustela erminea,48
0,Mustela,Mustela lutreola,48
0,Mustela,Mustela nigripes,48
0,Lutra,Lutra lutra,48
0,Neogale,Neogale vison,48
0,Mustela,Mustela putorius furo,48
0,Bison,Bison bison bison,48
0,Bos,Bos indicus,48
0,Bos,Bos indicus x Bos taurus,48
0,Bos,Bos javanicus,48
0,Bos,Bos taurus,48
0,Urocitellus,Urocitellus parryii,47
0,Delphinus,Delphinus delphis,47
0,Lagenorhynchus,Lagenorhynchus albirostris,47
0,Loxodonta,Loxodonta africana,47
0,Bos,Bos mutus,47
0,Hippopotamus,Hippopotamus amphibius kiboko,47
0,Delphinapterus,Delphinapterus leucas,47
0,Lagenorhynchus,Lagenorhynchus obliquidens,47
0,Trichechus,Trichechus manatus latirostris,47
0,Globicephala,Globicephala melas,47
0,Sorex,Sorex fumeus,47
0,Sciurus,Sciurus carolinensis,47
0,Bubalus,Bubalus kerabau,47
0,Tursiops,Tursiops truncatus,47
0,Bubalus,Bubalus bubalis,47
0,Odobenus,Odobenus rosmarus divergens,47
0,Marmota,Marmota flaviventris,46
0,Marmota,Marmota monax,46
0,Lepus,Lepus europaeus,46
0,Marmota,Marmota marmota marmota,46
0,Phacochoerus,Phacochoerus africanus,46
0,Kogia,Kogia breviceps,46
0,Suncus,Suncus etruscus,46
0,Balaenoptera,Balaenoptera ricei,46
0,Neomonachus,Neomonachus schauinslandi,46
0,Orcinus,Orcinus orca,46
0,Diceros,Diceros bicornis minor,46
0,Meriones,Meriones unguiculatus,45
0,Saimiri,Saimiri boliviensis boliviensis,45
0,Pipistrellus,Pipistrellus kuhlii,45
0,Oryctolagus,Oryctolagus cuniculus,45
0,Physeter,Physeter catodon,45
0,Phoca,Phoca vitulina,45
0,Sus,Sus scrofa,45
0,Chlorocebus,Chlorocebus sabaeus,45
0,Sus,Sus scrofa domesticus,45
0,Gorilla,Gorilla gorilla gorilla,45
0,Dipodomys,Dipodomys ordii,45
0,Talpa,Talpa occidentalis,45
0,Tupaia,Tupaia chinensis,45
0,Balaenoptera,Balaenoptera musculus,44
0,Rattus,Rattus norvegicus,44
0,Eubalaena,Eubalaena glacialis,44
0,Erinaceus,Erinaceus europaeus,44
0,Sorex,Sorex araneus,44
0,Equus,Equus quagga,44
0,Halichoerus,Halichoerus grypus,44
0,Elephas,Elephas maximus indicus,44
0,Dipodomys,Dipodomys spectabilis,44
0,Arvicanthis,Arvicanthis niloticus,44
0,Vicugna,Vicugna pacos,44
0,Condylura,Condylura cristata,44
0,Equus,Equus caballus,44
0,Callithrix,Callithrix jacchus,44
0,Rhinopithecus,Rhinopithecus roxellana,44
0,Mirounga,Mirounga leonina,44
0,Camelus,Camelus dromedarius,44
0,Mirounga,Mirounga angustirostris,44
0,Rhinolophus,Rhinolophus sinicus,43
0,Perognathus,Perognathus longimembris pacificus,43
0,Choloepus,Choloepus didactylus,43
0,Colobus,Colobus angolensis palliatus,43
0,Camelus,Camelus bactrianus,43
0,Otolemur,Otolemur garnettii,43
0,Camelus,Camelus ferus,43
0,Orycteropus,Orycteropus afer afer,43
0,Piliocolobus,Piliocolobus tephrosceles,43
0,Rhinopithecus,Rhinopithecus bieti,43
0,Nannospalax,Nannospalax galili,43
0,Miniopterus,Miniopterus natalensis,43
0,Trachypithecus,Trachypithecus francoisi,43
0,Theropithecus,Theropithecus gelada,43
0,Psammomys,Psammomys obesus,43
0,Macaca,Macaca thibetana thibetana,43
0,Cebus,Cebus imitator,42
0,Rhinolophus,Rhinolophus ferrumequinum,42
0,Papio,Papio anubis,42
0,Macaca,Macaca nemestrina,42
0,Mus,Mus caroli,42
0,Rattus,Rattus rattus,42
0,Macaca,Macaca fascicularis,42
0,Propithecus,Propithecus coquereli,42
0,Lemur,Lemur catta,42
0,Sturnira,Sturnira hondurensis,42
0,Acomys,Acomys russatus,42
0,Grammomys,Grammomys surdaster,42
0,Ochotona,Ochotona princeps,42
0,Symphalangus,Symphalangus syndactylus,42
0,Apodemus,Apodemus sylvaticus,41
0,Pteronotus,Pteronotus parnellii mesoamericanus,41
0,Aotus,Aotus nancymaae,41
0,Sapajus,Sapajus apella,41
0,Pongo,Pongo pygmaeus,41
0,Myotis,Myotis daubentonii,41
0,Desmodus,Desmodus rotundus,41
0,Myotis,Myotis lucifugus,41
0,Hylobates,Hylobates moloch,41
0,Macaca,Macaca mulatta,41
0,Mandrillus,Mandrillus leucophaeus,41
0,Peromyscus,Peromyscus leucopus,41
0,Equus,Equus asinus,41
0,Eptesicus,Eptesicus fuscus,41
0,Mus,Mus musculus,41
0,Myodes,Myodes glareolus,41
0,Galeopterus,Galeopterus variegatus,41
0,Cricetulus,Cricetulus griseus,41
0,Peromyscus,Peromyscus californicus insignis,41
0,Pan,Pan troglodytes,41
0,Octodon,Octodon degus,41
0,Cercocebus,Cercocebus atys,41
0,Pan,Pan paniscus,41
0,Cynocephalus,Cynocephalus volans,41
0,Ochotona,Ochotona curzoniae,40
0,Homo,Homo sapiens,40
0,Arvicola,Arvicola amphibius,40
0,Fukomys,Fukomys damarensis,40
0,Chionomys,Chionomys nivalis,40
0,Mastomys,Mastomys coucha,40
0,Mesocricetus,Mesocricetus auratus,40
0,Microtus,Microtus fortis,40
0,Rousettus,Rousettus aegyptiacus,40
0,Nycticebus,Nycticebus coucang,40
0,Microtus,Microtus oregoni,40
0,Heterocephalus,Heterocephalus glaber,40
0,Pongo,Pongo abelii,40
0,Myotis,Myotis myotis,40
0,Nomascus,Nomascus leucogenys,40
0,Microcebus,Microcebus murinus,40
0,Dasypus,Dasypus novemcinctus,39
0,Peromyscus,Peromyscus maniculatus bairdii,39
0,Hipposideros,Hipposideros armiger,39
0,Carlito,Carlito syrichta,39
0,Microtus,Microtus ochrogaster,39
0,Molossus,Molossus molossus,39
0,Chinchilla,Chinchilla lanigera,39
0,Phodopus,Phodopus roborovskii,39
0,Echinops,Echinops telfairi,38
0,Artibeus,Artibeus jamaicensis,38
0,Phyllostomus,Phyllostomus discolor,38
0,Cavia,Cavia porcellus,37
0,Pteropus,Pteropus giganteus,37
0,Onychomys,Onychomys torridus,37
0,Mesoplodon,Mesoplodon densirostris,36
0,Phyllostomus,Phyllostomus hastatus,35
