,GENUS,SPECIES,Match
0,Canis,Canis lupus dingo,120
0,Vulpes,Vulpes vulpes,119
0,Vulpes,Vulpes lagopus,119
0,Nyctereutes,Nyctereutes procyonoides,119
0,Canis,Canis lupus familiaris,118
0,Panthera,Panthera uncia,112
0,Panthera,Panthera leo,112
0,Panthera,Panthera onca,112
0,Acinonyx,Acinonyx jubatus,111
0,Lynx,Lynx canadensis,111
0,Lynx,Lynx rufus,111
0,Panthera,Panthera tigris,111
0,Neofelis,Neofelis nebulosa,111
0,Prionailurus,Prionailurus bengalensis,111
0,Prionailurus,Prionailurus viverrinus,111
0,Ailuropoda,Ailuropoda melanoleuca,110
0,Felis,Felis catus,110
0,Leopardus,Leopardus geoffroyi,109
0,Ursus,Ursus americanus,108
0,Mustela,Mustela erminea,108
0,Mustela,Mustela lutreola,108
0,Lutra,Lutra lutra,108
0,Mustela,Mustela putorius furo,108
0,Ursus,Ursus arctos,108
0,Mustela,Mustela nigripes,108
0,Neogale,Neogale vison,108
0,Ursus,Ursus maritimus,107
0,Suricata,Suricata suricatta,107
0,Panthera,Panthera pardus,106
0,Hyaena,Hyaena hyaena,106
0,Lontra,Lontra canadensis,105
0,Meles,Meles meles,104
0,Callorhinus,Callorhinus ursinus,103
0,Odobenus,Odobenus rosmarus divergens,103
0,Eumetopias,Eumetopias jubatus,103
0,Pipistrellus,Pipistrellus kuhlii,102
0,Diceros,Diceros bicornis minor,102
0,Sciurus,Sciurus carolinensis,102
0,Manis,Manis javanica,101
0,Castor,Castor canadensis,101
0,Nannospalax,Nannospalax galili,101
0,Equus,Equus quagga,101
0,Equus,Equus caballus,101
0,Equus,Equus asinus,101
0,Phacochoerus,Phacochoerus africanus,100
0,Galeopterus,Galeopterus variegatus,100
0,Urocitellus,Urocitellus parryii,100
0,Eptesicus,Eptesicus fuscus,100
0,Zalophus,Zalophus californianus,100
0,Cynocephalus,Cynocephalus volans,99
0,Condylura,Condylura cristata,99
0,Marmota,Marmota flaviventris,99
0,Marmota,Marmota marmota marmota,99
0,Marmota,Marmota monax,99
0,Bos,Bos indicus x Bos taurus,98
0,Bos,Bos indicus,98
0,Bos,Bos javanicus,98
0,Bos,Bos taurus,98
0,Bison,Bison bison bison,98
0,Myotis,Myotis daubentonii,98
0,Bos,Bos mutus,97
0,Propithecus,Propithecus coquereli,97
0,Phoca,Phoca vitulina,97
0,Manis,Manis pentadactyla,97
0,Talpa,Talpa occidentalis,97
0,Sus,Sus scrofa,97
0,Sus,Sus scrofa domesticus,97
0,Mirounga,Mirounga angustirostris,97
0,Hippopotamus,Hippopotamus amphibius kiboko,97
0,Cervus,Cervus canadensis,96
0,Lepus,Lepus europaeus,96
0,Oryctolagus,Oryctolagus cuniculus,96
0,Mirounga,Mirounga leonina,96
0,Callithrix,Callithrix jacchus,96
0,Neomonachus,Neomonachus schauinslandi,96
0,Bubalus,Bubalus bubalis,96
0,Cervus,Cervus elaphus,96
0,Bubalus,Bubalus kerabau,96
0,Myotis,Myotis myotis,96
0,Dipodomys,Dipodomys ordii,96
0,Capra,Capra hircus,96
0,Dama,Dama dama,96
0,Tupaia,Tupaia chinensis,96
0,Desmodus,Desmodus rotundus,96
0,Molossus,Molossus molossus,95
0,Moschus,Moschus berezovskii,95
0,Ictidomys,Ictidomys tridecemlineatus,95
0,Perognathus,Perognathus longimembris pacificus,95
0,Dipodomys,Dipodomys spectabilis,95
0,Piliocolobus,Piliocolobus tephrosceles,95
0,Camelus,Camelus dromedarius,95
0,Myotis,Myotis lucifugus,95
0,Vicugna,Vicugna pacos,95
0,Halichoerus,Halichoerus grypus,95
0,Cebus,Cebus imitator,94
0,Trachypithecus,Trachypithecus francoisi,94
0,Odocoileus,Odocoileus virginianus texanus,94
0,Colobus,Colobus angolensis palliatus,94
0,Chlorocebus,Chlorocebus sabaeus,94
0,Rhinopithecus,Rhinopithecus roxellana,94
0,Rhinopithecus,Rhinopithecus bieti,94
0,Rhinolophus,Rhinolophus sinicus,94
0,Rattus,Rattus norvegicus,94
0,Budorcas,Budorcas taxicolor,93
0,Camelus,Camelus bactrianus,93
0,Ovis,Ovis aries,93
0,Otolemur,Otolemur garnettii,93
0,Oryx,Oryx dammah,93
0,Pteronotus,Pteronotus parnellii mesoamericanus,93
0,Camelus,Camelus ferus,93
0,Pteropus,Pteropus giganteus,93
0,Rattus,Rattus rattus,93
0,Lemur,Lemur catta,92
0,Rousettus,Rousettus aegyptiacus,92
0,Nycticebus,Nycticebus coucang,92
0,Sapajus,Sapajus apella,92
0,Erinaceus,Erinaceus europaeus,92
0,Choloepus,Choloepus didactylus,92
0,Sturnira,Sturnira hondurensis,92
0,Rhinolophus,Rhinolophus ferrumequinum,92
0,Papio,Papio anubis,91
0,Theropithecus,Theropithecus gelada,91
0,Microcebus,Microcebus murinus,91
0,Loxodonta,Loxodonta africana,91
0,Miniopterus,Miniopterus natalensis,91
0,Neophocaena,Neophocaena asiaeorientalis,90
0,Arvicanthis,Arvicanthis niloticus,90
0,Mandrillus,Mandrillus leucophaeus,90
0,Macaca,Macaca thibetana thibetana,90
0,Sorex,Sorex fumeus,90
0,Macaca,Macaca mulatta,90
0,Saimiri,Saimiri boliviensis boliviensis,90
0,Jaculus,Jaculus jaculus,90
0,Cercocebus,Cercocebus atys,90
0,Phyllostomus,Phyllostomus hastatus,90
0,Macaca,Macaca fascicularis,90
0,Phyllostomus,Phyllostomus discolor,89
0,Orycteropus,Orycteropus afer afer,89
0,Elephas,Elephas maximus indicus,89
0,Grammomys,Grammomys surdaster,89
0,Artibeus,Artibeus jamaicensis,89
0,Homo,Homo sapiens,89
0,Mastomys,Mastomys coucha,88
0,Pan,Pan troglodytes,88
0,Gorilla,Gorilla gorilla gorilla,88
0,Pan,Pan paniscus,88
0,Ochotona,Ochotona princeps,88
0,Octodon,Octodon degus,88
0,Ochotona,Ochotona curzoniae,88
0,Chinchilla,Chinchilla lanigera,87
0,Psammomys,Psammomys obesus,87
0,Cricetulus,Cricetulus griseus,87
0,Sorex,Sorex araneus,87
0,Globicephala,Globicephala melas,87
0,Nomascus,Nomascus leucogenys,87
0,Hipposideros,Hipposideros armiger,87
0,Carlito,Carlito syrichta,87
0,Lagenorhynchus,Lagenorhynchus albirostris,86
0,Lagenorhynchus,Lagenorhynchus obliquidens,86
0,Aotus,Aotus nancymaae,86
0,Pongo,Pongo pygmaeus,86
0,Meriones,Meriones unguiculatus,86
0,Mesocricetus,Mesocricetus auratus,86
0,Tursiops,Tursiops truncatus,86
0,Orcinus,Orcinus orca,86
0,Delphinus,Delphinus delphis,86
0,Symphalangus,Symphalangus syndactylus,86
0,Hylobates,Hylobates moloch,86
0,Trichechus,Trichechus manatus latirostris,85
0,Eubalaena,Eubalaena glacialis,85
0,Pongo,Pongo abelii,85
0,Microtus,Microtus fortis,85
0,Macaca,Macaca nemestrina,85
0,Peromyscus,Peromyscus maniculatus bairdii,85
0,Peromyscus,Peromyscus leucopus,85
0,Physeter,Physeter catodon,84
0,Phodopus,Phodopus roborovskii,84
0,Microtus,Microtus ochrogaster,84
0,Myodes,Myodes glareolus,83
0,Heterocephalus,Heterocephalus glaber,83
0,Arvicola,Arvicola amphibius,83
0,Peromyscus,Peromyscus californicus insignis,83
0,Cavia,Cavia porcellus,82
0,Balaenoptera,Balaenoptera acutorostrata,82
0,Microtus,Microtus oregoni,82
0,Kogia,Kogia breviceps,82
0,Phocoena,Phocoena sinus,82
0,Suncus,Suncus etruscus,81
0,Balaenoptera,Balaenoptera ricei,81
0,Mus,Mus musculus,81
0,Apodemus,Apodemus sylvaticus,81
0,Mus,Mus caroli,81
0,Chionomys,Chionomys nivalis,80
0,Fukomys,Fukomys damarensis,80
0,Onychomys,Onychomys torridus,80
0,Mesoplodon,Mesoplodon densirostris,80
0,Monodon,Monodon monoceros,79
0,Delphinapterus,Delphinapterus leucas,78
0,Balaenoptera,Balaenoptera musculus,78
0,Acomys,Acomys russatus,77
0,Dasypus,Dasypus novemcinctus,77
0,Echinops,Echinops telfairi,73
