,GENUS,SPECIES,Match
0,Canis,Canis lupus familiaris,117
0,Vulpes,Vulpes lagopus,117
0,Canis,Canis lupus dingo,117
0,Nyctereutes,Nyctereutes procyonoides,117
0,Vulpes,Vulpes vulpes,117
0,Ailuropoda,Ailuropoda melanoleuca,110
0,Ursus,Ursus maritimus,109
0,Ursus,Ursus arctos,109
0,Ursus,Ursus americanus,109
0,Panthera,Panthera uncia,107
0,Panthera,Panthera onca,107
0,Panthera,Panthera leo,107
0,Hyaena,Hyaena hyaena,107
0,Rousettus,Rousettus aegyptiacus,106
0,Manis,Manis pentadactyla,105
0,Lutra,Lutra lutra,105
0,Panthera,Panthera tigris,105
0,Manis,Manis javanica,105
0,Mustela,Mustela lutreola,104
0,Mustela,Mustela erminea,104
0,Acinonyx,Acinonyx jubatus,104
0,Lynx,Lynx rufus,104
0,Felis,Felis catus,104
0,Lynx,Lynx canadensis,104
0,Neogale,Neogale vison,104
0,Mustela,Mustela nigripes,104
0,Mustela,Mustela putorius furo,104
0,Neofelis,Neofelis nebulosa,104
0,Prionailurus,Prionailurus bengalensis,104
0,Prionailurus,Prionailurus viverrinus,104
0,Suricata,Suricata suricatta,104
0,Meles,Meles meles,103
0,Leopardus,Leopardus geoffroyi,103
0,Panthera,Panthera pardus,102
0,Phacochoerus,Phacochoerus africanus,102
0,Pteropus,Pteropus giganteus,101
0,Eumetopias,Eumetopias jubatus,101
0,Nannospalax,Nannospalax galili,100
0,Diceros,Diceros bicornis minor,100
0,Dipodomys,Dipodomys spectabilis,100
0,Zalophus,Zalophus californianus,100
0,Lontra,Lontra canadensis,99
0,Dipodomys,Dipodomys ordii,99
0,Sus,Sus scrofa,99
0,Callorhinus,Callorhinus ursinus,99
0,Sciurus,Sciurus carolinensis,99
0,Molossus,Molossus molossus,99
0,Sus,Sus scrofa domesticus,99
0,Phoca,Phoca vitulina,98
0,Urocitellus,Urocitellus parryii,98
0,Equus,Equus caballus,98
0,Desmodus,Desmodus rotundus,98
0,Marmota,Marmota flaviventris,97
0,Marmota,Marmota monax,97
0,Equus,Equus asinus,97
0,Equus,Equus quagga,97
0,Marmota,Marmota marmota marmota,97
0,Ictidomys,Ictidomys tridecemlineatus,97
0,Vicugna,Vicugna pacos,97
0,Bison,Bison bison bison,96
0,Hippopotamus,Hippopotamus amphibius kiboko,96
0,Capra,Capra hircus,96
0,Jaculus,Jaculus jaculus,96
0,Bos,Bos javanicus,96
0,Bos,Bos indicus x Bos taurus,96
0,Cricetulus,Cricetulus griseus,96
0,Bos,Bos indicus,96
0,Halichoerus,Halichoerus grypus,96
0,Otolemur,Otolemur garnettii,96
0,Choloepus,Choloepus didactylus,96
0,Odobenus,Odobenus rosmarus divergens,96
0,Bos,Bos taurus,96
0,Rhinolophus,Rhinolophus sinicus,95
0,Condylura,Condylura cristata,95
0,Mirounga,Mirounga angustirostris,95
0,Mirounga,Mirounga leonina,95
0,Neomonachus,Neomonachus schauinslandi,95
0,Lepus,Lepus europaeus,95
0,Cynocephalus,Cynocephalus volans,95
0,Bos,Bos mutus,95
0,Camelus,Camelus dromedarius,95
0,Galeopterus,Galeopterus variegatus,95
0,Papio,Papio anubis,95
0,Rhinolophus,Rhinolophus ferrumequinum,94
0,Mandrillus,Mandrillus leucophaeus,94
0,Piliocolobus,Piliocolobus tephrosceles,94
0,Phyllostomus,Phyllostomus discolor,94
0,Dama,Dama dama,94
0,Ovis,Ovis aries,94
0,Psammomys,Psammomys obesus,94
0,Oryctolagus,Oryctolagus cuniculus,94
0,Chlorocebus,Chlorocebus sabaeus,94
0,Cercocebus,Cercocebus atys,94
0,Cervus,Cervus canadensis,94
0,Theropithecus,Theropithecus gelada,94
0,Cervus,Cervus elaphus,94
0,Neophocaena,Neophocaena asiaeorientalis,93
0,Peromyscus,Peromyscus leucopus,93
0,Odocoileus,Odocoileus virginianus texanus,93
0,Oryx,Oryx dammah,93
0,Meriones,Meriones unguiculatus,93
0,Macaca,Macaca fascicularis,93
0,Sturnira,Sturnira hondurensis,93
0,Sorex,Sorex araneus,93
0,Rhinopithecus,Rhinopithecus roxellana,93
0,Sorex,Sorex fumeus,93
0,Rattus,Rattus rattus,93
0,Rhinopithecus,Rhinopithecus bieti,93
0,Macaca,Macaca mulatta,93
0,Artibeus,Artibeus jamaicensis,93
0,Cebus,Cebus imitator,93
0,Mastomys,Mastomys coucha,93
0,Homo,Homo sapiens,93
