,GENUS,SPECIES,Match
0,Nyctereutes,Nyctereutes procyonoides,133
0,Canis,Canis lupus dingo,133
0,Vulpes,Vulpes vulpes,132
0,Vulpes,Vulpes lagopus,132
0,Canis,Canis lupus familiaris,130
0,Panthera,Panthera onca,127
0,Panthera,Panthera leo,127
0,Panthera,Panthera uncia,127
0,Ailuropoda,Ailuropoda melanoleuca,126
0,Prionailurus,Prionailurus viverrinus,125
0,Lynx,Lynx canadensis,125
0,Lynx,Lynx rufus,125
0,Neofelis,Neofelis nebulosa,125
0,Panthera,Panthera tigris,125
0,Prionailurus,Prionailurus bengalensis,125
0,Acinonyx,Acinonyx jubatus,125
0,Lutra,Lutra lutra,124
0,Felis,Felis catus,124
0,Mustela,Mustela erminea,124
0,Mustela,Mustela lutreola,124
0,Mustela,Mustela nigripes,124
0,Mustela,Mustela putorius furo,124
0,Ursus,Ursus americanus,124
0,Neogale,Neogale vison,124
0,Ursus,Ursus maritimus,124
0,Ursus,Ursus arctos,124
0,Suricata,Suricata suricatta,123
0,Lontra,Lontra canadensis,123
0,Leopardus,Leopardus geoffroyi,122
0,Panthera,Panthera pardus,122
0,Rousettus,Rousettus aegyptiacus,122
0,Meles,Meles meles,121
0,Hyaena,Hyaena hyaena,120
0,Talpa,Talpa occidentalis,119
0,Diceros,Diceros bicornis minor,118
0,Equus,Equus quagga,118
0,Equus,Equus caballus,118
0,Manis,Manis javanica,118
0,Equus,Equus asinus,117
0,Manis,Manis pentadactyla,117
0,Sciurus,Sciurus carolinensis,117
0,Marmota,Marmota marmota marmota,116
0,Marmota,Marmota monax,116
0,Marmota,Marmota flaviventris,116
0,Sorex,Sorex fumeus,116
0,Urocitellus,Urocitellus parryii,116
0,Pteropus,Pteropus giganteus,115
0,Papio,Papio anubis,115
0,Perognathus,Perognathus longimembris pacificus,115
0,Eumetopias,Eumetopias jubatus,115
0,Callorhinus,Callorhinus ursinus,114
0,Condylura,Condylura cristata,114
0,Lepus,Lepus europaeus,113
0,Homo,Homo sapiens,113
0,Mirounga,Mirounga angustirostris,113
0,Mirounga,Mirounga leonina,113
0,Tupaia,Tupaia chinensis,113
0,Castor,Castor canadensis,113
0,Sorex,Sorex araneus,113
0,Phoca,Phoca vitulina,113
0,Rattus,Rattus rattus,112
0,Oryctolagus,Oryctolagus cuniculus,112
0,Halichoerus,Halichoerus grypus,112
0,Piliocolobus,Piliocolobus tephrosceles,112
0,Rhinolophus,Rhinolophus sinicus,112
0,Zalophus,Zalophus californianus,112
0,Colobus,Colobus angolensis palliatus,112
0,Camelus,Camelus dromedarius,112
0,Camelus,Camelus bactrianus,111
0,Pan,Pan troglodytes,111
0,Theropithecus,Theropithecus gelada,111
0,Rattus,Rattus norvegicus,111
0,Galeopterus,Galeopterus variegatus,111
0,Mandrillus,Mandrillus leucophaeus,111
0,Pan,Pan paniscus,111
0,Vicugna,Vicugna pacos,111
0,Cercocebus,Cercocebus atys,111
0,Ictidomys,Ictidomys tridecemlineatus,111
0,Cynocephalus,Cynocephalus volans,111
0,Camelus,Camelus ferus,111
0,Dipodomys,Dipodomys ordii,111
0,Erinaceus,Erinaceus europaeus,111
0,Bubalus,Bubalus kerabau,110
0,Bison,Bison bison bison,110
0,Bos,Bos javanicus,110
0,Bos,Bos indicus,110
0,Bos,Bos indicus x Bos taurus,110
0,Neomonachus,Neomonachus schauinslandi,110
0,Bos,Bos taurus,110
0,Symphalangus,Symphalangus syndactylus,110
0,Chlorocebus,Chlorocebus sabaeus,110
0,Hippopotamus,Hippopotamus amphibius kiboko,110
0,Macaca,Macaca mulatta,110
0,Gorilla,Gorilla gorilla gorilla,110
0,Cebus,Cebus imitator,110
0,Trachypithecus,Trachypithecus francoisi,110
0,Dipodomys,Dipodomys spectabilis,109
0,Nomascus,Nomascus leucogenys,109
0,Rhinopithecus,Rhinopithecus bieti,109
0,Macaca,Macaca fascicularis,109
0,Rhinolophus,Rhinolophus ferrumequinum,109
