,GENUS,SPECIES,Match
0,Eptesicus,Eptesicus fuscus,58
0,Suncus,Suncus etruscus,57
0,Manis,Manis pentadactyla,56
0,Acomys,Acomys russatus,55
0,Mus,Mus musculus,55
0,Manis,Manis javanica,54
0,Sorex,Sorex araneus,54
0,Apodemus,Apodemus sylvaticus,53
0,Vulpes,Vulpes lagopus,53
0,Echinops,Echinops telfairi,53
0,Equus,Equus caballus,53
0,Vulpes,Vulpes vulpes,53
0,Galeopterus,Galeopterus variegatus,53
0,Mus,Mus caroli,53
0,Cebus,Cebus imitator,52
0,Choloepus,Choloepus didactylus,52
0,Myotis,Myotis myotis,52
0,Hippopotamus,Hippopotamus amphibius kiboko,52
0,Onychomys,Onychomys torridus,52
0,Sapajus,Sapajus apella,52
0,Mastomys,Mastomys coucha,52
0,Sorex,Sorex fumeus,52
0,Microtus,Microtus fortis,52
0,Mustela,Mustela putorius furo,51
0,Microtus,Microtus ochrogaster,51
0,Mesocricetus,Mesocricetus auratus,51
0,Elephas,Elephas maximus indicus,51
0,Loxodonta,Loxodonta africana,51
0,Microtus,Microtus oregoni,51
0,Neogale,Neogale vison,51
0,Mustela,Mustela lutreola,51
0,Myotis,Myotis lucifugus,51
0,Myotis,Myotis daubentonii,51
0,Grammomys,Grammomys surdaster,51
0,Mustela,Mustela erminea,51
0,Mustela,Mustela nigripes,51
0,Dasypus,Dasypus novemcinctus,51
0,Canis,Canis lupus familiaris,51
0,Callithrix,Callithrix jacchus,51
0,Trichechus,Trichechus manatus latirostris,51
0,Peromyscus,Peromyscus californicus insignis,51
0,Phacochoerus,Phacochoerus africanus,50
0,Canis,Canis lupus dingo,50
0,Chionomys,Chionomys nivalis,50
0,Carlito,Carlito syrichta,50
0,Equus,Equus quagga,50
0,Myodes,Myodes glareolus,50
0,Perognathus,Perognathus longimembris pacificus,50
0,Ictidomys,Ictidomys tridecemlineatus,50
0,Sus,Sus scrofa domesticus,50
0,Sus,Sus scrofa,50
0,Talpa,Talpa occidentalis,50
0,Lontra,Lontra canadensis,50
0,Cynocephalus,Cynocephalus volans,50
0,Orycteropus,Orycteropus afer afer,50
0,Vicugna,Vicugna pacos,50
0,Aotus,Aotus nancymaae,50
0,Peromyscus,Peromyscus maniculatus bairdii,50
0,Rhinolophus,Rhinolophus ferrumequinum,49
0,Lutra,Lutra lutra,49
0,Arvicola,Arvicola amphibius,49
0,Zalophus,Zalophus californianus,49
0,Eumetopias,Eumetopias jubatus,49
0,Castor,Castor canadensis,49
0,Nyctereutes,Nyctereutes procyonoides,49
0,Desmodus,Desmodus rotundus,49
0,Peromyscus,Peromyscus leucopus,49
0,Dipodomys,Dipodomys spectabilis,49
0,Neofelis,Neofelis nebulosa,48
0,Meles,Meles meles,48
0,Odobenus,Odobenus rosmarus divergens,48
0,Leopardus,Leopardus geoffroyi,48
0,Diceros,Diceros bicornis minor,48
0,Dipodomys,Dipodomys ordii,48
0,Sciurus,Sciurus carolinensis,48
0,Rousettus,Rousettus aegyptiacus,48
0,Equus,Equus asinus,48
0,Heterocephalus,Heterocephalus glaber,48
0,Halichoerus,Halichoerus grypus,48
0,Phoca,Phoca vitulina,48
0,Mirounga,Mirounga angustirostris,47
0,Pteronotus,Pteronotus parnellii mesoamericanus,47
0,Prionailurus,Prionailurus viverrinus,47
0,Prionailurus,Prionailurus bengalensis,47
0,Panthera,Panthera uncia,47
0,Panthera,Panthera pardus,47
0,Oryctolagus,Oryctolagus cuniculus,47
0,Panthera,Panthera leo,47
0,Panthera,Panthera onca,47
0,Acinonyx,Acinonyx jubatus,47
0,Lynx,Lynx canadensis,47
0,Felis,Felis catus,47
0,Arvicanthis,Arvicanthis niloticus,47
0,Erinaceus,Erinaceus europaeus,47
0,Lepus,Lepus europaeus,47
0,Lynx,Lynx rufus,47
0,Callorhinus,Callorhinus ursinus,47
0,Ovis,Ovis aries,46
0,Hipposideros,Hipposideros armiger,46
0,Mirounga,Mirounga leonina,46
0,Pteropus,Pteropus giganteus,46
0,Hyaena,Hyaena hyaena,46
0,Meriones,Meriones unguiculatus,46
0,Panthera,Panthera tigris,46
0,Macaca,Macaca nemestrina,46
0,Rhinopithecus,Rhinopithecus roxellana,46
0,Psammomys,Psammomys obesus,45
0,Budorcas,Budorcas taxicolor,45
0,Pipistrellus,Pipistrellus kuhlii,45
0,Camelus,Camelus dromedarius,45
0,Capra,Capra hircus,45
0,Nannospalax,Nannospalax galili,45
0,Rattus,Rattus rattus,45
0,Microcebus,Microcebus murinus,45
0,Bison,Bison bison bison,45
0,Trachypithecus,Trachypithecus francoisi,45
0,Bos,Bos taurus,45
0,Molossus,Molossus molossus,45
0,Bos,Bos mutus,45
0,Bos,Bos javanicus,45
0,Bos,Bos indicus x Bos taurus,45
0,Bos,Bos indicus,45
0,Macaca,Macaca mulatta,45
0,Piliocolobus,Piliocolobus tephrosceles,44
0,Artibeus,Artibeus jamaicensis,44
0,Cercocebus,Cercocebus atys,44
0,Camelus,Camelus ferus,44
0,Phyllostomus,Phyllostomus hastatus,44
0,Physeter,Physeter catodon,44
0,Rhinopithecus,Rhinopithecus bieti,44
0,Theropithecus,Theropithecus gelada,44
0,Camelus,Camelus bactrianus,44
0,Rhinolophus,Rhinolophus sinicus,44
0,Rattus,Rattus norvegicus,44
0,Saimiri,Saimiri boliviensis boliviensis,44
0,Bubalus,Bubalus kerabau,44
0,Bubalus,Bubalus bubalis,44
0,Chlorocebus,Chlorocebus sabaeus,44
0,Mandrillus,Mandrillus leucophaeus,44
0,Neomonachus,Neomonachus schauinslandi,44
0,Macaca,Macaca fascicularis,44
0,Ochotona,Ochotona curzoniae,44
0,Lemur,Lemur catta,43
0,Papio,Papio anubis,43
0,Octodon,Octodon degus,43
0,Ochotona,Ochotona princeps,43
0,Neophocaena,Neophocaena asiaeorientalis,43
0,Urocitellus,Urocitellus parryii,43
0,Macaca,Macaca thibetana thibetana,43
0,Jaculus,Jaculus jaculus,43
0,Sturnira,Sturnira hondurensis,43
0,Phodopus,Phodopus roborovskii,42
0,Miniopterus,Miniopterus natalensis,42
0,Monodon,Monodon monoceros,42
0,Kogia,Kogia breviceps,42
0,Phyllostomus,Phyllostomus discolor,42
0,Suricata,Suricata suricatta,42
0,Oryx,Oryx dammah,42
0,Odocoileus,Odocoileus virginianus texanus,42
0,Cervus,Cervus canadensis,42
0,Cervus,Cervus elaphus,42
0,Cricetulus,Cricetulus griseus,42
0,Condylura,Condylura cristata,42
0,Colobus,Colobus angolensis palliatus,42
0,Homo,Homo sapiens,42
0,Gorilla,Gorilla gorilla gorilla,41
0,Otolemur,Otolemur garnettii,41
0,Tursiops,Tursiops truncatus,41
0,Ailuropoda,Ailuropoda melanoleuca,41
0,Globicephala,Globicephala melas,41
0,Pan,Pan paniscus,41
0,Dama,Dama dama,41
0,Pongo,Pongo pygmaeus,41
0,Pan,Pan troglodytes,41
0,Cavia,Cavia porcellus,41
0,Delphinapterus,Delphinapterus leucas,41
0,Eubalaena,Eubalaena glacialis,40
0,Chinchilla,Chinchilla lanigera,40
0,Ursus,Ursus maritimus,40
0,Ursus,Ursus arctos,40
0,Ursus,Ursus americanus,40
0,Orcinus,Orcinus orca,40
0,Symphalangus,Symphalangus syndactylus,40
0,Propithecus,Propithecus coquereli,40
0,Fukomys,Fukomys damarensis,40
0,Lagenorhynchus,Lagenorhynchus albirostris,40
0,Lagenorhynchus,Lagenorhynchus obliquidens,40
0,Delphinus,Delphinus delphis,40
0,Moschus,Moschus berezovskii,40
0,Pongo,Pongo abelii,39
0,Nomascus,Nomascus leucogenys,39
0,Hylobates,Hylobates moloch,39
0,Balaenoptera,Balaenoptera ricei,39
0,Phocoena,Phocoena sinus,38
0,Tupaia,Tupaia chinensis,38
0,Nycticebus,Nycticebus coucang,38
0,Mesoplodon,Mesoplodon densirostris,38
0,Balaenoptera,Balaenoptera acutorostrata,37
0,Balaenoptera,Balaenoptera musculus,37
0,Marmota,Marmota monax,36
0,Marmota,Marmota marmota marmota,36
0,Marmota,Marmota flaviventris,36
