,GENUS,SPECIES,Match
0,Elephas,Elephas maximus indicus,169
0,Loxodonta,Loxodonta africana,168
0,Cynocephalus,Cynocephalus volans,133
0,Galeopterus,Galeopterus variegatus,131
0,Choloepus,Choloepus didactylus,130
0,Panthera,Panthera onca,129
0,Panthera,Panthera uncia,129
0,Panthera,Panthera leo,129
0,Jaculus,Jaculus jaculus,127
0,Hyaena,Hyaena hyaena,127
0,Leopardus,Leopardus geoffroyi,127
0,Mirounga,Mirounga angustirostris,126
0,Nannospalax,Nannospalax galili,126
0,Camelus,Camelus dromedarius,126
0,Callorhinus,Callorhinus ursinus,126
0,Hipposideros,Hipposideros armiger,126
0,Panthera,Panthera tigris,126
0,Ailuropoda,Ailuropoda melanoleuca,126
0,Equus,Equus caballus,126
0,Mustela,Mustela lutreola,125
0,Lepus,Lepus europaeus,125
0,Lontra,Lontra canadensis,125
0,Lutra,Lutra lutra,125
0,Equus,Equus quagga,125
0,Eumetopias,Eumetopias jubatus,125
0,Mirounga,Mirounga leonina,125
0,Mustela,Mustela erminea,125
0,Mustela,Mustela nigripes,125
0,Oryctolagus,Oryctolagus cuniculus,125
0,Ursus,Ursus arctos,125
0,Ursus,Ursus americanus,125
0,Prionailurus,Prionailurus viverrinus,125
0,Neofelis,Neofelis nebulosa,125
0,Prionailurus,Prionailurus bengalensis,125
0,Neogale,Neogale vison,125
0,Odobenus,Odobenus rosmarus divergens,125
0,Mustela,Mustela putorius furo,125
0,Felis,Felis catus,124
0,Hippopotamus,Hippopotamus amphibius kiboko,124
0,Acinonyx,Acinonyx jubatus,124
0,Lynx,Lynx canadensis,124
0,Lynx,Lynx rufus,124
0,Canis,Canis lupus dingo,124
0,Ursus,Ursus maritimus,124
0,Vulpes,Vulpes lagopus,124
0,Vulpes,Vulpes vulpes,124
0,Hylobates,Hylobates moloch,123
0,Nyctereutes,Nyctereutes procyonoides,123
0,Phoca,Phoca vitulina,123
0,Symphalangus,Symphalangus syndactylus,123
0,Vicugna,Vicugna pacos,123
0,Equus,Equus asinus,123
0,Zalophus,Zalophus californianus,123
0,Camelus,Camelus bactrianus,123
0,Diceros,Diceros bicornis minor,123
0,Camelus,Camelus ferus,123
0,Marmota,Marmota flaviventris,122
0,Rousettus,Rousettus aegyptiacus,122
0,Ochotona,Ochotona princeps,122
0,Marmota,Marmota marmota marmota,122
0,Propithecus,Propithecus coquereli,122
0,Halichoerus,Halichoerus grypus,122
0,Meles,Meles meles,122
0,Marmota,Marmota monax,122
0,Canis,Canis lupus familiaris,122
0,Castor,Castor canadensis,122
0,Sciurus,Sciurus carolinensis,121
0,Lemur,Lemur catta,121
0,Panthera,Panthera pardus,121
0,Phacochoerus,Phacochoerus africanus,121
0,Trichechus,Trichechus manatus latirostris,121
0,Macaca,Macaca mulatta,121
0,Rattus,Rattus norvegicus,121
0,Rhinolophus,Rhinolophus sinicus,121
0,Bubalus,Bubalus kerabau,121
0,Suricata,Suricata suricatta,121
0,Gorilla,Gorilla gorilla gorilla,121
0,Orycteropus,Orycteropus afer afer,121
0,Nomascus,Nomascus leucogenys,120
0,Ochotona,Ochotona curzoniae,120
0,Microcebus,Microcebus murinus,120
0,Bubalus,Bubalus bubalis,120
0,Pteropus,Pteropus giganteus,120
0,Sus,Sus scrofa domesticus,120
0,Sus,Sus scrofa,120
0,Urocitellus,Urocitellus parryii,120
0,Papio,Papio anubis,119
0,Pongo,Pongo pygmaeus,119
0,Rattus,Rattus rattus,119
0,Mus,Mus caroli,119
0,Sturnira,Sturnira hondurensis,119
0,Moschus,Moschus berezovskii,119
0,Talpa,Talpa occidentalis,119
0,Pongo,Pongo abelii,119
0,Budorcas,Budorcas taxicolor,119
0,Manis,Manis javanica,119
0,Condylura,Condylura cristata,119
0,Cercocebus,Cercocebus atys,118
0,Mandrillus,Mandrillus leucophaeus,118
0,Bos,Bos indicus x Bos taurus,118
0,Bos,Bos javanicus,118
0,Bos,Bos taurus,118
0,Colobus,Colobus angolensis palliatus,118
0,Bos,Bos indicus,118
0,Phyllostomus,Phyllostomus hastatus,118
0,Pipistrellus,Pipistrellus kuhlii,118
0,Bison,Bison bison bison,118
0,Pan,Pan troglodytes,118
0,Pan,Pan paniscus,118
0,Artibeus,Artibeus jamaicensis,118
0,Sorex,Sorex fumeus,118
0,Grammomys,Grammomys surdaster,117
0,Piliocolobus,Piliocolobus tephrosceles,117
0,Cervus,Cervus elaphus,117
0,Phyllostomus,Phyllostomus discolor,117
0,Neomonachus,Neomonachus schauinslandi,117
0,Theropithecus,Theropithecus gelada,117
0,Cervus,Cervus canadensis,117
0,Dama,Dama dama,117
0,Homo,Homo sapiens,117
0,Rhinolophus,Rhinolophus ferrumequinum,117
0,Acomys,Acomys russatus,117
0,Ovis,Ovis aries,117
0,Capra,Capra hircus,117
0,Bos,Bos mutus,117
0,Oryx,Oryx dammah,116
0,Otolemur,Otolemur garnettii,116
0,Odocoileus,Odocoileus virginianus texanus,116
0,Chlorocebus,Chlorocebus sabaeus,116
0,Nycticebus,Nycticebus coucang,116
0,Rhinopithecus,Rhinopithecus bieti,116
0,Sorex,Sorex araneus,116
0,Miniopterus,Miniopterus natalensis,116
0,Ictidomys,Ictidomys tridecemlineatus,116
0,Macaca,Macaca thibetana thibetana,116
0,Heterocephalus,Heterocephalus glaber,116
0,Macaca,Macaca fascicularis,116
0,Carlito,Carlito syrichta,116
0,Tupaia,Tupaia chinensis,115
0,Tursiops,Tursiops truncatus,115
0,Mastomys,Mastomys coucha,115
0,Physeter,Physeter catodon,115
0,Rhinopithecus,Rhinopithecus roxellana,115
0,Erinaceus,Erinaceus europaeus,115
0,Dipodomys,Dipodomys ordii,115
0,Desmodus,Desmodus rotundus,115
0,Manis,Manis pentadactyla,115
0,Eptesicus,Eptesicus fuscus,115
0,Myotis,Myotis daubentonii,115
0,Lagenorhynchus,Lagenorhynchus albirostris,114
0,Myotis,Myotis myotis,114
0,Microtus,Microtus ochrogaster,114
0,Fukomys,Fukomys damarensis,114
0,Globicephala,Globicephala melas,114
0,Mus,Mus musculus,114
0,Macaca,Macaca nemestrina,114
0,Peromyscus,Peromyscus leucopus,114
0,Lagenorhynchus,Lagenorhynchus obliquidens,114
0,Arvicola,Arvicola amphibius,113
0,Orcinus,Orcinus orca,113
0,Chionomys,Chionomys nivalis,113
0,Chinchilla,Chinchilla lanigera,113
0,Peromyscus,Peromyscus californicus insignis,113
0,Mesoplodon,Mesoplodon densirostris,113
0,Callithrix,Callithrix jacchus,113
0,Delphinus,Delphinus delphis,113
0,Meriones,Meriones unguiculatus,113
0,Onychomys,Onychomys torridus,113
0,Arvicanthis,Arvicanthis niloticus,113
0,Myotis,Myotis lucifugus,113
0,Microtus,Microtus fortis,112
0,Dipodomys,Dipodomys spectabilis,112
0,Psammomys,Psammomys obesus,112
0,Microtus,Microtus oregoni,112
0,Dasypus,Dasypus novemcinctus,112
0,Cricetulus,Cricetulus griseus,112
0,Neophocaena,Neophocaena asiaeorientalis,112
0,Molossus,Molossus molossus,112
0,Cavia,Cavia porcellus,111
0,Peromyscus,Peromyscus maniculatus bairdii,111
0,Trachypithecus,Trachypithecus francoisi,111
0,Perognathus,Perognathus longimembris pacificus,111
0,Apodemus,Apodemus sylvaticus,111
0,Octodon,Octodon degus,111
0,Cebus,Cebus imitator,111
0,Aotus,Aotus nancymaae,110
0,Phodopus,Phodopus roborovskii,110
0,Sapajus,Sapajus apella,110
0,Myodes,Myodes glareolus,110
0,Pteronotus,Pteronotus parnellii mesoamericanus,110
0,Balaenoptera,Balaenoptera musculus,109
0,Mesocricetus,Mesocricetus auratus,109
0,Monodon,Monodon monoceros,108
0,Balaenoptera,Balaenoptera acutorostrata,108
0,Kogia,Kogia breviceps,108
0,Balaenoptera,Balaenoptera ricei,107
0,Echinops,Echinops telfairi,106
0,Suncus,Suncus etruscus,105
0,Saimiri,Saimiri boliviensis boliviensis,105
0,Delphinapterus,Delphinapterus leucas,105
0,Phocoena,Phocoena sinus,105
0,Eubalaena,Eubalaena glacialis,102
