,GENUS,SPECIES,Match
0,Loxodonta,Loxodonta africana,122
0,Elephas,Elephas maximus indicus,121
0,Cynocephalus,Cynocephalus volans,101
0,Canis,Canis lupus dingo,97
0,Vulpes,Vulpes vulpes,97
0,Vulpes,Vulpes lagopus,97
0,Galeopterus,Galeopterus variegatus,97
0,Nyctereutes,Nyctereutes procyonoides,97
0,Hippopotamus,Hippopotamus amphibius kiboko,96
0,Panthera,Panthera uncia,96
0,Manis,Manis javanica,96
0,Canis,Canis lupus familiaris,96
0,Panthera,Panthera onca,96
0,Panthera,Panthera leo,96
0,Capra,Capra hircus,95
0,Neofelis,Neofelis nebulosa,95
0,Prionailurus,Prionailurus viverrinus,95
0,Leopardus,Leopardus geoffroyi,95
0,Prionailurus,Prionailurus bengalensis,95
0,Miniopterus,Miniopterus natalensis,94
0,Lynx,Lynx rufus,94
0,Lynx,Lynx canadensis,94
0,Panthera,Panthera tigris,94
0,Hyaena,Hyaena hyaena,94
0,Ochotona,Ochotona princeps,94
0,Sorex,Sorex fumeus,94
0,Odocoileus,Odocoileus virginianus texanus,94
0,Acinonyx,Acinonyx jubatus,94
0,Ovis,Ovis aries,93
0,Ailuropoda,Ailuropoda melanoleuca,93
0,Desmodus,Desmodus rotundus,93
0,Cervus,Cervus canadensis,93
0,Cervus,Cervus elaphus,93
0,Ochotona,Ochotona curzoniae,93
0,Felis,Felis catus,93
0,Ursus,Ursus arctos,93
0,Ursus,Ursus americanus,93
0,Nannospalax,Nannospalax galili,93
0,Moschus,Moschus berezovskii,93
0,Jaculus,Jaculus jaculus,93
0,Bubalus,Bubalus kerabau,92
0,Budorcas,Budorcas taxicolor,92
0,Halichoerus,Halichoerus grypus,92
0,Panthera,Panthera pardus,92
0,Bubalus,Bubalus bubalis,92
0,Camelus,Camelus dromedarius,92
0,Ursus,Ursus maritimus,92
0,Odobenus,Odobenus rosmarus divergens,92
0,Sciurus,Sciurus carolinensis,92
0,Oryx,Oryx dammah,92
0,Dama,Dama dama,92
0,Phyllostomus,Phyllostomus discolor,91
0,Bos,Bos taurus,91
0,Bos,Bos javanicus,91
0,Marmota,Marmota marmota marmota,91
0,Marmota,Marmota monax,91
0,Bos,Bos indicus x Bos taurus,91
0,Physeter,Physeter catodon,91
0,Sturnira,Sturnira hondurensis,91
0,Callithrix,Callithrix jacchus,91
0,Phoca,Phoca vitulina,91
0,Phacochoerus,Phacochoerus africanus,91
0,Bison,Bison bison bison,91
0,Urocitellus,Urocitellus parryii,91
0,Choloepus,Choloepus didactylus,91
0,Vicugna,Vicugna pacos,91
0,Bos,Bos indicus,91
0,Marmota,Marmota flaviventris,91
0,Suricata,Suricata suricatta,91
0,Callorhinus,Callorhinus ursinus,91
0,Rousettus,Rousettus aegyptiacus,91
0,Lutra,Lutra lutra,90
0,Sorex,Sorex araneus,90
0,Talpa,Talpa occidentalis,90
0,Pan,Pan paniscus,90
0,Pan,Pan troglodytes,90
0,Symphalangus,Symphalangus syndactylus,90
0,Molossus,Molossus molossus,90
0,Eumetopias,Eumetopias jubatus,90
0,Pongo,Pongo pygmaeus,90
0,Bos,Bos mutus,90
0,Oryctolagus,Oryctolagus cuniculus,90
0,Sus,Sus scrofa,90
0,Hylobates,Hylobates moloch,90
0,Ictidomys,Ictidomys tridecemlineatus,90
0,Sus,Sus scrofa domesticus,90
0,Mustela,Mustela lutreola,89
0,Neogale,Neogale vison,89
0,Colobus,Colobus angolensis palliatus,89
0,Erinaceus,Erinaceus europaeus,89
0,Mustela,Mustela nigripes,89
0,Mustela,Mustela putorius furo,89
0,Phyllostomus,Phyllostomus hastatus,89
0,Papio,Papio anubis,89
0,Pipistrellus,Pipistrellus kuhlii,89
0,Theropithecus,Theropithecus gelada,89
0,Camelus,Camelus bactrianus,89
0,Piliocolobus,Piliocolobus tephrosceles,89
0,Mustela,Mustela erminea,89
0,Myotis,Myotis daubentonii,89
0,Trichechus,Trichechus manatus latirostris,89
0,Manis,Manis pentadactyla,89
0,Gorilla,Gorilla gorilla gorilla,89
0,Mandrillus,Mandrillus leucophaeus,89
0,Macaca,Macaca thibetana thibetana,89
0,Lepus,Lepus europaeus,89
0,Macaca,Macaca mulatta,89
