,GENUS,SPECIES,Match
0,Myodes,Myodes glareolus,79
0,Microtus,Microtus ochrogaster,79
0,Chionomys,Chionomys nivalis,78
0,Arvicola,Arvicola amphibius,78
0,Microtus,Microtus fortis,78
0,Microtus,Microtus oregoni,75
0,Mesocricetus,Mesocricetus auratus,73
0,Peromyscus,Peromyscus californicus insignis,72
0,Rattus,Rattus norvegicus,71
0,Rattus,Rattus rattus,71
0,Phodopus,Phodopus roborovskii,70
0,Cricetulus,Cricetulus griseus,70
0,Grammomys,Grammomys surdaster,69
0,Onychomys,Onychomys torridus,69
0,Peromyscus,Peromyscus leucopus,69
0,Psammomys,Psammomys obesus,69
0,Peromyscus,Peromyscus maniculatus bairdii,68
0,Meriones,Meriones unguiculatus,68
0,Apodemus,Apodemus sylvaticus,65
0,Mastomys,Mastomys coucha,64
0,Fukomys,Fukomys damarensis,64
0,Nannospalax,Nannospalax galili,64
0,Oryctolagus,Oryctolagus cuniculus,63
0,Lepus,Lepus europaeus,63
0,Suncus,Suncus etruscus,63
0,Arvicanthis,Arvicanthis niloticus,63
0,Equus,Equus asinus,62
0,Equus,Equus caballus,62
0,Sorex,Sorex fumeus,62
0,Equus,Equus quagga,62
0,Chinchilla,Chinchilla lanigera,61
0,Sorex,Sorex araneus,61
0,Callithrix,Callithrix jacchus,60
0,Pipistrellus,Pipistrellus kuhlii,60
0,Mirounga,Mirounga angustirostris,60
0,Myotis,Myotis daubentonii,60
0,Mirounga,Mirounga leonina,60
0,Heterocephalus,Heterocephalus glaber,60
0,Aotus,Aotus nancymaae,60
0,Myotis,Myotis myotis,59
0,Galeopterus,Galeopterus variegatus,59
0,Hyaena,Hyaena hyaena,59
0,Myotis,Myotis lucifugus,59
0,Sciurus,Sciurus carolinensis,59
0,Urocitellus,Urocitellus parryii,59
0,Choloepus,Choloepus didactylus,59
0,Carlito,Carlito syrichta,59
0,Rhinolophus,Rhinolophus sinicus,59
0,Perognathus,Perognathus longimembris pacificus,58
