,GENUS,SPECIES,Match
0,Panthera,Panthera leo,146
0,Panthera,Panthera onca,146
0,Panthera,Panthera uncia,146
0,Panthera,Panthera tigris,145
0,Acinonyx,Acinonyx jubatus,142
0,Leopardus,Leopardus geoffroyi,142
0,Lynx,Lynx canadensis,142
0,Lynx,Lynx rufus,142
0,Prionailurus,Prionailurus viverrinus,142
0,Prionailurus,Prionailurus bengalensis,142
0,Neofelis,Neofelis nebulosa,141
0,Suricata,Suricata suricatta,141
0,Felis,Felis catus,140
0,Hyaena,Hyaena hyaena,139
0,Panthera,Panthera pardus,137
0,Ailuropoda,Ailuropoda melanoleuca,135
0,Ursus,Ursus americanus,133
0,Ursus,Ursus arctos,133
0,Ursus,Ursus maritimus,133
0,Lutra,Lutra lutra,132
0,Canis,Canis lupus dingo,131
0,Vulpes,Vulpes vulpes,130
0,Vulpes,Vulpes lagopus,130
0,Neogale,Neogale vison,130
0,Mustela,Mustela erminea,130
0,Mustela,Mustela lutreola,130
0,Mustela,Mustela nigripes,130
0,Mustela,Mustela putorius furo,130
0,Nyctereutes,Nyctereutes procyonoides,130
0,Lontra,Lontra canadensis,129
0,Canis,Canis lupus familiaris,128
0,Meles,Meles meles,128
0,Manis,Manis javanica,125
0,Eumetopias,Eumetopias jubatus,125
0,Callorhinus,Callorhinus ursinus,124
0,Zalophus,Zalophus californianus,123
0,Manis,Manis pentadactyla,122
0,Jaculus,Jaculus jaculus,120
0,Oryctolagus,Oryctolagus cuniculus,120
0,Urocitellus,Urocitellus parryii,120
0,Diceros,Diceros bicornis minor,119
0,Erinaceus,Erinaceus europaeus,119
0,Equus,Equus quagga,119
0,Equus,Equus caballus,119
0,Rhinolophus,Rhinolophus sinicus,118
0,Dipodomys,Dipodomys ordii,118
0,Sciurus,Sciurus carolinensis,118
0,Choloepus,Choloepus didactylus,118
0,Equus,Equus asinus,117
0,Lepus,Lepus europaeus,117
0,Dipodomys,Dipodomys spectabilis,117
0,Marmota,Marmota flaviventris,117
0,Marmota,Marmota marmota marmota,117
0,Marmota,Marmota monax,117
0,Mirounga,Mirounga angustirostris,116
0,Rousettus,Rousettus aegyptiacus,116
0,Phoca,Phoca vitulina,116
0,Rhinolophus,Rhinolophus ferrumequinum,116
0,Odobenus,Odobenus rosmarus divergens,116
0,Ictidomys,Ictidomys tridecemlineatus,116
0,Galeopterus,Galeopterus variegatus,115
0,Sorex,Sorex fumeus,115
0,Cynocephalus,Cynocephalus volans,114
0,Mirounga,Mirounga leonina,114
0,Myotis,Myotis daubentonii,114
0,Halichoerus,Halichoerus grypus,114
0,Tupaia,Tupaia chinensis,114
0,Nycticebus,Nycticebus coucang,113
0,Ochotona,Ochotona princeps,113
0,Sorex,Sorex araneus,113
0,Ochotona,Ochotona curzoniae,113
0,Myotis,Myotis myotis,113
0,Myotis,Myotis lucifugus,113
0,Nannospalax,Nannospalax galili,112
0,Pipistrellus,Pipistrellus kuhlii,111
0,Vicugna,Vicugna pacos,111
0,Camelus,Camelus dromedarius,111
0,Rattus,Rattus norvegicus,110
0,Bos,Bos javanicus,110
0,Miniopterus,Miniopterus natalensis,110
0,Neophocaena,Neophocaena asiaeorientalis,110
0,Bos,Bos taurus,110
0,Gorilla,Gorilla gorilla gorilla,110
0,Condylura,Condylura cristata,110
0,Otolemur,Otolemur garnettii,110
0,Talpa,Talpa occidentalis,110
0,Piliocolobus,Piliocolobus tephrosceles,110
0,Castor,Castor canadensis,110
0,Bos,Bos indicus x Bos taurus,110
0,Bos,Bos indicus,110
0,Bison,Bison bison bison,110
0,Bos,Bos mutus,109
0,Pteropus,Pteropus giganteus,109
0,Eptesicus,Eptesicus fuscus,109
0,Desmodus,Desmodus rotundus,109
0,Colobus,Colobus angolensis palliatus,109
0,Bubalus,Bubalus kerabau,109
0,Bubalus,Bubalus bubalis,109
0,Perognathus,Perognathus longimembris pacificus,109
0,Grammomys,Grammomys surdaster,109
0,Pongo,Pongo pygmaeus,108
