,GENUS,SPECIES,Match
0,Acinonyx,Acinonyx jubatus,159
0,Lynx,Lynx rufus,159
0,Lynx,Lynx canadensis,159
0,Hyaena,Hyaena hyaena,159
0,Felis,Felis catus,159
0,Prionailurus,Prionailurus bengalensis,159
0,Prionailurus,Prionailurus viverrinus,159
0,Leopardus,Leopardus geoffroyi,158
0,Neofelis,Neofelis nebulosa,158
0,Suricata,Suricata suricatta,157
0,Panthera,Panthera leo,157
0,Panthera,Panthera onca,157
0,Panthera,Panthera uncia,157
0,Panthera,Panthera pardus,157
0,Panthera,Panthera tigris,156
0,Manis,Manis pentadactyla,148
0,Manis,Manis javanica,148
0,Vulpes,Vulpes vulpes,147
0,Ailuropoda,Ailuropoda melanoleuca,147
0,Ursus,Ursus maritimus,146
0,Ursus,Ursus americanus,146
0,Vulpes,Vulpes lagopus,146
0,Ursus,Ursus arctos,146
0,Nyctereutes,Nyctereutes procyonoides,144
0,Cynocephalus,Cynocephalus volans,144
0,Canis,Canis lupus dingo,144
0,Lutra,Lutra lutra,143
0,Canis,Canis lupus familiaris,143
0,Meles,Meles meles,143
0,Lepus,Lepus europaeus,143
0,Grammomys,Grammomys surdaster,142
0,Mustela,Mustela lutreola,142
0,Mustela,Mustela putorius furo,142
0,Diceros,Diceros bicornis minor,142
0,Mustela,Mustela nigripes,142
0,Neogale,Neogale vison,142
0,Galeopterus,Galeopterus variegatus,142
0,Mustela,Mustela erminea,142
0,Rhinolophus,Rhinolophus sinicus,141
0,Pipistrellus,Pipistrellus kuhlii,141
0,Lontra,Lontra canadensis,141
0,Rhinolophus,Rhinolophus ferrumequinum,141
0,Urocitellus,Urocitellus parryii,140
0,Sus,Sus scrofa domesticus,140
0,Myotis,Myotis daubentonii,140
0,Choloepus,Choloepus didactylus,140
0,Jaculus,Jaculus jaculus,140
0,Sus,Sus scrofa,140
0,Myotis,Myotis lucifugus,139
0,Sorex,Sorex fumeus,139
0,Sciurus,Sciurus carolinensis,139
0,Dipodomys,Dipodomys spectabilis,139
0,Dipodomys,Dipodomys ordii,139
0,Rousettus,Rousettus aegyptiacus,138
0,Sorex,Sorex araneus,138
0,Equus,Equus quagga,138
0,Erinaceus,Erinaceus europaeus,138
0,Callorhinus,Callorhinus ursinus,138
0,Phoca,Phoca vitulina,138
0,Mirounga,Mirounga angustirostris,138
0,Ictidomys,Ictidomys tridecemlineatus,138
0,Myotis,Myotis myotis,137
0,Mirounga,Mirounga leonina,137
0,Eptesicus,Eptesicus fuscus,137
0,Eumetopias,Eumetopias jubatus,137
0,Rattus,Rattus norvegicus,137
0,Equus,Equus caballus,137
0,Equus,Equus asinus,137
0,Phacochoerus,Phacochoerus africanus,137
0,Bos,Bos taurus,136
0,Marmota,Marmota marmota marmota,136
0,Marmota,Marmota monax,136
0,Bubalus,Bubalus bubalis,136
0,Bubalus,Bubalus kerabau,136
0,Bos,Bos indicus x Bos taurus,136
0,Camelus,Camelus bactrianus,136
0,Camelus,Camelus dromedarius,136
0,Camelus,Camelus ferus,136
0,Bos,Bos javanicus,136
0,Odobenus,Odobenus rosmarus divergens,136
0,Bison,Bison bison bison,136
0,Marmota,Marmota flaviventris,136
0,Oryctolagus,Oryctolagus cuniculus,136
0,Halichoerus,Halichoerus grypus,136
0,Pteropus,Pteropus giganteus,135
0,Psammomys,Psammomys obesus,135
0,Bos,Bos indicus,135
0,Vicugna,Vicugna pacos,135
0,Bos,Bos mutus,135
0,Nannospalax,Nannospalax galili,135
0,Sturnira,Sturnira hondurensis,134
0,Meriones,Meriones unguiculatus,134
0,Molossus,Molossus molossus,134
0,Zalophus,Zalophus californianus,134
0,Carlito,Carlito syrichta,133
0,Hippopotamus,Hippopotamus amphibius kiboko,133
0,Desmodus,Desmodus rotundus,133
0,Oryx,Oryx dammah,133
0,Neomonachus,Neomonachus schauinslandi,133
0,Pongo,Pongo pygmaeus,132
0,Otolemur,Otolemur garnettii,132
0,Rattus,Rattus rattus,132
0,Talpa,Talpa occidentalis,132
0,Homo,Homo sapiens,132
0,Tupaia,Tupaia chinensis,132
0,Trichechus,Trichechus manatus latirostris,131
0,Miniopterus,Miniopterus natalensis,131
0,Hipposideros,Hipposideros armiger,131
0,Pongo,Pongo abelii,131
0,Gorilla,Gorilla gorilla gorilla,131
0,Condylura,Condylura cristata,130
0,Perognathus,Perognathus longimembris pacificus,130
0,Suncus,Suncus etruscus,130
0,Hylobates,Hylobates moloch,130
0,Artibeus,Artibeus jamaicensis,130
0,Mastomys,Mastomys coucha,130
0,Globicephala,Globicephala melas,129
0,Phyllostomus,Phyllostomus discolor,129
0,Orcinus,Orcinus orca,129
0,Lagenorhynchus,Lagenorhynchus albirostris,129
0,Mus,Mus caroli,129
0,Lagenorhynchus,Lagenorhynchus obliquidens,129
0,Moschus,Moschus berezovskii,129
0,Budorcas,Budorcas taxicolor,129
0,Symphalangus,Symphalangus syndactylus,129
0,Arvicanthis,Arvicanthis niloticus,129
0,Pteronotus,Pteronotus parnellii mesoamericanus,129
0,Delphinus,Delphinus delphis,128
0,Pan,Pan paniscus,128
0,Piliocolobus,Piliocolobus tephrosceles,128
0,Chlorocebus,Chlorocebus sabaeus,128
0,Phyllostomus,Phyllostomus hastatus,128
0,Neophocaena,Neophocaena asiaeorientalis,128
0,Ochotona,Ochotona curzoniae,128
0,Tursiops,Tursiops truncatus,128
0,Capra,Capra hircus,128
0,Ochotona,Ochotona princeps,128
0,Heterocephalus,Heterocephalus glaber,127
0,Balaenoptera,Balaenoptera musculus,127
0,Pan,Pan troglodytes,127
0,Loxodonta,Loxodonta africana,127
0,Callithrix,Callithrix jacchus,127
0,Octodon,Octodon degus,127
0,Ovis,Ovis aries,127
0,Nomascus,Nomascus leucogenys,127
0,Castor,Castor canadensis,127
0,Colobus,Colobus angolensis palliatus,127
0,Theropithecus,Theropithecus gelada,126
0,Rhinopithecus,Rhinopithecus roxellana,126
0,Propithecus,Propithecus coquereli,126
0,Papio,Papio anubis,126
0,Microcebus,Microcebus murinus,126
0,Acomys,Acomys russatus,126
0,Nycticebus,Nycticebus coucang,126
0,Macaca,Macaca fascicularis,126
0,Lemur,Lemur catta,126
0,Mus,Mus musculus,126
0,Macaca,Macaca thibetana thibetana,126
0,Fukomys,Fukomys damarensis,126
0,Macaca,Macaca mulatta,126
0,Elephas,Elephas maximus indicus,125
0,Rhinopithecus,Rhinopithecus bieti,125
0,Odocoileus,Odocoileus virginianus texanus,125
0,Mandrillus,Mandrillus leucophaeus,125
0,Cercocebus,Cercocebus atys,125
0,Sapajus,Sapajus apella,124
0,Dama,Dama dama,124
0,Cebus,Cebus imitator,124
0,Chinchilla,Chinchilla lanigera,124
0,Apodemus,Apodemus sylvaticus,124
0,Balaenoptera,Balaenoptera acutorostrata,123
0,Mesoplodon,Mesoplodon densirostris,123
0,Trachypithecus,Trachypithecus francoisi,123
0,Cervus,Cervus canadensis,123
0,Onychomys,Onychomys torridus,123
0,Phocoena,Phocoena sinus,123
0,Cervus,Cervus elaphus,123
0,Peromyscus,Peromyscus californicus insignis,122
0,Mesocricetus,Mesocricetus auratus,122
0,Balaenoptera,Balaenoptera ricei,122
0,Microtus,Microtus fortis,121
0,Macaca,Macaca nemestrina,121
0,Cavia,Cavia porcellus,121
0,Microtus,Microtus ochrogaster,121
0,Peromyscus,Peromyscus leucopus,121
0,Phodopus,Phodopus roborovskii,120
0,Cricetulus,Cricetulus griseus,120
0,Kogia,Kogia breviceps,120
0,Physeter,Physeter catodon,120
0,Aotus,Aotus nancymaae,120
0,Orycteropus,Orycteropus afer afer,120
0,Arvicola,Arvicola amphibius,119
0,Saimiri,Saimiri boliviensis boliviensis,119
0,Eubalaena,Eubalaena glacialis,119
0,Monodon,Monodon monoceros,118
0,Peromyscus,Peromyscus maniculatus bairdii,118
0,Microtus,Microtus oregoni,117
0,Myodes,Myodes glareolus,117
0,Chionomys,Chionomys nivalis,117
0,Dasypus,Dasypus novemcinctus,117
0,Delphinapterus,Delphinapterus leucas,114
0,Echinops,Echinops telfairi,108
