,GENUS,SPECIES,Match
0,Lepus,Lepus europaeus,136
0,Oryctolagus,Oryctolagus cuniculus,135
0,Sciurus,Sciurus carolinensis,128
0,Equus,Equus quagga,127
0,Equus,Equus caballus,127
0,Equus,Equus asinus,126
0,Galeopterus,Galeopterus variegatus,126
0,Urocitellus,Urocitellus parryii,125
0,Cynocephalus,Cynocephalus volans,125
0,Vicugna,Vicugna pacos,124
0,Camelus,Camelus dromedarius,122
0,Marmota,Marmota flaviventris,120
0,Marmota,Marmota marmota marmota,120
0,Marmota,Marmota monax,120
0,Phacochoerus,Phacochoerus africanus,119
0,Rhinolophus,Rhinolophus sinicus,119
0,Castor,Castor canadensis,119
0,Camelus,Camelus bactrianus,119
0,Camelus,Camelus ferus,119
0,Acinonyx,Acinonyx jubatus,118
0,Panthera,Panthera leo,118
0,Panthera,Panthera uncia,118
0,Neofelis,Neofelis nebulosa,118
0,Panthera,Panthera onca,118
0,Lynx,Lynx rufus,118
0,Lynx,Lynx canadensis,118
0,Felis,Felis catus,118
0,Sus,Sus scrofa,118
0,Propithecus,Propithecus coquereli,118
0,Diceros,Diceros bicornis minor,118
0,Sus,Sus scrofa domesticus,118
0,Prionailurus,Prionailurus viverrinus,118
0,Prionailurus,Prionailurus bengalensis,118
0,Choloepus,Choloepus didactylus,117
0,Ursus,Ursus maritimus,117
0,Ursus,Ursus arctos,117
0,Ursus,Ursus americanus,117
0,Ailuropoda,Ailuropoda melanoleuca,117
0,Ochotona,Ochotona curzoniae,117
0,Tupaia,Tupaia chinensis,117
0,Ictidomys,Ictidomys tridecemlineatus,117
0,Jaculus,Jaculus jaculus,117
0,Nyctereutes,Nyctereutes procyonoides,117
0,Panthera,Panthera pardus,117
0,Panthera,Panthera tigris,116
0,Leopardus,Leopardus geoffroyi,116
0,Octodon,Octodon degus,116
0,Ochotona,Ochotona princeps,116
0,Dipodomys,Dipodomys ordii,116
0,Rattus,Rattus norvegicus,116
0,Saimiri,Saimiri boliviensis boliviensis,116
0,Suricata,Suricata suricatta,115
0,Callithrix,Callithrix jacchus,115
0,Canis,Canis lupus dingo,115
0,Vulpes,Vulpes vulpes,115
0,Hyaena,Hyaena hyaena,115
0,Erinaceus,Erinaceus europaeus,115
0,Talpa,Talpa occidentalis,114
0,Rhinopithecus,Rhinopithecus roxellana,114
0,Rhinolophus,Rhinolophus ferrumequinum,114
0,Miniopterus,Miniopterus natalensis,114
0,Rattus,Rattus rattus,114
0,Condylura,Condylura cristata,114
0,Vulpes,Vulpes lagopus,114
0,Pongo,Pongo pygmaeus,114
0,Dipodomys,Dipodomys spectabilis,113
0,Manis,Manis javanica,113
0,Sorex,Sorex fumeus,113
0,Piliocolobus,Piliocolobus tephrosceles,113
0,Sturnira,Sturnira hondurensis,112
0,Pongo,Pongo abelii,112
0,Symphalangus,Symphalangus syndactylus,112
0,Canis,Canis lupus familiaris,112
0,Meles,Meles meles,112
0,Papio,Papio anubis,112
0,Colobus,Colobus angolensis palliatus,112
0,Homo,Homo sapiens,112
0,Rhinopithecus,Rhinopithecus bieti,112
0,Trachypithecus,Trachypithecus francoisi,112
