,GENUS,SPECIES,Match
0,Lepus,Lepus europaeus,146
0,Oryctolagus,Oryctolagus cuniculus,145
0,Galeopterus,Galeopterus variegatus,136
0,Sciurus,Sciurus carolinensis,136
0,Cynocephalus,Cynocephalus volans,135
0,Urocitellus,Urocitellus parryii,133
0,Equus,Equus quagga,132
0,Equus,Equus caballus,131
0,Panthera,Panthera uncia,131
0,Panthera,Panthera onca,131
0,Panthera,Panthera leo,131
0,Equus,Equus asinus,130
0,Ailuropoda,Ailuropoda melanoleuca,130
0,Lynx,Lynx rufus,129
0,Prionailurus,Prionailurus bengalensis,129
0,Felis,Felis catus,129
0,Hyaena,Hyaena hyaena,129
0,Prionailurus,Prionailurus viverrinus,129
0,Diceros,Diceros bicornis minor,129
0,Lynx,Lynx canadensis,129
0,Acinonyx,Acinonyx jubatus,129
0,Manis,Manis javanica,129
0,Neofelis,Neofelis nebulosa,129
0,Vicugna,Vicugna pacos,129
0,Nyctereutes,Nyctereutes procyonoides,129
0,Panthera,Panthera tigris,129
0,Leopardus,Leopardus geoffroyi,128
0,Ursus,Ursus maritimus,128
0,Ursus,Ursus arctos,128
0,Ursus,Ursus americanus,128
0,Marmota,Marmota marmota marmota,128
0,Marmota,Marmota monax,128
0,Propithecus,Propithecus coquereli,128
0,Marmota,Marmota flaviventris,128
0,Condylura,Condylura cristata,127
0,Sorex,Sorex fumeus,126
0,Vulpes,Vulpes vulpes,126
0,Suricata,Suricata suricatta,126
0,Callithrix,Callithrix jacchus,126
0,Rhinopithecus,Rhinopithecus roxellana,126
0,Canis,Canis lupus dingo,126
0,Rhinolophus,Rhinolophus sinicus,125
0,Vulpes,Vulpes lagopus,125
0,Camelus,Camelus dromedarius,125
0,Erinaceus,Erinaceus europaeus,125
0,Saimiri,Saimiri boliviensis boliviensis,125
0,Sturnira,Sturnira hondurensis,125
0,Phoca,Phoca vitulina,125
0,Lutra,Lutra lutra,124
0,Halichoerus,Halichoerus grypus,124
0,Panthera,Panthera pardus,124
0,Meles,Meles meles,124
0,Pongo,Pongo pygmaeus,124
