,GENUS,SPECIES,Match,ID_score
0,Arvicola,Arvicola amphibius,138,0.9942681610584259
0,Microtus,Microtus fortis,136,0.9843806659829789
0,Microtus,Microtus oregoni,135,0.9791787111240884
0,Myodes,Myodes glareolus,135,0.9783429347950479
0,Chionomys,Chionomys nivalis,133,0.9682306408018305
0,Microtus,Microtus ochrogaster,133,0.9680131434530451
0,Psammomys,Psammomys obesus,129,0.9410085569257322
0,Rattus,Rattus norvegicus,129,0.939948190295178
0,Peromyscus,Peromyscus californicus insignis,125,0.9340579829354216
0,Rattus,Rattus rattus,127,0.9290376708991285
0,Grammomys,Grammomys surdaster,126,0.9278460655523383
0,Phodopus,Phodopus roborovskii,125,0.9260577879090239
0,Onychomys,Onychomys torridus,124,0.9243920276130455
0,Cricetulus,Cricetulus griseus,125,0.9241465351719786
0,Meriones,Meriones unguiculatus,125,0.9215735814709594
0,Peromyscus,Peromyscus leucopus,123,0.921038114765416
0,Apodemus,Apodemus sylvaticus,124,0.9152973124946373
0,Mesocricetus,Mesocricetus auratus,123,0.9143370029718979
0,Nannospalax,Nannospalax galili,119,0.8979781934316607
0,Urocitellus,Urocitellus parryii,119,0.8903243311937304
