,GENUS,SPECIES,Match
0,Rhinolophus,Rhinolophus sinicus,102
0,Rhinolophus,Rhinolophus ferrumequinum,101
0,Pipistrellus,Pipistrellus kuhlii,92
0,Hipposideros,Hipposideros armiger,92
0,Bubalus,Bubalus kerabau,91
0,Bubalus,Bubalus bubalis,91
0,Rousettus,Rousettus aegyptiacus,90
0,Pteropus,Pteropus giganteus,90
0,Neophocaena,Neophocaena asiaeorientalis,89
0,Bos,Bos indicus x Bos taurus,88
0,Bos,Bos taurus,88
0,Bos,Bos javanicus,88
0,Sturnira,Sturnira hondurensis,88
0,Oryx,Oryx dammah,88
0,Chlorocebus,Chlorocebus sabaeus,88
0,Hippopotamus,Hippopotamus amphibius kiboko,88
0,Bison,Bison bison bison,88
0,Urocitellus,Urocitellus parryii,87
0,Sciurus,Sciurus carolinensis,87
0,Marmota,Marmota monax,87
0,Marmota,Marmota marmota marmota,87
0,Marmota,Marmota flaviventris,87
0,Rhinopithecus,Rhinopithecus bieti,87
0,Artibeus,Artibeus jamaicensis,87
0,Bos,Bos mutus,87
0,Piliocolobus,Piliocolobus tephrosceles,87
0,Ovis,Ovis aries,87
0,Macaca,Macaca thibetana thibetana,86
0,Eptesicus,Eptesicus fuscus,86
0,Sus,Sus scrofa domesticus,86
0,Theropithecus,Theropithecus gelada,86
0,Phyllostomus,Phyllostomus discolor,86
0,Colobus,Colobus angolensis palliatus,86
0,Macaca,Macaca fascicularis,86
0,Budorcas,Budorcas taxicolor,86
0,Callithrix,Callithrix jacchus,86
0,Pteronotus,Pteronotus parnellii mesoamericanus,86
0,Bos,Bos indicus,86
0,Capra,Capra hircus,86
0,Sus,Sus scrofa,86
0,Macaca,Macaca mulatta,85
0,Mandrillus,Mandrillus leucophaeus,85
0,Prionailurus,Prionailurus bengalensis,85
0,Prionailurus,Prionailurus viverrinus,85
0,Lynx,Lynx rufus,85
0,Lynx,Lynx canadensis,85
0,Papio,Papio anubis,85
0,Heterocephalus,Heterocephalus glaber,85
0,Felis,Felis catus,85
0,Rhinopithecus,Rhinopithecus roxellana,85
0,Symphalangus,Symphalangus syndactylus,85
0,Acinonyx,Acinonyx jubatus,85
0,Trachypithecus,Trachypithecus francoisi,85
0,Cercocebus,Cercocebus atys,85
0,Phacochoerus,Phacochoerus africanus,84
0,Choloepus,Choloepus didactylus,84
0,Ailuropoda,Ailuropoda melanoleuca,84
0,Vulpes,Vulpes vulpes,84
0,Ursus,Ursus americanus,84
0,Canis,Canis lupus dingo,84
0,Miniopterus,Miniopterus natalensis,84
0,Molossus,Molossus molossus,84
0,Myotis,Myotis daubentonii,84
0,Phyllostomus,Phyllostomus hastatus,84
0,Myotis,Myotis myotis,84
0,Neofelis,Neofelis nebulosa,84
0,Ursus,Ursus arctos,84
0,Nyctereutes,Nyctereutes procyonoides,84
0,Pan,Pan troglodytes,84
0,Pan,Pan paniscus,84
0,Octodon,Octodon degus,84
0,Panthera,Panthera uncia,84
0,Panthera,Panthera leo,84
0,Myotis,Myotis lucifugus,84
0,Panthera,Panthera onca,84
0,Hylobates,Hylobates moloch,84
0,Hyaena,Hyaena hyaena,84
0,Suncus,Suncus etruscus,84
0,Equus,Equus caballus,84
0,Equus,Equus quagga,84
0,Meles,Meles meles,83
0,Suricata,Suricata suricatta,83
0,Nomascus,Nomascus leucogenys,83
0,Vulpes,Vulpes lagopus,83
0,Neogale,Neogale vison,83
0,Canis,Canis lupus familiaris,83
0,Nannospalax,Nannospalax galili,83
0,Mirounga,Mirounga angustirostris,83
0,Mirounga,Mirounga leonina,83
0,Galeopterus,Galeopterus variegatus,83
0,Mustela,Mustela erminea,83
0,Mustela,Mustela lutreola,83
0,Mustela,Mustela nigripes,83
0,Mustela,Mustela putorius furo,83
0,Phocoena,Phocoena sinus,83
0,Diceros,Diceros bicornis minor,83
0,Lutra,Lutra lutra,83
0,Equus,Equus asinus,83
0,Orcinus,Orcinus orca,83
0,Leopardus,Leopardus geoffroyi,83
0,Jaculus,Jaculus jaculus,83
0,Panthera,Panthera tigris,83
0,Homo,Homo sapiens,83
0,Rattus,Rattus norvegicus,82
0,Globicephala,Globicephala melas,82
0,Moschus,Moschus berezovskii,82
0,Lontra,Lontra canadensis,82
0,Ursus,Ursus maritimus,82
0,Dipodomys,Dipodomys ordii,82
0,Fukomys,Fukomys damarensis,82
0,Tupaia,Tupaia chinensis,82
0,Chinchilla,Chinchilla lanigera,82
0,Odobenus,Odobenus rosmarus divergens,82
0,Gorilla,Gorilla gorilla gorilla,82
0,Pongo,Pongo pygmaeus,81
0,Vicugna,Vicugna pacos,81
0,Odocoileus,Odocoileus virginianus texanus,81
0,Pongo,Pongo abelii,81
0,Rattus,Rattus rattus,81
0,Lagenorhynchus,Lagenorhynchus albirostris,81
0,Lagenorhynchus,Lagenorhynchus obliquidens,81
0,Delphinus,Delphinus delphis,81
0,Dama,Dama dama,81
0,Condylura,Condylura cristata,81
0,Macaca,Macaca nemestrina,81
0,Cervus,Cervus elaphus,81
0,Panthera,Panthera pardus,81
0,Tursiops,Tursiops truncatus,81
0,Camelus,Camelus dromedarius,81
0,Cervus,Cervus canadensis,81
0,Manis,Manis javanica,80
0,Ictidomys,Ictidomys tridecemlineatus,80
0,Balaenoptera,Balaenoptera musculus,80
0,Phoca,Phoca vitulina,80
0,Cebus,Cebus imitator,80
0,Desmodus,Desmodus rotundus,80
0,Halichoerus,Halichoerus grypus,80
0,Sapajus,Sapajus apella,79
0,Saimiri,Saimiri boliviensis boliviensis,79
0,Dasypus,Dasypus novemcinctus,79
0,Lepus,Lepus europaeus,79
0,Cynocephalus,Cynocephalus volans,79
0,Propithecus,Propithecus coquereli,79
0,Dipodomys,Dipodomys spectabilis,78
0,Oryctolagus,Oryctolagus cuniculus,78
0,Balaenoptera,Balaenoptera acutorostrata,78
0,Balaenoptera,Balaenoptera ricei,78
0,Camelus,Camelus bactrianus,78
0,Monodon,Monodon monoceros,78
0,Mesoplodon,Mesoplodon densirostris,78
0,Sorex,Sorex araneus,78
0,Sorex,Sorex fumeus,78
0,Kogia,Kogia breviceps,78
0,Eubalaena,Eubalaena glacialis,78
0,Camelus,Camelus ferus,78
0,Psammomys,Psammomys obesus,77
0,Physeter,Physeter catodon,77
0,Zalophus,Zalophus californianus,77
0,Manis,Manis pentadactyla,77
0,Delphinapterus,Delphinapterus leucas,77
0,Eumetopias,Eumetopias jubatus,77
0,Erinaceus,Erinaceus europaeus,77
0,Otolemur,Otolemur garnettii,77
0,Ochotona,Ochotona princeps,77
0,Meriones,Meriones unguiculatus,77
0,Castor,Castor canadensis,77
0,Microtus,Microtus ochrogaster,76
0,Talpa,Talpa occidentalis,76
0,Callorhinus,Callorhinus ursinus,76
0,Ochotona,Ochotona curzoniae,76
0,Neomonachus,Neomonachus schauinslandi,76
0,Trichechus,Trichechus manatus latirostris,76
0,Nycticebus,Nycticebus coucang,75
0,Arvicola,Arvicola amphibius,75
0,Perognathus,Perognathus longimembris pacificus,75
0,Arvicanthis,Arvicanthis niloticus,75
0,Aotus,Aotus nancymaae,75
0,Lemur,Lemur catta,74
0,Microcebus,Microcebus murinus,74
0,Apodemus,Apodemus sylvaticus,73
0,Orycteropus,Orycteropus afer afer,73
0,Carlito,Carlito syrichta,73
0,Myodes,Myodes glareolus,73
0,Microtus,Microtus oregoni,73
0,Mus,Mus caroli,73
0,Mus,Mus musculus,72
0,Grammomys,Grammomys surdaster,72
0,Microtus,Microtus fortis,72
0,Elephas,Elephas maximus indicus,72
0,Chionomys,Chionomys nivalis,72
0,Mastomys,Mastomys coucha,71
0,Cricetulus,Cricetulus griseus,71
0,Loxodonta,Loxodonta africana,71
0,Echinops,Echinops telfairi,70
0,Peromyscus,Peromyscus maniculatus bairdii,69
0,Cavia,Cavia porcellus,69
0,Onychomys,Onychomys torridus,69
0,Peromyscus,Peromyscus leucopus,69
0,Mesocricetus,Mesocricetus auratus,68
0,Peromyscus,Peromyscus californicus insignis,68
0,Acomys,Acomys russatus,67
0,Phodopus,Phodopus roborovskii,67
