,GENUS,SPECIES,Match,ID_score
0,Suncus,Suncus etruscus,97,0.9883519828319549
0,Rhinolophus,Rhinolophus sinicus,96,0.9800012413988408
0,Rhinolophus,Rhinolophus ferrumequinum,95,0.9726758786697977
0,Sorex,Sorex fumeus,91,0.9428787257253509
0,Hippopotamus,Hippopotamus amphibius kiboko,88,0.9321849325268539
0,Dipodomys,Dipodomys ordii,89,0.929712930782554
0,Dipodomys,Dipodomys spectabilis,89,0.9288088773329233
0,Neophocaena,Neophocaena asiaeorientalis,87,0.9278350634673207
0,Phocoena,Phocoena sinus,87,0.9278289837935536
0,Sciurus,Sciurus carolinensis,89,0.9262951706488107
0,Sturnira,Sturnira hondurensis,89,0.9238180612165903
0,Ochotona,Ochotona curzoniae,87,0.9218935532668202
0,Galeopterus,Galeopterus variegatus,88,0.9217930415241988
0,Ochotona,Ochotona princeps,88,0.9209122338860305
0,Rousettus,Rousettus aegyptiacus,88,0.91851076274803
0,Erinaceus,Erinaceus europaeus,87,0.916253165731725
0,Sorex,Sorex araneus,87,0.914839134941396
0,Hipposideros,Hipposideros armiger,87,0.9135946495631306
0,Pteronotus,Pteronotus parnellii mesoamericanus,87,0.9080413444140523
0,Phyllostomus,Phyllostomus discolor,86,0.9051345038045312
