,GENUS,SPECIES,Match
0,Rhinolophus,Rhinolophus ferrumequinum,118
0,Rhinolophus,Rhinolophus sinicus,117
0,Pteronotus,Pteronotus parnellii mesoamericanus,111
0,Urocitellus,Urocitellus parryii,111
0,Pipistrellus,Pipistrellus kuhlii,110
0,Marmota,Marmota flaviventris,109
0,Sturnira,Sturnira hondurensis,109
0,Marmota,Marmota marmota marmota,109
0,Marmota,Marmota monax,109
0,Hipposideros,Hipposideros armiger,107
0,Sciurus,Sciurus carolinensis,106
0,Miniopterus,Miniopterus natalensis,105
0,Condylura,Condylura cristata,105
0,Ictidomys,Ictidomys tridecemlineatus,105
0,Equus,Equus caballus,105
0,Eptesicus,Eptesicus fuscus,105
0,Molossus,Molossus molossus,104
0,Artibeus,Artibeus jamaicensis,104
0,Phyllostomus,Phyllostomus discolor,104
0,Dipodomys,Dipodomys ordii,104
0,Tursiops,Tursiops truncatus,103
0,Myotis,Myotis daubentonii,103
0,Neophocaena,Neophocaena asiaeorientalis,103
0,Myotis,Myotis myotis,103
0,Nannospalax,Nannospalax galili,103
0,Equus,Equus asinus,103
0,Equus,Equus quagga,103
0,Psammomys,Psammomys obesus,103
0,Dipodomys,Dipodomys spectabilis,103
0,Meriones,Meriones unguiculatus,103
0,Rousettus,Rousettus aegyptiacus,102
0,Globicephala,Globicephala melas,102
0,Orcinus,Orcinus orca,102
0,Lagenorhynchus,Lagenorhynchus obliquidens,102
0,Lagenorhynchus,Lagenorhynchus albirostris,102
0,Oryctolagus,Oryctolagus cuniculus,102
0,Lepus,Lepus europaeus,102
0,Callithrix,Callithrix jacchus,102
0,Delphinus,Delphinus delphis,102
0,Vicugna,Vicugna pacos,101
0,Sorex,Sorex fumeus,101
0,Sorex,Sorex araneus,101
0,Desmodus,Desmodus rotundus,101
0,Nyctereutes,Nyctereutes procyonoides,101
0,Ailuropoda,Ailuropoda melanoleuca,101
0,Perognathus,Perognathus longimembris pacificus,101
0,Felis,Felis catus,100
0,Acinonyx,Acinonyx jubatus,100
0,Rattus,Rattus norvegicus,100
0,Homo,Homo sapiens,100
0,Prionailurus,Prionailurus viverrinus,100
0,Lynx,Lynx canadensis,100
0,Lynx,Lynx rufus,100
0,Myotis,Myotis lucifugus,100
0,Neofelis,Neofelis nebulosa,100
0,Prionailurus,Prionailurus bengalensis,100
0,Odobenus,Odobenus rosmarus divergens,100
0,Suncus,Suncus etruscus,100
0,Vulpes,Vulpes vulpes,100
0,Diceros,Diceros bicornis minor,100
0,Trachypithecus,Trachypithecus francoisi,100
0,Ursus,Ursus arctos,100
0,Ursus,Ursus americanus,100
0,Sus,Sus scrofa,100
0,Sus,Sus scrofa domesticus,100
0,Erinaceus,Erinaceus europaeus,99
0,Phyllostomus,Phyllostomus hastatus,99
0,Phacochoerus,Phacochoerus africanus,99
0,Callorhinus,Callorhinus ursinus,99
0,Bubalus,Bubalus kerabau,99
0,Bubalus,Bubalus bubalis,99
0,Panthera,Panthera uncia,99
0,Panthera,Panthera leo,99
0,Panthera,Panthera tigris,99
0,Panthera,Panthera onca,99
0,Canis,Canis lupus dingo,99
0,Mustela,Mustela erminea,99
0,Mustela,Mustela lutreola,99
0,Mustela,Mustela nigripes,99
0,Mustela,Mustela putorius furo,99
0,Oryx,Oryx dammah,99
0,Neogale,Neogale vison,99
0,Vulpes,Vulpes lagopus,99
0,Piliocolobus,Piliocolobus tephrosceles,99
0,Camelus,Camelus dromedarius,99
0,Canis,Canis lupus familiaris,99
0,Suricata,Suricata suricatta,99
0,Lutra,Lutra lutra,99
0,Jaculus,Jaculus jaculus,99
0,Chlorocebus,Chlorocebus sabaeus,99
0,Rhinopithecus,Rhinopithecus bieti,99
0,Phocoena,Phocoena sinus,98
0,Moschus,Moschus berezovskii,98
0,Eumetopias,Eumetopias jubatus,98
0,Chinchilla,Chinchilla lanigera,98
0,Bos,Bos taurus,98
0,Bos,Bos javanicus,98
0,Bos,Bos indicus x Bos taurus,98
0,Castor,Castor canadensis,98
0,Propithecus,Propithecus coquereli,98
0,Bison,Bison bison bison,98
0,Meles,Meles meles,98
0,Ursus,Ursus maritimus,98
0,Leopardus,Leopardus geoffroyi,98
0,Rhinopithecus,Rhinopithecus roxellana,98
0,Balaenoptera,Balaenoptera acutorostrata,98
0,Galeopterus,Galeopterus variegatus,98
0,Kogia,Kogia breviceps,98
0,Heterocephalus,Heterocephalus glaber,97
0,Myodes,Myodes glareolus,97
0,Saimiri,Saimiri boliviensis boliviensis,97
0,Colobus,Colobus angolensis palliatus,97
0,Pteropus,Pteropus giganteus,97
0,Hippopotamus,Hippopotamus amphibius kiboko,97
0,Bos,Bos mutus,97
0,Hyaena,Hyaena hyaena,97
0,Microtus,Microtus fortis,97
0,Camelus,Camelus bactrianus,97
0,Peromyscus,Peromyscus californicus insignis,97
0,Camelus,Camelus ferus,97
0,Physeter,Physeter catodon,97
0,Otolemur,Otolemur garnettii,96
0,Panthera,Panthera pardus,96
0,Papio,Papio anubis,96
0,Octodon,Octodon degus,96
0,Rattus,Rattus rattus,96
0,Tupaia,Tupaia chinensis,96
0,Odocoileus,Odocoileus virginianus texanus,96
0,Ovis,Ovis aries,96
0,Zalophus,Zalophus californianus,96
0,Arvicola,Arvicola amphibius,96
0,Balaenoptera,Balaenoptera ricei,96
0,Bos,Bos indicus,96
0,Capra,Capra hircus,96
0,Lontra,Lontra canadensis,96
0,Ochotona,Ochotona curzoniae,96
0,Microtus,Microtus ochrogaster,96
0,Ochotona,Ochotona princeps,95
0,Cynocephalus,Cynocephalus volans,95
0,Macaca,Macaca fascicularis,95
0,Pongo,Pongo abelii,95
0,Pongo,Pongo pygmaeus,95
0,Gorilla,Gorilla gorilla gorilla,95
0,Dama,Dama dama,95
0,Cervus,Cervus elaphus,95
0,Chionomys,Chionomys nivalis,95
0,Mandrillus,Mandrillus leucophaeus,95
0,Cervus,Cervus canadensis,95
0,Cercocebus,Cercocebus atys,95
0,Symphalangus,Symphalangus syndactylus,95
0,Talpa,Talpa occidentalis,95
0,Theropithecus,Theropithecus gelada,95
0,Carlito,Carlito syrichta,95
0,Macaca,Macaca thibetana thibetana,95
0,Hylobates,Hylobates moloch,95
0,Manis,Manis javanica,95
0,Pan,Pan troglodytes,95
0,Peromyscus,Peromyscus leucopus,95
0,Neomonachus,Neomonachus schauinslandi,95
0,Pan,Pan paniscus,95
0,Microcebus,Microcebus murinus,94
0,Cebus,Cebus imitator,94
0,Cricetulus,Cricetulus griseus,94
0,Eubalaena,Eubalaena glacialis,94
0,Fukomys,Fukomys damarensis,94
0,Mirounga,Mirounga leonina,94
0,Monodon,Monodon monoceros,94
0,Mesocricetus,Mesocricetus auratus,94
0,Budorcas,Budorcas taxicolor,94
0,Onychomys,Onychomys torridus,94
0,Nomascus,Nomascus leucogenys,94
0,Macaca,Macaca mulatta,94
0,Delphinapterus,Delphinapterus leucas,94
0,Mirounga,Mirounga angustirostris,93
0,Nycticebus,Nycticebus coucang,93
0,Phoca,Phoca vitulina,93
0,Sapajus,Sapajus apella,93
0,Halichoerus,Halichoerus grypus,93
0,Choloepus,Choloepus didactylus,92
0,Microtus,Microtus oregoni,92
0,Peromyscus,Peromyscus maniculatus bairdii,92
0,Mesoplodon,Mesoplodon densirostris,92
0,Balaenoptera,Balaenoptera musculus,92
0,Trichechus,Trichechus manatus latirostris,92
0,Manis,Manis pentadactyla,92
0,Lemur,Lemur catta,91
0,Phodopus,Phodopus roborovskii,90
0,Arvicanthis,Arvicanthis niloticus,90
0,Macaca,Macaca nemestrina,90
0,Mastomys,Mastomys coucha,90
0,Aotus,Aotus nancymaae,89
0,Apodemus,Apodemus sylvaticus,89
0,Grammomys,Grammomys surdaster,89
0,Elephas,Elephas maximus indicus,88
0,Dasypus,Dasypus novemcinctus,87
0,Loxodonta,Loxodonta africana,86
0,Mus,Mus musculus,86
0,Mus,Mus caroli,85
0,Acomys,Acomys russatus,85
0,Echinops,Echinops telfairi,85
0,Cavia,Cavia porcellus,81
0,Orycteropus,Orycteropus afer afer,80
