,GENUS,SPECIES,Match
0,Ailuropoda,Ailuropoda melanoleuca,134
0,Ursus,Ursus arctos,133
0,Ursus,Ursus americanus,133
0,Ursus,Ursus maritimus,131
0,Nyctereutes,Nyctereutes procyonoides,130
0,Lutra,Lutra lutra,129
0,Canis,Canis lupus dingo,129
0,Vulpes,Vulpes lagopus,129
0,Neogale,Neogale vison,128
0,Mustela,Mustela nigripes,128
0,Mustela,Mustela putorius furo,128
0,Mustela,Mustela lutreola,128
0,Mustela,Mustela erminea,128
0,Lontra,Lontra canadensis,128
0,Vulpes,Vulpes vulpes,128
0,Canis,Canis lupus familiaris,127
0,Panthera,Panthera onca,126
0,Panthera,Panthera leo,126
0,Leopardus,Leopardus geoffroyi,126
0,Hyaena,Hyaena hyaena,126
0,Panthera,Panthera uncia,126
0,Lynx,Lynx canadensis,125
0,Lynx,Lynx rufus,125
0,Acinonyx,Acinonyx jubatus,125
0,Neofelis,Neofelis nebulosa,125
0,Prionailurus,Prionailurus bengalensis,125
0,Prionailurus,Prionailurus viverrinus,125
0,Felis,Felis catus,125
0,Meles,Meles meles,124
0,Panthera,Panthera pardus,124
0,Panthera,Panthera tigris,124
0,Suricata,Suricata suricatta,124
0,Callorhinus,Callorhinus ursinus,123
0,Eumetopias,Eumetopias jubatus,122
0,Zalophus,Zalophus californianus,121
0,Galeopterus,Galeopterus variegatus,120
0,Cynocephalus,Cynocephalus volans,119
0,Odobenus,Odobenus rosmarus divergens,118
0,Mirounga,Mirounga angustirostris,118
0,Lepus,Lepus europaeus,117
0,Oryctolagus,Oryctolagus cuniculus,117
0,Choloepus,Choloepus didactylus,117
0,Dipodomys,Dipodomys ordii,117
0,Sciurus,Sciurus carolinensis,117
0,Equus,Equus caballus,116
0,Callithrix,Callithrix jacchus,116
0,Mirounga,Mirounga leonina,116
0,Halichoerus,Halichoerus grypus,116
0,Phoca,Phoca vitulina,116
0,Equus,Equus quagga,116
0,Talpa,Talpa occidentalis,115
0,Pipistrellus,Pipistrellus kuhlii,115
0,Pteronotus,Pteronotus parnellii mesoamericanus,115
0,Urocitellus,Urocitellus parryii,115
0,Otolemur,Otolemur garnettii,115
0,Vicugna,Vicugna pacos,115
0,Marmota,Marmota marmota marmota,114
0,Erinaceus,Erinaceus europaeus,114
0,Marmota,Marmota monax,114
0,Manis,Manis javanica,114
0,Diceros,Diceros bicornis minor,114
0,Propithecus,Propithecus coquereli,114
0,Equus,Equus asinus,114
0,Marmota,Marmota flaviventris,114
0,Rhinopithecus,Rhinopithecus roxellana,113
0,Phacochoerus,Phacochoerus africanus,113
0,Camelus,Camelus dromedarius,113
0,Tupaia,Tupaia chinensis,112
0,Neomonachus,Neomonachus schauinslandi,112
0,Bubalus,Bubalus bubalis,112
0,Piliocolobus,Piliocolobus tephrosceles,112
