,GENUS,SPECIES,Match
0,Ursus,Ursus arctos,177
0,Ursus,Ursus americanus,177
0,Ursus,Ursus maritimus,176
0,Ailuropoda,Ailuropoda melanoleuca,175
0,Lutra,Lutra lutra,170
0,Neogale,Neogale vison,170
0,Mustela,Mustela erminea,170
0,Mustela,Mustela lutreola,170
0,Mustela,Mustela nigripes,170
0,Mustela,Mustela putorius furo,170
0,Meles,Meles meles,169
0,Panthera,Panthera uncia,168
0,Felis,Felis catus,168
0,Panthera,Panthera leo,168
0,Panthera,Panthera onca,168
0,Neofelis,Neofelis nebulosa,167
0,Acinonyx,Acinonyx jubatus,167
0,Lynx,Lynx rufus,167
0,Lynx,Lynx canadensis,167
0,Vulpes,Vulpes vulpes,167
0,Nyctereutes,Nyctereutes procyonoides,166
0,Canis,Canis lupus dingo,166
0,Panthera,Panthera tigris,166
0,Prionailurus,Prionailurus bengalensis,166
0,Vulpes,Vulpes lagopus,166
0,Prionailurus,Prionailurus viverrinus,166
0,Lontra,Lontra canadensis,165
0,Hyaena,Hyaena hyaena,164
0,Leopardus,Leopardus geoffroyi,164
0,Suricata,Suricata suricatta,163
0,Canis,Canis lupus familiaris,162
0,Panthera,Panthera pardus,161
0,Eumetopias,Eumetopias jubatus,161
0,Callorhinus,Callorhinus ursinus,159
0,Bos,Bos indicus,157
0,Bison,Bison bison bison,157
0,Bos,Bos javanicus,157
0,Bos,Bos taurus,157
0,Bos,Bos indicus x Bos taurus,157
0,Dipodomys,Dipodomys ordii,156
0,Bos,Bos mutus,156
0,Bubalus,Bubalus bubalis,156
0,Bubalus,Bubalus kerabau,156
0,Phoca,Phoca vitulina,155
0,Zalophus,Zalophus californianus,155
0,Mirounga,Mirounga angustirostris,154
0,Manis,Manis javanica,154
0,Dipodomys,Dipodomys spectabilis,154
0,Equus,Equus quagga,154
0,Equus,Equus caballus,153
0,Halichoerus,Halichoerus grypus,153
0,Mirounga,Mirounga leonina,152
0,Equus,Equus asinus,152
0,Manis,Manis pentadactyla,151
0,Sciurus,Sciurus carolinensis,150
0,Galeopterus,Galeopterus variegatus,150
0,Moschus,Moschus berezovskii,150
0,Neomonachus,Neomonachus schauinslandi,150
0,Odobenus,Odobenus rosmarus divergens,150
0,Lepus,Lepus europaeus,149
0,Miniopterus,Miniopterus natalensis,149
0,Cynocephalus,Cynocephalus volans,149
0,Diceros,Diceros bicornis minor,149
0,Camelus,Camelus dromedarius,149
0,Vicugna,Vicugna pacos,149
0,Talpa,Talpa occidentalis,148
0,Oryx,Oryx dammah,148
0,Oryctolagus,Oryctolagus cuniculus,148
0,Urocitellus,Urocitellus parryii,147
0,Neophocaena,Neophocaena asiaeorientalis,147
0,Pipistrellus,Pipistrellus kuhlii,146
0,Myotis,Myotis daubentonii,146
0,Myotis,Myotis myotis,146
0,Capra,Capra hircus,146
0,Marmota,Marmota flaviventris,145
0,Marmota,Marmota marmota marmota,145
0,Marmota,Marmota monax,145
0,Camelus,Camelus bactrianus,145
0,Desmodus,Desmodus rotundus,145
0,Phacochoerus,Phacochoerus africanus,145
0,Rhinopithecus,Rhinopithecus roxellana,145
0,Papio,Papio anubis,145
0,Sorex,Sorex fumeus,145
0,Gorilla,Gorilla gorilla gorilla,145
0,Camelus,Camelus ferus,145
0,Hippopotamus,Hippopotamus amphibius kiboko,145
0,Erinaceus,Erinaceus europaeus,145
0,Piliocolobus,Piliocolobus tephrosceles,145
0,Mandrillus,Mandrillus leucophaeus,144
0,Ovis,Ovis aries,144
0,Otolemur,Otolemur garnettii,144
0,Eptesicus,Eptesicus fuscus,144
0,Cercocebus,Cercocebus atys,144
0,Macaca,Macaca mulatta,144
0,Theropithecus,Theropithecus gelada,144
0,Chlorocebus,Chlorocebus sabaeus,144
0,Molossus,Molossus molossus,143
0,Rhinopithecus,Rhinopithecus bieti,143
0,Myotis,Myotis lucifugus,143
0,Pan,Pan paniscus,143
