,GENUS,SPECIES,Match
0,Rattus,Rattus rattus,93
0,Rattus,Rattus norvegicus,93
0,Arvicola,Arvicola amphibius,92
0,Microtus,Microtus fortis,91
0,Myodes,Myodes glareolus,91
0,Sorex,Sorex araneus,90
0,Microtus,Microtus ochrogaster,90
0,Microtus,Microtus oregoni,90
0,Chionomys,Chionomys nivalis,88
0,Grammomys,Grammomys surdaster,88
0,Sorex,Sorex fumeus,87
0,Peromyscus,Peromyscus californicus insignis,86
0,Hyaena,Hyaena hyaena,86
0,Dipodomys,Dipodomys ordii,86
0,Arvicanthis,Arvicanthis niloticus,86
0,Apodemus,Apodemus sylvaticus,86
0,Psammomys,Psammomys obesus,85
0,Peromyscus,Peromyscus leucopus,85
0,Dipodomys,Dipodomys spectabilis,84
0,Mastomys,Mastomys coucha,84
0,Meriones,Meriones unguiculatus,84
0,Cricetulus,Cricetulus griseus,83
0,Equus,Equus quagga,83
0,Mesocricetus,Mesocricetus auratus,82
0,Equus,Equus caballus,82
0,Equus,Equus asinus,82
0,Jaculus,Jaculus jaculus,82
0,Lepus,Lepus europaeus,82
0,Mus,Mus musculus,82
0,Callorhinus,Callorhinus ursinus,82
0,Peromyscus,Peromyscus maniculatus bairdii,82
0,Diceros,Diceros bicornis minor,82
0,Mirounga,Mirounga leonina,81
0,Eumetopias,Eumetopias jubatus,81
0,Prionailurus,Prionailurus viverrinus,81
0,Prionailurus,Prionailurus bengalensis,81
0,Phodopus,Phodopus roborovskii,81
0,Panthera,Panthera uncia,81
0,Panthera,Panthera tigris,81
0,Felis,Felis catus,81
0,Panthera,Panthera onca,81
0,Panthera,Panthera leo,81
0,Neofelis,Neofelis nebulosa,81
0,Lynx,Lynx canadensis,81
0,Lynx,Lynx rufus,81
0,Acinonyx,Acinonyx jubatus,81
0,Zalophus,Zalophus californianus,81
0,Onychomys,Onychomys torridus,80
0,Meles,Meles meles,80
0,Odobenus,Odobenus rosmarus divergens,80
0,Nannospalax,Nannospalax galili,80
0,Mirounga,Mirounga angustirostris,80
0,Suncus,Suncus etruscus,80
0,Panthera,Panthera pardus,80
0,Condylura,Condylura cristata,80
0,Perognathus,Perognathus longimembris pacificus,80
0,Phoca,Phoca vitulina,79
0,Lutra,Lutra lutra,79
0,Galeopterus,Galeopterus variegatus,79
0,Sciurus,Sciurus carolinensis,79
0,Mustela,Mustela putorius furo,79
0,Mustela,Mustela nigripes,79
0,Mustela,Mustela lutreola,79
