,GENUS,SPECIES,Match
0,Eptesicus,Eptesicus fuscus,94
0,Pipistrellus,Pipistrellus kuhlii,91
0,Myotis,Myotis myotis,88
0,Myotis,Myotis daubentonii,86
0,Myotis,Myotis lucifugus,86
0,Jaculus,Jaculus jaculus,78
0,Rattus,Rattus rattus,74
0,Molossus,Molossus molossus,74
0,Lutra,Lutra lutra,73
0,Lontra,Lontra canadensis,73
0,Mustela,Mustela putorius furo,73
0,Mustela,Mustela nigripes,73
0,Neogale,Neogale vison,73
0,Mustela,Mustela lutreola,73
0,Mustela,Mustela erminea,73
0,Suncus,Suncus etruscus,73
0,Microcebus,Microcebus murinus,73
0,Rattus,Rattus norvegicus,73
0,Meles,Meles meles,72
0,Equus,Equus caballus,72
0,Sorex,Sorex fumeus,72
0,Equus,Equus quagga,72
0,Equus,Equus asinus,72
0,Dipodomys,Dipodomys ordii,71
0,Urocitellus,Urocitellus parryii,71
0,Miniopterus,Miniopterus natalensis,70
0,Mirounga,Mirounga angustirostris,70
0,Dipodomys,Dipodomys spectabilis,70
0,Hipposideros,Hipposideros armiger,70
0,Mus,Mus musculus,70
0,Eumetopias,Eumetopias jubatus,70
0,Callorhinus,Callorhinus ursinus,70
0,Sorex,Sorex araneus,70
0,Sciurus,Sciurus carolinensis,70
0,Physeter,Physeter catodon,70
0,Lepus,Lepus europaeus,69
0,Neomonachus,Neomonachus schauinslandi,69
0,Apodemus,Apodemus sylvaticus,69
0,Lemur,Lemur catta,69
0,Nannospalax,Nannospalax galili,69
0,Halichoerus,Halichoerus grypus,68
0,Hippopotamus,Hippopotamus amphibius kiboko,68
0,Vulpes,Vulpes vulpes,68
0,Suricata,Suricata suricatta,68
0,Prionailurus,Prionailurus viverrinus,68
0,Prionailurus,Prionailurus bengalensis,68
0,Felis,Felis catus,68
0,Phoca,Phoca vitulina,68
0,Lynx,Lynx canadensis,68
0,Lynx,Lynx rufus,68
0,Marmota,Marmota flaviventris,68
0,Marmota,Marmota marmota marmota,68
0,Marmota,Marmota monax,68
0,Panthera,Panthera uncia,68
0,Panthera,Panthera tigris,68
0,Panthera,Panthera onca,68
0,Mirounga,Mirounga leonina,68
0,Panthera,Panthera leo,68
0,Neofelis,Neofelis nebulosa,68
0,Phacochoerus,Phacochoerus africanus,68
0,Acinonyx,Acinonyx jubatus,68
0,Zalophus,Zalophus californianus,68
0,Castor,Castor canadensis,68
0,Dasypus,Dasypus novemcinctus,68
0,Ailuropoda,Ailuropoda melanoleuca,68
0,Vulpes,Vulpes lagopus,67
0,Perognathus,Perognathus longimembris pacificus,67
0,Vicugna,Vicugna pacos,67
0,Ursus,Ursus maritimus,67
0,Ursus,Ursus arctos,67
0,Ursus,Ursus americanus,67
0,Galeopterus,Galeopterus variegatus,67
0,Aotus,Aotus nancymaae,67
0,Camelus,Camelus dromedarius,67
0,Propithecus,Propithecus coquereli,67
0,Sus,Sus scrofa domesticus,67
0,Sus,Sus scrofa,67
0,Leopardus,Leopardus geoffroyi,67
0,Canis,Canis lupus familiaris,66
0,Macaca,Macaca nemestrina,66
0,Mus,Mus caroli,66
0,Rousettus,Rousettus aegyptiacus,66
0,Mastomys,Mastomys coucha,66
0,Colobus,Colobus angolensis palliatus,66
0,Canis,Canis lupus dingo,66
0,Neophocaena,Neophocaena asiaeorientalis,66
0,Pteronotus,Pteronotus parnellii mesoamericanus,66
0,Trichechus,Trichechus manatus latirostris,66
0,Phocoena,Phocoena sinus,66
0,Nyctereutes,Nyctereutes procyonoides,66
0,Choloepus,Choloepus didactylus,66
0,Ochotona,Ochotona curzoniae,66
0,Kogia,Kogia breviceps,66
0,Ochotona,Ochotona princeps,66
0,Ictidomys,Ictidomys tridecemlineatus,66
0,Odobenus,Odobenus rosmarus divergens,66
0,Balaenoptera,Balaenoptera acutorostrata,66
0,Piliocolobus,Piliocolobus tephrosceles,65
0,Phodopus,Phodopus roborovskii,65
0,Camelus,Camelus ferus,65
0,Myodes,Myodes glareolus,65
0,Peromyscus,Peromyscus leucopus,65
0,Capra,Capra hircus,65
0,Orcinus,Orcinus orca,65
0,Chionomys,Chionomys nivalis,65
0,Papio,Papio anubis,65
0,Rhinolophus,Rhinolophus ferrumequinum,65
0,Mesocricetus,Mesocricetus auratus,65
0,Camelus,Camelus bactrianus,65
0,Diceros,Diceros bicornis minor,65
0,Delphinus,Delphinus delphis,65
0,Tupaia,Tupaia chinensis,65
0,Lagenorhynchus,Lagenorhynchus obliquidens,65
0,Chlorocebus,Chlorocebus sabaeus,65
0,Lagenorhynchus,Lagenorhynchus albirostris,65
0,Hyaena,Hyaena hyaena,65
0,Cynocephalus,Cynocephalus volans,65
0,Heterocephalus,Heterocephalus glaber,65
0,Arvicola,Arvicola amphibius,65
0,Oryctolagus,Oryctolagus cuniculus,65
0,Microtus,Microtus fortis,65
0,Grammomys,Grammomys surdaster,65
0,Rhinopithecus,Rhinopithecus bieti,65
0,Desmodus,Desmodus rotundus,65
0,Panthera,Panthera pardus,64
0,Tursiops,Tursiops truncatus,64
0,Callithrix,Callithrix jacchus,64
0,Rhinolophus,Rhinolophus sinicus,64
0,Trachypithecus,Trachypithecus francoisi,64
0,Talpa,Talpa occidentalis,64
0,Symphalangus,Symphalangus syndactylus,64
0,Artibeus,Artibeus jamaicensis,64
0,Arvicanthis,Arvicanthis niloticus,64
0,Peromyscus,Peromyscus maniculatus bairdii,64
0,Balaenoptera,Balaenoptera musculus,64
0,Rhinopithecus,Rhinopithecus roxellana,64
0,Theropithecus,Theropithecus gelada,64
0,Octodon,Octodon degus,64
0,Manis,Manis pentadactyla,64
0,Macaca,Macaca mulatta,64
0,Monodon,Monodon monoceros,64
0,Microtus,Microtus ochrogaster,64
0,Cricetulus,Cricetulus griseus,64
0,Moschus,Moschus berezovskii,64
0,Macaca,Macaca fascicularis,64
0,Delphinapterus,Delphinapterus leucas,64
0,Hylobates,Hylobates moloch,64
0,Globicephala,Globicephala melas,64
0,Macaca,Macaca thibetana thibetana,63
0,Mandrillus,Mandrillus leucophaeus,63
0,Phyllostomus,Phyllostomus discolor,63
0,Condylura,Condylura cristata,63
0,Acomys,Acomys russatus,63
0,Microtus,Microtus oregoni,63
0,Balaenoptera,Balaenoptera ricei,63
0,Pteropus,Pteropus giganteus,63
0,Oryx,Oryx dammah,63
0,Fukomys,Fukomys damarensis,63
0,Cercocebus,Cercocebus atys,63
0,Peromyscus,Peromyscus californicus insignis,63
0,Carlito,Carlito syrichta,63
0,Phyllostomus,Phyllostomus hastatus,62
0,Sturnira,Sturnira hondurensis,62
