,GENUS,SPECIES,Match
0,Pipistrellus,Pipistrellus kuhlii,80
0,Myotis,Myotis daubentonii,79
0,Myotis,Myotis myotis,79
0,Eptesicus,Eptesicus fuscus,79
0,Myotis,Myotis lucifugus,78
0,Rattus,Rattus rattus,75
0,Rattus,Rattus norvegicus,73
0,Chlorocebus,Chlorocebus sabaeus,72
0,Macaca,Macaca mulatta,72
0,Piliocolobus,Piliocolobus tephrosceles,71
0,Papio,Papio anubis,71
0,Hipposideros,Hipposideros armiger,71
0,Rhinopithecus,Rhinopithecus bieti,71
0,Rhinopithecus,Rhinopithecus roxellana,70
0,Equus,Equus caballus,70
0,Nannospalax,Nannospalax galili,70
0,Macaca,Macaca fascicularis,70
0,Macaca,Macaca nemestrina,70
0,Macaca,Macaca thibetana thibetana,70
0,Mandrillus,Mandrillus leucophaeus,70
0,Cercocebus,Cercocebus atys,70
0,Rhinolophus,Rhinolophus sinicus,70
0,Molossus,Molossus molossus,70
0,Theropithecus,Theropithecus gelada,70
0,Sorex,Sorex fumeus,70
0,Colobus,Colobus angolensis palliatus,69
0,Trachypithecus,Trachypithecus francoisi,69
0,Sus,Sus scrofa domesticus,69
0,Mustela,Mustela nigripes,69
0,Mustela,Mustela lutreola,69
0,Mustela,Mustela erminea,69
0,Aotus,Aotus nancymaae,69
0,Neogale,Neogale vison,69
0,Sus,Sus scrofa,69
0,Sorex,Sorex araneus,69
0,Mustela,Mustela putorius furo,69
0,Lutra,Lutra lutra,69
0,Sciurus,Sciurus carolinensis,68
0,Equus,Equus asinus,68
0,Canis,Canis lupus dingo,68
0,Miniopterus,Miniopterus natalensis,68
0,Dipodomys,Dipodomys ordii,68
0,Suncus,Suncus etruscus,68
0,Equus,Equus quagga,68
0,Heterocephalus,Heterocephalus glaber,68
0,Trichechus,Trichechus manatus latirostris,68
0,Rhinolophus,Rhinolophus ferrumequinum,68
0,Jaculus,Jaculus jaculus,68
0,Sturnira,Sturnira hondurensis,68
0,Cebus,Cebus imitator,68
0,Urocitellus,Urocitellus parryii,67
0,Manis,Manis javanica,67
0,Hippopotamus,Hippopotamus amphibius kiboko,67
0,Nyctereutes,Nyctereutes procyonoides,67
0,Phacochoerus,Phacochoerus africanus,67
0,Vulpes,Vulpes vulpes,67
0,Sapajus,Sapajus apella,67
0,Vulpes,Vulpes lagopus,67
0,Canis,Canis lupus familiaris,67
0,Capra,Capra hircus,67
0,Cervus,Cervus canadensis,67
0,Cervus,Cervus elaphus,67
0,Dama,Dama dama,67
0,Pteropus,Pteropus giganteus,67
0,Propithecus,Propithecus coquereli,67
0,Odocoileus,Odocoileus virginianus texanus,66
0,Artibeus,Artibeus jamaicensis,66
0,Carlito,Carlito syrichta,66
0,Callithrix,Callithrix jacchus,66
0,Neophocaena,Neophocaena asiaeorientalis,66
0,Pteronotus,Pteronotus parnellii mesoamericanus,66
0,Nomascus,Nomascus leucogenys,66
0,Meles,Meles meles,66
0,Mesocricetus,Mesocricetus auratus,66
0,Orcinus,Orcinus orca,66
0,Symphalangus,Symphalangus syndactylus,66
0,Ovis,Ovis aries,66
0,Homo,Homo sapiens,65
0,Marmota,Marmota monax,65
0,Ursus,Ursus arctos,65
0,Ursus,Ursus americanus,65
0,Delphinus,Delphinus delphis,65
0,Oryx,Oryx dammah,65
0,Marmota,Marmota flaviventris,65
0,Grammomys,Grammomys surdaster,65
0,Bubalus,Bubalus bubalis,65
0,Lagenorhynchus,Lagenorhynchus obliquidens,65
0,Lagenorhynchus,Lagenorhynchus albirostris,65
0,Marmota,Marmota marmota marmota,65
0,Pan,Pan paniscus,64
0,Neofelis,Neofelis nebulosa,64
0,Pan,Pan troglodytes,64
0,Peromyscus,Peromyscus leucopus,64
0,Peromyscus,Peromyscus maniculatus bairdii,64
0,Phoca,Phoca vitulina,64
0,Phyllostomus,Phyllostomus discolor,64
0,Pongo,Pongo abelii,64
0,Pongo,Pongo pygmaeus,64
0,Prionailurus,Prionailurus bengalensis,64
0,Prionailurus,Prionailurus viverrinus,64
0,Acinonyx,Acinonyx jubatus,64
0,Microcebus,Microcebus murinus,64
0,Lynx,Lynx canadensis,64
0,Lynx,Lynx rufus,64
0,Castor,Castor canadensis,64
0,Hylobates,Hylobates moloch,64
0,Lemur,Lemur catta,64
0,Lontra,Lontra canadensis,64
0,Camelus,Camelus dromedarius,64
0,Fukomys,Fukomys damarensis,64
0,Felis,Felis catus,64
0,Choloepus,Choloepus didactylus,64
0,Halichoerus,Halichoerus grypus,64
0,Dasypus,Dasypus novemcinctus,64
0,Cricetulus,Cricetulus griseus,64
0,Panthera,Panthera pardus,63
0,Camelus,Camelus ferus,63
0,Desmodus,Desmodus rotundus,63
0,Gorilla,Gorilla gorilla gorilla,63
0,Chionomys,Chionomys nivalis,63
0,Globicephala,Globicephala melas,63
0,Phyllostomus,Phyllostomus hastatus,63
0,Panthera,Panthera leo,63
0,Panthera,Panthera onca,63
0,Peromyscus,Peromyscus californicus insignis,63
0,Eumetopias,Eumetopias jubatus,63
0,Panthera,Panthera tigris,63
0,Panthera,Panthera uncia,63
0,Phodopus,Phodopus roborovskii,63
0,Galeopterus,Galeopterus variegatus,63
0,Phocoena,Phocoena sinus,63
0,Cynocephalus,Cynocephalus volans,63
0,Microtus,Microtus ochrogaster,63
0,Microtus,Microtus fortis,63
0,Camelus,Camelus bactrianus,63
0,Hyaena,Hyaena hyaena,63
0,Bos,Bos indicus x Bos taurus,63
0,Ailuropoda,Ailuropoda melanoleuca,63
0,Apodemus,Apodemus sylvaticus,63
0,Vicugna,Vicugna pacos,63
0,Ursus,Ursus maritimus,63
0,Arvicanthis,Arvicanthis niloticus,63
0,Arvicola,Arvicola amphibius,63
0,Balaenoptera,Balaenoptera acutorostrata,63
0,Tursiops,Tursiops truncatus,63
0,Manis,Manis pentadactyla,63
0,Bison,Bison bison bison,63
0,Dipodomys,Dipodomys spectabilis,63
0,Bos,Bos javanicus,63
0,Lepus,Lepus europaeus,63
0,Leopardus,Leopardus geoffroyi,63
0,Suricata,Suricata suricatta,63
0,Bos,Bos mutus,63
0,Bos,Bos taurus,63
0,Bubalus,Bubalus kerabau,63
0,Budorcas,Budorcas taxicolor,63
0,Diceros,Diceros bicornis minor,63
0,Rousettus,Rousettus aegyptiacus,62
0,Balaenoptera,Balaenoptera musculus,62
0,Callorhinus,Callorhinus ursinus,62
0,Bos,Bos indicus,62
0,Eubalaena,Eubalaena glacialis,62
0,Physeter,Physeter catodon,62
0,Octodon,Octodon degus,62
0,Mirounga,Mirounga leonina,62
0,Moschus,Moschus berezovskii,62
0,Mastomys,Mastomys coucha,62
0,Otolemur,Otolemur garnettii,62
0,Mus,Mus musculus,62
0,Myodes,Myodes glareolus,62
0,Onychomys,Onychomys torridus,62
0,Microtus,Microtus oregoni,61
0,Mirounga,Mirounga angustirostris,61
0,Tupaia,Tupaia chinensis,61
0,Mus,Mus caroli,61
0,Talpa,Talpa occidentalis,61
0,Neomonachus,Neomonachus schauinslandi,61
0,Ictidomys,Ictidomys tridecemlineatus,61
0,Oryctolagus,Oryctolagus cuniculus,61
0,Psammomys,Psammomys obesus,61
0,Perognathus,Perognathus longimembris pacificus,61
0,Saimiri,Saimiri boliviensis boliviensis,60
0,Elephas,Elephas maximus indicus,60
0,Erinaceus,Erinaceus europaeus,60
0,Meriones,Meriones unguiculatus,60
0,Condylura,Condylura cristata,60
0,Balaenoptera,Balaenoptera ricei,60
0,Loxodonta,Loxodonta africana,60
0,Odobenus,Odobenus rosmarus divergens,60
0,Kogia,Kogia breviceps,60
0,Zalophus,Zalophus californianus,60
0,Ochotona,Ochotona princeps,59
0,Ochotona,Ochotona curzoniae,58
0,Delphinapterus,Delphinapterus leucas,57
0,Monodon,Monodon monoceros,57
0,Mesoplodon,Mesoplodon densirostris,57
0,Acomys,Acomys russatus,57
0,Chinchilla,Chinchilla lanigera,55
0,Orycteropus,Orycteropus afer afer,53
0,Nycticebus,Nycticebus coucang,53
0,Cavia,Cavia porcellus,52
0,Echinops,Echinops telfairi,50
