,GENUS,SPECIES,Match
0,Apodemus,Apodemus sylvaticus,90
0,Grammomys,Grammomys surdaster,88
0,Mastomys,Mastomys coucha,87
0,Rattus,Rattus rattus,85
0,Arvicanthis,Arvicanthis niloticus,83
0,Mus,Mus caroli,82
0,Rattus,Rattus norvegicus,81
0,Mesocricetus,Mesocricetus auratus,78
0,Microtus,Microtus ochrogaster,76
0,Microtus,Microtus fortis,76
0,Cricetulus,Cricetulus griseus,76
0,Chionomys,Chionomys nivalis,76
0,Psammomys,Psammomys obesus,76
0,Myodes,Myodes glareolus,75
0,Mus,Mus musculus,75
0,Arvicola,Arvicola amphibius,75
0,Meriones,Meriones unguiculatus,75
0,Phodopus,Phodopus roborovskii,74
0,Microtus,Microtus oregoni,73
0,Acomys,Acomys russatus,72
0,Peromyscus,Peromyscus leucopus,71
0,Peromyscus,Peromyscus maniculatus bairdii,69
0,Choloepus,Choloepus didactylus,68
0,Nannospalax,Nannospalax galili,68
0,Dipodomys,Dipodomys ordii,67
0,Hippopotamus,Hippopotamus amphibius kiboko,67
0,Peromyscus,Peromyscus californicus insignis,66
0,Dipodomys,Dipodomys spectabilis,66
0,Lepus,Lepus europaeus,65
0,Oryctolagus,Oryctolagus cuniculus,65
0,Suncus,Suncus etruscus,65
0,Ictidomys,Ictidomys tridecemlineatus,65
0,Perognathus,Perognathus longimembris pacificus,63
0,Onychomys,Onychomys torridus,63
0,Talpa,Talpa occidentalis,62
0,Erinaceus,Erinaceus europaeus,62
0,Sorex,Sorex araneus,61
0,Sturnira,Sturnira hondurensis,61
0,Lemur,Lemur catta,61
0,Chinchilla,Chinchilla lanigera,61
0,Marmota,Marmota flaviventris,60
0,Eptesicus,Eptesicus fuscus,60
0,Marmota,Marmota marmota marmota,60
0,Marmota,Marmota monax,60
0,Jaculus,Jaculus jaculus,60
0,Microcebus,Microcebus murinus,60
0,Urocitellus,Urocitellus parryii,60
0,Cynocephalus,Cynocephalus volans,60
0,Sorex,Sorex fumeus,60
0,Carlito,Carlito syrichta,60
0,Sciurus,Sciurus carolinensis,60
0,Phyllostomus,Phyllostomus discolor,60
0,Mirounga,Mirounga angustirostris,59
0,Propithecus,Propithecus coquereli,59
0,Trichechus,Trichechus manatus latirostris,59
0,Galeopterus,Galeopterus variegatus,59
0,Dasypus,Dasypus novemcinctus,59
0,Leopardus,Leopardus geoffroyi,58
0,Manis,Manis javanica,58
0,Panthera,Panthera uncia,58
0,Pipistrellus,Pipistrellus kuhlii,58
0,Panthera,Panthera tigris,58
0,Meles,Meles meles,58
0,Panthera,Panthera onca,58
0,Panthera,Panthera leo,58
0,Odobenus,Odobenus rosmarus divergens,58
0,Nyctereutes,Nyctereutes procyonoides,58
0,Mirounga,Mirounga leonina,58
0,Myotis,Myotis myotis,58
0,Zalophus,Zalophus californianus,58
0,Felis,Felis catus,58
0,Condylura,Condylura cristata,58
0,Callorhinus,Callorhinus ursinus,58
0,Eumetopias,Eumetopias jubatus,58
0,Ailuropoda,Ailuropoda melanoleuca,58
0,Fukomys,Fukomys damarensis,58
0,Equus,Equus caballus,57
0,Diceros,Diceros bicornis minor,57
0,Desmodus,Desmodus rotundus,57
0,Acinonyx,Acinonyx jubatus,57
0,Myotis,Myotis daubentonii,57
0,Prionailurus,Prionailurus viverrinus,57
0,Prionailurus,Prionailurus bengalensis,57
0,Phyllostomus,Phyllostomus hastatus,57
0,Phoca,Phoca vitulina,57
0,Hyaena,Hyaena hyaena,57
0,Myotis,Myotis lucifugus,57
0,Rhinopithecus,Rhinopithecus roxellana,57
0,Ursus,Ursus arctos,57
0,Ursus,Ursus maritimus,57
0,Ursus,Ursus americanus,57
0,Lynx,Lynx rufus,57
0,Lynx,Lynx canadensis,57
0,Vulpes,Vulpes vulpes,56
0,Nycticebus,Nycticebus coucang,56
0,Ochotona,Ochotona curzoniae,56
0,Vulpes,Vulpes lagopus,56
0,Hipposideros,Hipposideros armiger,56
0,Castor,Castor canadensis,56
0,Echinops,Echinops telfairi,56
0,Neofelis,Neofelis nebulosa,56
0,Canis,Canis lupus familiaris,56
0,Canis,Canis lupus dingo,56
0,Panthera,Panthera pardus,56
