,GENUS,SPECIES,Match,ID_score
0,Apodemus,Apodemus sylvaticus,85,0.9727413177490234
0,Grammomys,Grammomys surdaster,81,0.9424340407287373
0,Rattus,Rattus rattus,80,0.9280467724098879
0,Arvicanthis,Arvicanthis niloticus,78,0.921054484984454
0,Mastomys,Mastomys coucha,79,0.9193609267823836
0,Rattus,Rattus norvegicus,77,0.9083779593776253
0,Chionomys,Chionomys nivalis,74,0.9081054812319138
0,Microtus,Microtus fortis,73,0.9011764825091642
0,Arvicola,Arvicola amphibius,73,0.9005397856936734
0,Mesocricetus,Mesocricetus auratus,74,0.8994771128542283
0,Myodes,Myodes glareolus,72,0.8919033225143657
0,Microtus,Microtus ochrogaster,72,0.8917040939892039
0,Phodopus,Phodopus roborovskii,72,0.8849861438835368
0,Microtus,Microtus oregoni,71,0.8844410112324883
0,Cricetulus,Cricetulus griseus,72,0.8828988488281474
0,Mus,Mus caroli,73,0.8677088022933286
0,Psammomys,Psammomys obesus,71,0.856869780105703
0,Meriones,Meriones unguiculatus,70,0.8507621035856359
0,Mus,Mus musculus,70,0.8439125762266271
0,Nannospalax,Nannospalax galili,68,0.8369279479980468
