,GENUS,SPECIES,Match
0,Apodemus,Apodemus sylvaticus,85
0,Grammomys,Grammomys surdaster,81
0,Rattus,Rattus rattus,80
0,Mastomys,Mastomys coucha,79
0,Arvicanthis,Arvicanthis niloticus,78
0,Rattus,Rattus norvegicus,77
0,Chionomys,Chionomys nivalis,74
0,Mesocricetus,Mesocricetus auratus,74
0,Mus,Mus caroli,73
0,Microtus,Microtus fortis,73
0,Arvicola,Arvicola amphibius,73
0,Cricetulus,Cricetulus griseus,73
0,Myodes,Myodes glareolus,72
0,Microtus,Microtus ochrogaster,72
0,Psammomys,Psammomys obesus,72
0,Phodopus,Phodopus roborovskii,72
0,Microtus,Microtus oregoni,71
0,Meriones,Meriones unguiculatus,71
0,Mus,Mus musculus,70
0,Hippopotamus,Hippopotamus amphibius kiboko,68
0,Nannospalax,Nannospalax galili,68
0,Dipodomys,Dipodomys ordii,67
0,Suncus,Suncus etruscus,67
0,Dipodomys,Dipodomys spectabilis,65
0,Peromyscus,Peromyscus leucopus,65
0,Peromyscus,Peromyscus maniculatus bairdii,64
0,Lepus,Lepus europaeus,64
0,Acomys,Acomys russatus,64
0,Talpa,Talpa occidentalis,63
0,Peromyscus,Peromyscus californicus insignis,63
0,Perognathus,Perognathus longimembris pacificus,63
0,Oryctolagus,Oryctolagus cuniculus,63
0,Felis,Felis catus,62
0,Panthera,Panthera tigris,62
0,Leopardus,Leopardus geoffroyi,62
0,Sorex,Sorex araneus,62
0,Panthera,Panthera leo,62
0,Sorex,Sorex fumeus,62
0,Panthera,Panthera onca,62
0,Ictidomys,Ictidomys tridecemlineatus,62
0,Panthera,Panthera uncia,62
0,Lynx,Lynx rufus,61
0,Jaculus,Jaculus jaculus,61
0,Lynx,Lynx canadensis,61
0,Acinonyx,Acinonyx jubatus,61
0,Condylura,Condylura cristata,61
0,Prionailurus,Prionailurus bengalensis,61
0,Sciurus,Sciurus carolinensis,61
0,Prionailurus,Prionailurus viverrinus,61
