,GENUS,SPECIES,Match
0,Arvicola,Arvicola amphibius,158
0,Myodes,Myodes glareolus,153
0,Chionomys,Chionomys nivalis,149
0,Microtus,Microtus oregoni,147
0,Microtus,Microtus fortis,146
0,Microtus,Microtus ochrogaster,145
0,Phodopus,Phodopus roborovskii,144
0,Mesocricetus,Mesocricetus auratus,141
0,Peromyscus,Peromyscus californicus insignis,141
0,Peromyscus,Peromyscus leucopus,141
0,Cricetulus,Cricetulus griseus,140
0,Rattus,Rattus norvegicus,138
0,Apodemus,Apodemus sylvaticus,138
0,Rattus,Rattus rattus,137
0,Psammomys,Psammomys obesus,136
0,Mastomys,Mastomys coucha,135
0,Peromyscus,Peromyscus maniculatus bairdii,135
0,Onychomys,Onychomys torridus,135
0,Grammomys,Grammomys surdaster,134
0,Meriones,Meriones unguiculatus,133
0,Chinchilla,Chinchilla lanigera,131
0,Nannospalax,Nannospalax galili,130
0,Dipodomys,Dipodomys ordii,130
0,Sciurus,Sciurus carolinensis,130
0,Arvicanthis,Arvicanthis niloticus,130
0,Urocitellus,Urocitellus parryii,130
0,Octodon,Octodon degus,128
0,Mus,Mus caroli,127
0,Equus,Equus caballus,127
0,Fukomys,Fukomys damarensis,127
0,Dipodomys,Dipodomys spectabilis,126
0,Equus,Equus quagga,126
0,Marmota,Marmota monax,125
0,Marmota,Marmota flaviventris,125
0,Marmota,Marmota marmota marmota,125
0,Jaculus,Jaculus jaculus,125
0,Ictidomys,Ictidomys tridecemlineatus,125
0,Oryctolagus,Oryctolagus cuniculus,125
0,Acomys,Acomys russatus,125
0,Lepus,Lepus europaeus,125
0,Equus,Equus asinus,124
0,Sturnira,Sturnira hondurensis,122
0,Camelus,Camelus dromedarius,121
0,Heterocephalus,Heterocephalus glaber,120
0,Mus,Mus musculus,120
0,Vicugna,Vicugna pacos,120
0,Hippopotamus,Hippopotamus amphibius kiboko,120
0,Castor,Castor canadensis,120
0,Rhinolophus,Rhinolophus sinicus,120
0,Sorex,Sorex fumeus,120
0,Ochotona,Ochotona princeps,119
0,Rhinolophus,Rhinolophus ferrumequinum,119
0,Choloepus,Choloepus didactylus,119
0,Sorex,Sorex araneus,119
0,Phacochoerus,Phacochoerus africanus,118
0,Sus,Sus scrofa,118
0,Sus,Sus scrofa domesticus,118
0,Hipposideros,Hipposideros armiger,118
0,Camelus,Camelus ferus,118
0,Callithrix,Callithrix jacchus,118
0,Camelus,Camelus bactrianus,118
0,Rhinopithecus,Rhinopithecus roxellana,118
0,Perognathus,Perognathus longimembris pacificus,118
0,Nomascus,Nomascus leucogenys,118
0,Lemur,Lemur catta,118
0,Hyaena,Hyaena hyaena,117
0,Ochotona,Ochotona curzoniae,117
0,Microcebus,Microcebus murinus,117
0,Papio,Papio anubis,117
0,Panthera,Panthera leo,117
0,Panthera,Panthera onca,117
0,Panthera,Panthera uncia,117
0,Lutra,Lutra lutra,116
0,Artibeus,Artibeus jamaicensis,116
0,Theropithecus,Theropithecus gelada,116
0,Suncus,Suncus etruscus,116
0,Bubalus,Bubalus bubalis,116
0,Meles,Meles meles,116
0,Rousettus,Rousettus aegyptiacus,116
0,Rhinopithecus,Rhinopithecus bieti,116
0,Cercocebus,Cercocebus atys,116
0,Mandrillus,Mandrillus leucophaeus,116
0,Galeopterus,Galeopterus variegatus,116
0,Molossus,Molossus molossus,116
0,Panthera,Panthera tigris,116
0,Pongo,Pongo pygmaeus,115
0,Leopardus,Leopardus geoffroyi,115
0,Mustela,Mustela erminea,115
0,Felis,Felis catus,115
0,Tupaia,Tupaia chinensis,115
0,Mustela,Mustela lutreola,115
0,Nyctereutes,Nyctereutes procyonoides,115
0,Diceros,Diceros bicornis minor,115
0,Bubalus,Bubalus kerabau,115
0,Desmodus,Desmodus rotundus,115
0,Mustela,Mustela nigripes,115
0,Mustela,Mustela putorius furo,115
0,Neogale,Neogale vison,115
0,Propithecus,Propithecus coquereli,115
0,Myotis,Myotis lucifugus,115
0,Myotis,Myotis myotis,114
0,Piliocolobus,Piliocolobus tephrosceles,114
0,Mirounga,Mirounga leonina,114
0,Trachypithecus,Trachypithecus francoisi,114
0,Neofelis,Neofelis nebulosa,114
0,Prionailurus,Prionailurus bengalensis,114
0,Prionailurus,Prionailurus viverrinus,114
0,Acinonyx,Acinonyx jubatus,114
0,Mirounga,Mirounga angustirostris,114
0,Macaca,Macaca mulatta,114
0,Gorilla,Gorilla gorilla gorilla,114
0,Carlito,Carlito syrichta,114
0,Ailuropoda,Ailuropoda melanoleuca,114
0,Lontra,Lontra canadensis,114
0,Lynx,Lynx canadensis,114
0,Lynx,Lynx rufus,114
0,Homo,Homo sapiens,114
0,Manis,Manis javanica,114
0,Canis,Canis lupus dingo,114
0,Miniopterus,Miniopterus natalensis,114
0,Pan,Pan troglodytes,113
0,Pan,Pan paniscus,113
0,Saimiri,Saimiri boliviensis boliviensis,113
0,Cynocephalus,Cynocephalus volans,113
0,Chlorocebus,Chlorocebus sabaeus,113
0,Myotis,Myotis daubentonii,113
0,Pongo,Pongo abelii,113
0,Talpa,Talpa occidentalis,113
0,Phyllostomus,Phyllostomus discolor,113
0,Vulpes,Vulpes vulpes,113
0,Vulpes,Vulpes lagopus,113
0,Manis,Manis pentadactyla,113
0,Loxodonta,Loxodonta africana,113
0,Macaca,Macaca thibetana thibetana,113
0,Macaca,Macaca fascicularis,113
0,Elephas,Elephas maximus indicus,112
0,Symphalangus,Symphalangus syndactylus,112
0,Pteronotus,Pteronotus parnellii mesoamericanus,112
0,Cebus,Cebus imitator,112
0,Panthera,Panthera pardus,112
0,Trichechus,Trichechus manatus latirostris,112
0,Dasypus,Dasypus novemcinctus,112
0,Pipistrellus,Pipistrellus kuhlii,112
0,Condylura,Condylura cristata,112
0,Ursus,Ursus americanus,112
0,Canis,Canis lupus familiaris,112
0,Ursus,Ursus arctos,112
0,Ursus,Ursus maritimus,112
0,Otolemur,Otolemur garnettii,111
0,Phyllostomus,Phyllostomus hastatus,111
0,Pteropus,Pteropus giganteus,111
0,Suricata,Suricata suricatta,111
0,Macaca,Macaca nemestrina,111
0,Bos,Bos javanicus,110
0,Orycteropus,Orycteropus afer afer,110
0,Phoca,Phoca vitulina,110
0,Bos,Bos indicus x Bos taurus,110
0,Bison,Bison bison bison,110
0,Bos,Bos taurus,110
0,Halichoerus,Halichoerus grypus,110
0,Hylobates,Hylobates moloch,110
0,Colobus,Colobus angolensis palliatus,110
0,Cervus,Cervus canadensis,109
0,Cervus,Cervus elaphus,109
0,Sapajus,Sapajus apella,109
0,Callorhinus,Callorhinus ursinus,109
0,Bos,Bos mutus,109
0,Bos,Bos indicus,109
0,Oryx,Oryx dammah,109
0,Odocoileus,Odocoileus virginianus texanus,109
0,Nycticebus,Nycticebus coucang,109
0,Dama,Dama dama,108
0,Eptesicus,Eptesicus fuscus,108
0,Erinaceus,Erinaceus europaeus,108
0,Odobenus,Odobenus rosmarus divergens,108
0,Moschus,Moschus berezovskii,108
0,Eumetopias,Eumetopias jubatus,108
0,Zalophus,Zalophus californianus,107
0,Capra,Capra hircus,107
0,Cavia,Cavia porcellus,107
0,Neophocaena,Neophocaena asiaeorientalis,106
