,GENUS,SPECIES,Match
0,Castor,Castor canadensis,49
0,Dipodomys,Dipodomys ordii,47
0,Dipodomys,Dipodomys spectabilis,46
0,Equus,Equus quagga,45
0,Equus,Equus caballus,45
0,Equus,Equus asinus,45
0,Pongo,Pongo pygmaeus,44
0,Desmodus,Desmodus rotundus,44
0,Delphinapterus,Delphinapterus leucas,44
0,Kogia,Kogia breviceps,44
0,Budorcas,Budorcas taxicolor,44
0,Gorilla,Gorilla gorilla gorilla,44
0,Monodon,Monodon monoceros,44
0,Capra,Capra hircus,43
0,Physeter,Physeter catodon,43
0,Camelus,Camelus ferus,43
0,Homo,Homo sapiens,43
0,Camelus,Camelus bactrianus,43
0,Oryx,Oryx dammah,43
0,Ovis,Ovis aries,43
0,Urocitellus,Urocitellus parryii,43
0,Pongo,Pongo abelii,43
0,Tupaia,Tupaia chinensis,43
0,Nomascus,Nomascus leucogenys,43
0,Marmota,Marmota monax,42
0,Dama,Dama dama,42
0,Heterocephalus,Heterocephalus glaber,42
0,Colobus,Colobus angolensis palliatus,42
0,Choloepus,Choloepus didactylus,42
0,Microcebus,Microcebus murinus,42
0,Odocoileus,Odocoileus virginianus texanus,42
0,Pan,Pan paniscus,42
0,Echinops,Echinops telfairi,42
0,Octodon,Octodon degus,42
0,Eptesicus,Eptesicus fuscus,42
0,Hippopotamus,Hippopotamus amphibius kiboko,42
0,Marmota,Marmota marmota marmota,42
0,Chinchilla,Chinchilla lanigera,42
0,Pipistrellus,Pipistrellus kuhlii,42
0,Lemur,Lemur catta,42
0,Symphalangus,Symphalangus syndactylus,42
0,Sciurus,Sciurus carolinensis,42
0,Saimiri,Saimiri boliviensis boliviensis,42
0,Rhinopithecus,Rhinopithecus roxellana,42
0,Rattus,Rattus norvegicus,42
0,Mandrillus,Mandrillus leucophaeus,42
0,Cervus,Cervus elaphus,42
0,Hylobates,Hylobates moloch,42
0,Callithrix,Callithrix jacchus,42
0,Marmota,Marmota flaviventris,42
0,Camelus,Camelus dromedarius,42
0,Phyllostomus,Phyllostomus discolor,42
0,Nannospalax,Nannospalax galili,42
0,Pan,Pan troglodytes,42
0,Cercocebus,Cercocebus atys,42
0,Cervus,Cervus canadensis,42
0,Macaca,Macaca thibetana thibetana,41
0,Macaca,Macaca fascicularis,41
0,Mastomys,Mastomys coucha,41
0,Lynx,Lynx rufus,41
0,Moschus,Moschus berezovskii,41
0,Panthera,Panthera tigris,41
0,Neofelis,Neofelis nebulosa,41
0,Ochotona,Ochotona curzoniae,41
0,Trachypithecus,Trachypithecus francoisi,41
0,Theropithecus,Theropithecus gelada,41
0,Rhinopithecus,Rhinopithecus bieti,41
0,Pteronotus,Pteronotus parnellii mesoamericanus,41
0,Propithecus,Propithecus coquereli,41
0,Prionailurus,Prionailurus viverrinus,41
0,Prionailurus,Prionailurus bengalensis,41
0,Piliocolobus,Piliocolobus tephrosceles,41
0,Perognathus,Perognathus longimembris pacificus,41
0,Papio,Papio anubis,41
0,Panthera,Panthera uncia,41
0,Lontra,Lontra canadensis,41
0,Panthera,Panthera onca,41
0,Panthera,Panthera leo,41
0,Ochotona,Ochotona princeps,41
0,Lynx,Lynx canadensis,41
0,Acinonyx,Acinonyx jubatus,41
0,Lepus,Lepus europaeus,41
0,Ictidomys,Ictidomys tridecemlineatus,41
0,Ailuropoda,Ailuropoda melanoleuca,41
0,Arvicanthis,Arvicanthis niloticus,41
0,Cavia,Cavia porcellus,41
0,Felis,Felis catus,41
0,Galeopterus,Galeopterus variegatus,41
0,Cynocephalus,Cynocephalus volans,41
0,Leopardus,Leopardus geoffroyi,41
0,Jaculus,Jaculus jaculus,40
0,Bos,Bos indicus x Bos taurus,40
0,Panthera,Panthera pardus,40
0,Cebus,Cebus imitator,40
0,Phyllostomus,Phyllostomus hastatus,40
0,Callorhinus,Callorhinus ursinus,40
0,Bubalus,Bubalus kerabau,40
0,Bubalus,Bubalus bubalis,40
0,Bos,Bos taurus,40
0,Bos,Bos javanicus,40
0,Bos,Bos indicus,40
0,Myotis,Myotis myotis,40
0,Bison,Bison bison bison,40
0,Rattus,Rattus rattus,40
0,Sturnira,Sturnira hondurensis,40
0,Suncus,Suncus etruscus,40
0,Talpa,Talpa occidentalis,40
