,GENUS,SPECIES,Match,ID_score
0,Mus,Mus musculus,75,0.9730007767677307
0,Mastomys,Mastomys coucha,72,0.9598662943840026
0,Mus,Mus caroli,72,0.953975358724594
0,Grammomys,Grammomys surdaster,70,0.9417188437779744
0,Apodemus,Apodemus sylvaticus,70,0.9372645588715871
0,Arvicanthis,Arvicanthis niloticus,67,0.923465603907903
0,Rattus,Rattus rattus,62,0.8586304282347361
0,Nannospalax,Nannospalax galili,58,0.8370398140748342
0,Rattus,Rattus norvegicus,60,0.8362302756309509
0,Perognathus,Perognathus longimembris pacificus,57,0.8320000119209289
0,Dipodomys,Dipodomys spectabilis,58,0.8231620348294576
0,Mesocricetus,Mesocricetus auratus,57,0.8199697680473327
0,Dipodomys,Dipodomys ordii,57,0.8156658358573913
0,Castor,Castor canadensis,56,0.8110022880236307
0,Phodopus,Phodopus roborovskii,56,0.8109521605173746
0,Psammomys,Psammomys obesus,56,0.8029972054163614
0,Acomys,Acomys russatus,55,0.8001183994611104
0,Myodes,Myodes glareolus,54,0.7978142418861389
0,Ictidomys,Ictidomys tridecemlineatus,55,0.7909671791394551
0,Meriones,Meriones unguiculatus,54,0.7837098457813263
