,GENUS,SPECIES,Match
0,Rattus,Rattus rattus,86
0,Rattus,Rattus norvegicus,85
0,Arvicanthis,Arvicanthis niloticus,82
0,Mastomys,Mastomys coucha,81
0,Apodemus,Apodemus sylvaticus,80
0,Grammomys,Grammomys surdaster,78
0,Mesocricetus,Mesocricetus auratus,75
0,Cricetulus,Cricetulus griseus,72
0,Mus,Mus caroli,71
0,Microtus,Microtus ochrogaster,70
0,Phodopus,Phodopus roborovskii,70
0,Psammomys,Psammomys obesus,70
0,Myodes,Myodes glareolus,69
0,Mus,Mus musculus,69
0,Arvicola,Arvicola amphibius,69
0,Microtus,Microtus fortis,69
0,Chionomys,Chionomys nivalis,68
0,Meriones,Meriones unguiculatus,68
0,Dipodomys,Dipodomys ordii,67
0,Peromyscus,Peromyscus maniculatus bairdii,66
0,Microtus,Microtus oregoni,66
0,Peromyscus,Peromyscus leucopus,65
0,Dipodomys,Dipodomys spectabilis,64
0,Fukomys,Fukomys damarensis,63
0,Acomys,Acomys russatus,63
0,Ictidomys,Ictidomys tridecemlineatus,62
0,Physeter,Physeter catodon,61
0,Jaculus,Jaculus jaculus,61
0,Eptesicus,Eptesicus fuscus,61
0,Sorex,Sorex fumeus,61
0,Suncus,Suncus etruscus,61
0,Nannospalax,Nannospalax galili,61
0,Sorex,Sorex araneus,61
0,Desmodus,Desmodus rotundus,60
0,Equus,Equus asinus,60
0,Lepus,Lepus europaeus,60
0,Equus,Equus caballus,60
0,Equus,Equus quagga,60
0,Neophocaena,Neophocaena asiaeorientalis,60
0,Kogia,Kogia breviceps,60
0,Marmota,Marmota marmota marmota,60
0,Marmota,Marmota monax,60
0,Diceros,Diceros bicornis minor,60
0,Marmota,Marmota flaviventris,60
0,Phocoena,Phocoena sinus,60
0,Urocitellus,Urocitellus parryii,60
0,Talpa,Talpa occidentalis,60
0,Castor,Castor canadensis,60
0,Oryctolagus,Oryctolagus cuniculus,60
0,Capra,Capra hircus,60
0,Sciurus,Sciurus carolinensis,60
0,Perognathus,Perognathus longimembris pacificus,60
0,Chinchilla,Chinchilla lanigera,60
0,Peromyscus,Peromyscus californicus insignis,60
0,Microcebus,Microcebus murinus,59
0,Oryx,Oryx dammah,59
0,Carlito,Carlito syrichta,59
0,Eubalaena,Eubalaena glacialis,59
0,Lemur,Lemur catta,58
0,Mirounga,Mirounga angustirostris,58
0,Monodon,Monodon monoceros,58
0,Lutra,Lutra lutra,58
0,Hippopotamus,Hippopotamus amphibius kiboko,58
0,Budorcas,Budorcas taxicolor,58
0,Sturnira,Sturnira hondurensis,58
0,Balaenoptera,Balaenoptera musculus,58
0,Balaenoptera,Balaenoptera acutorostrata,58
0,Delphinapterus,Delphinapterus leucas,58
0,Dasypus,Dasypus novemcinctus,58
0,Heterocephalus,Heterocephalus glaber,58
