,GENUS,SPECIES,Match
0,Rattus,Rattus rattus,104
1,Mastomys,Mastomys coucha,101
2,Rattus,Rattus norvegicus,101
3,Apodemus,Apodemus sylvaticus,100
4,Arvicanthis,Arvicanthis niloticus,99
5,Grammomys,Grammomys surdaster,96
6,Mesocricetus,Mesocricetus auratus,94
7,Myodes,Myodes glareolus,92
8,Microtus,Microtus fortis,92
9,Microtus,Microtus ochrogaster,92
10,Arvicola,Arvicola amphibius,92
11,Mus,Mus caroli,91
12,Chionomys,Chionomys nivalis,90
13,Cricetulus,Cricetulus griseus,90
14,Mus,Mus musculus,90
15,Phodopus,Phodopus roborovskii,89
16,Microtus,Microtus oregoni,89
17,Psammomys,Psammomys obesus,89
18,Meriones,Meriones unguiculatus,87
19,Peromyscus,Peromyscus leucopus,87
20,Peromyscus,Peromyscus maniculatus bairdii,87
21,Dipodomys,Dipodomys ordii,86
22,Peromyscus,Peromyscus californicus insignis,85
23,Dipodomys,Dipodomys spectabilis,84
24,Nannospalax,Nannospalax galili,84
25,Acomys,Acomys russatus,83
26,Ictidomys,Ictidomys tridecemlineatus,81
27,Onychomys,Onychomys torridus,80
28,Fukomys,Fukomys damarensis,79
29,Urocitellus,Urocitellus parryii,79
30,Castor,Castor canadensis,78
31,Diceros,Diceros bicornis minor,78
32,Eptesicus,Eptesicus fuscus,78
33,Balaenoptera,Balaenoptera musculus,77
34,Marmota,Marmota marmota marmota,77
35,Desmodus,Desmodus rotundus,77
36,Marmota,Marmota flaviventris,77
37,Marmota,Marmota monax,77
38,Jaculus,Jaculus jaculus,76
39,Octodon,Octodon degus,76
40,Myotis,Myotis myotis,76
41,Sciurus,Sciurus carolinensis,76
42,Odobenus,Odobenus rosmarus divergens,75
43,Meles,Meles meles,75
44,Mustela,Mustela erminea,75
45,Perognathus,Perognathus longimembris pacificus,75
46,Neogale,Neogale vison,75
47,Eubalaena,Eubalaena glacialis,75
48,Neophocaena,Neophocaena asiaeorientalis,75
49,Suncus,Suncus etruscus,75
50,Mustela,Mustela lutreola,75
51,Talpa,Talpa occidentalis,75
52,Mustela,Mustela putorius furo,75
53,Chinchilla,Chinchilla lanigera,75
54,Mustela,Mustela nigripes,75
55,Lutra,Lutra lutra,75
56,Phyllostomus,Phyllostomus discolor,75
57,Balaenoptera,Balaenoptera acutorostrata,74
58,Sturnira,Sturnira hondurensis,74
59,Lepus,Lepus europaeus,74
60,Phocoena,Phocoena sinus,74
61,Rhinopithecus,Rhinopithecus roxellana,74
62,Kogia,Kogia breviceps,74
63,Balaenoptera,Balaenoptera ricei,74
64,Heterocephalus,Heterocephalus glaber,74
65,Physeter,Physeter catodon,74
66,Sorex,Sorex araneus,73
67,Pteronotus,Pteronotus parnellii mesoamericanus,73
68,Cervus,Cervus canadensis,73
69,Equus,Equus caballus,73
70,Oryctolagus,Oryctolagus cuniculus,73
71,Equus,Equus quagga,73
72,Sorex,Sorex fumeus,73
73,Cervus,Cervus elaphus,73
74,Carlito,Carlito syrichta,73
75,Ochotona,Ochotona curzoniae,73
76,Pipistrellus,Pipistrellus kuhlii,73
77,Callorhinus,Callorhinus ursinus,73
78,Eumetopias,Eumetopias jubatus,73
79,Microcebus,Microcebus murinus,73
80,Nycticebus,Nycticebus coucang,73
81,Myotis,Myotis daubentonii,73
82,Ochotona,Ochotona princeps,73
83,Mirounga,Mirounga angustirostris,73
84,Artibeus,Artibeus jamaicensis,73
85,Zalophus,Zalophus californianus,72
86,Lontra,Lontra canadensis,72
87,Ursus,Ursus arctos,72
88,Mirounga,Mirounga leonina,72
89,Ursus,Ursus maritimus,72
90,Dasypus,Dasypus novemcinctus,72
91,Ailuropoda,Ailuropoda melanoleuca,72
92,Equus,Equus asinus,72
93,Myotis,Myotis lucifugus,72
94,Ursus,Ursus americanus,72
95,Phyllostomus,Phyllostomus hastatus,71
96,Delphinapterus,Delphinapterus leucas,71
97,Monodon,Monodon monoceros,71
98,Odocoileus,Odocoileus virginianus texanus,71
99,Trachypithecus,Trachypithecus francoisi,71
100,Rhinopithecus,Rhinopithecus bieti,71
101,Panthera,Panthera onca,71
102,Panthera,Panthera leo,71
103,Panthera,Panthera tigris,71
104,Dama,Dama dama,71
105,Capra,Capra hircus,71
106,Piliocolobus,Piliocolobus tephrosceles,71
107,Oryx,Oryx dammah,71
108,Panthera,Panthera uncia,71
109,Phoca,Phoca vitulina,70
110,Phacochoerus,Phacochoerus africanus,70
111,Erinaceus,Erinaceus europaeus,70
112,Ovis,Ovis aries,70
113,Halichoerus,Halichoerus grypus,70
114,Hippopotamus,Hippopotamus amphibius kiboko,70
115,Cavia,Cavia porcellus,70
116,Moschus,Moschus berezovskii,70
117,Miniopterus,Miniopterus natalensis,70
118,Lemur,Lemur catta,70
119,Felis,Felis catus,70
120,Colobus,Colobus angolensis palliatus,69
121,Prionailurus,Prionailurus bengalensis,69
122,Budorcas,Budorcas taxicolor,69
123,Manis,Manis pentadactyla,69
124,Prionailurus,Prionailurus viverrinus,69
125,Pteropus,Pteropus giganteus,69
126,Neofelis,Neofelis nebulosa,69
127,Lynx,Lynx canadensis,69
128,Lynx,Lynx rufus,69
129,Orcinus,Orcinus orca,69
130,Propithecus,Propithecus coquereli,69
131,Manis,Manis javanica,69
132,Otolemur,Otolemur garnettii,69
133,Trichechus,Trichechus manatus latirostris,69
134,Mesoplodon,Mesoplodon densirostris,69
135,Acinonyx,Acinonyx jubatus,69
136,Rousettus,Rousettus aegyptiacus,68
137,Choloepus,Choloepus didactylus,68
138,Hyaena,Hyaena hyaena,68
139,Papio,Papio anubis,68
140,Molossus,Molossus molossus,68
141,Bos,Bos mutus,68
142,Globicephala,Globicephala melas,68
143,Vicugna,Vicugna pacos,68
144,Delphinus,Delphinus delphis,68
145,Lagenorhynchus,Lagenorhynchus obliquidens,68
146,Leopardus,Leopardus geoffroyi,68
147,Hipposideros,Hipposideros armiger,68
148,Suricata,Suricata suricatta,68
149,Lagenorhynchus,Lagenorhynchus albirostris,68
150,Cercocebus,Cercocebus atys,67
151,Macaca,Macaca nemestrina,67
152,Tupaia,Tupaia chinensis,67
153,Tursiops,Tursiops truncatus,67
154,Mandrillus,Mandrillus leucophaeus,67
155,Rhinolophus,Rhinolophus sinicus,67
156,Theropithecus,Theropithecus gelada,67
157,Macaca,Macaca fascicularis,67
158,Bos,Bos taurus,67
159,Macaca,Macaca thibetana thibetana,67
160,Vulpes,Vulpes lagopus,67
161,Bison,Bison bison bison,67
162,Macaca,Macaca mulatta,67
163,Bos,Bos javanicus,67
164,Panthera,Panthera pardus,67
165,Canis,Canis lupus dingo,67
166,Camelus,Camelus dromedarius,67
167,Vulpes,Vulpes vulpes,67
168,Bos,Bos indicus x Bos taurus,67
169,Condylura,Condylura cristata,67
170,Nyctereutes,Nyctereutes procyonoides,67
171,Bubalus,Bubalus bubalis,66
172,Bubalus,Bubalus kerabau,66
173,Chlorocebus,Chlorocebus sabaeus,66
174,Galeopterus,Galeopterus variegatus,66
175,Bos,Bos indicus,66
176,Callithrix,Callithrix jacchus,66
177,Nomascus,Nomascus leucogenys,66
178,Sus,Sus scrofa domesticus,66
179,Sus,Sus scrofa,66
180,Camelus,Camelus ferus,65
181,Pongo,Pongo pygmaeus,65
182,Neomonachus,Neomonachus schauinslandi,65
183,Rhinolophus,Rhinolophus ferrumequinum,65
184,Camelus,Camelus bactrianus,65
185,Hylobates,Hylobates moloch,64
186,Symphalangus,Symphalangus syndactylus,64
187,Pan,Pan troglodytes,64
188,Cynocephalus,Cynocephalus volans,64
189,Saimiri,Saimiri boliviensis boliviensis,64
190,Pan,Pan paniscus,64
191,Canis,Canis lupus familiaris,64
192,Pongo,Pongo abelii,63
193,Gorilla,Gorilla gorilla gorilla,63
194,Homo,Homo sapiens,63
195,Echinops,Echinops telfairi,62
196,Cebus,Cebus imitator,62
197,Sapajus,Sapajus apella,61
198,Aotus,Aotus nancymaae,60
199,Orycteropus,Orycteropus afer afer,59
200,Loxodonta,Loxodonta africana,59
201,Elephas,Elephas maximus indicus,57
