,GENUS,SPECIES,Match
0,Dama,Dama dama,159
1,Oryx,Oryx dammah,159
2,Odocoileus,Odocoileus virginianus texanus,158
3,Capra,Capra hircus,158
4,Cervus,Cervus elaphus,158
5,Moschus,Moschus berezovskii,158
6,Cervus,Cervus canadensis,158
7,Ovis,Ovis aries,157
8,Budorcas,Budorcas taxicolor,155
9,Bos,Bos taurus,154
10,Bos,Bos indicus,154
11,Bison,Bison bison bison,154
12,Bos,Bos indicus x Bos taurus,154
13,Bos,Bos javanicus,154
14,Bos,Bos mutus,153
15,Bubalus,Bubalus kerabau,153
16,Bubalus,Bubalus bubalis,152
17,Vicugna,Vicugna pacos,151
18,Phacochoerus,Phacochoerus africanus,150
19,Camelus,Camelus bactrianus,149
20,Camelus,Camelus ferus,149
21,Camelus,Camelus dromedarius,148
22,Panthera,Panthera uncia,145
23,Panthera,Panthera onca,145
24,Panthera,Panthera leo,145
25,Equus,Equus caballus,144
26,Sus,Sus scrofa,144
27,Ursus,Ursus americanus,144
28,Equus,Equus quagga,144
29,Leopardus,Leopardus geoffroyi,144
30,Sus,Sus scrofa domesticus,144
31,Ursus,Ursus arctos,144
32,Ailuropoda,Ailuropoda melanoleuca,143
33,Vulpes,Vulpes lagopus,143
34,Panthera,Panthera tigris,143
35,Canis,Canis lupus dingo,143
36,Equus,Equus asinus,143
37,Vulpes,Vulpes vulpes,143
38,Prionailurus,Prionailurus bengalensis,142
39,Ursus,Ursus maritimus,142
40,Mustela,Mustela erminea,142
41,Lynx,Lynx rufus,142
42,Mustela,Mustela putorius furo,142
43,Canis,Canis lupus familiaris,142
44,Rhinopithecus,Rhinopithecus roxellana,142
45,Neogale,Neogale vison,142
46,Prionailurus,Prionailurus viverrinus,142
47,Lutra,Lutra lutra,142
48,Acinonyx,Acinonyx jubatus,142
49,Suricata,Suricata suricatta,142
50,Lynx,Lynx canadensis,142
51,Neofelis,Neofelis nebulosa,142
52,Mustela,Mustela nigripes,142
53,Felis,Felis catus,142
54,Hippopotamus,Hippopotamus amphibius kiboko,142
55,Mustela,Mustela lutreola,142
56,Neophocaena,Neophocaena asiaeorientalis,141
57,Piliocolobus,Piliocolobus tephrosceles,141
58,Tupaia,Tupaia chinensis,141
59,Rhinopithecus,Rhinopithecus bieti,141
60,Lontra,Lontra canadensis,141
61,Nyctereutes,Nyctereutes procyonoides,141
