,GENUS,SPECIES,Match
0,Capra,Capra hircus,143
1,Odocoileus,Odocoileus virginianus texanus,143
2,Phacochoerus,Phacochoerus africanus,141
3,Oryx,Oryx dammah,139
4,Dama,Dama dama,138
5,Sus,Sus scrofa,137
6,Ovis,Ovis aries,137
7,Sus,Sus scrofa domesticus,137
8,Cervus,Cervus canadensis,137
9,Cervus,Cervus elaphus,137
10,Budorcas,Budorcas taxicolor,136
11,Moschus,Moschus berezovskii,136
12,Urocitellus,Urocitellus parryii,130
13,Tupaia,Tupaia chinensis,130
14,Equus,Equus quagga,130
15,Marmota,Marmota monax,129
16,Bison,Bison bison bison,129
17,Marmota,Marmota flaviventris,129
18,Bos,Bos taurus,129
19,Bos,Bos indicus,129
20,Bos,Bos javanicus,129
21,Bos,Bos indicus x Bos taurus,129
22,Equus,Equus asinus,129
23,Equus,Equus caballus,129
24,Marmota,Marmota marmota marmota,129
25,Bos,Bos mutus,128
26,Bubalus,Bubalus bubalis,128
27,Bubalus,Bubalus kerabau,128
28,Vicugna,Vicugna pacos,128
29,Orycteropus,Orycteropus afer afer,127
30,Ictidomys,Ictidomys tridecemlineatus,127
31,Hippopotamus,Hippopotamus amphibius kiboko,127
32,Sciurus,Sciurus carolinensis,126
33,Neophocaena,Neophocaena asiaeorientalis,126
34,Camelus,Camelus bactrianus,125
35,Arvicanthis,Arvicanthis niloticus,125
36,Camelus,Camelus ferus,125
37,Phocoena,Phocoena sinus,125
38,Orcinus,Orcinus orca,125
39,Kogia,Kogia breviceps,125
40,Jaculus,Jaculus jaculus,125
41,Delphinus,Delphinus delphis,124
42,Balaenoptera,Balaenoptera acutorostrata,124
43,Lagenorhynchus,Lagenorhynchus albirostris,124
44,Elephas,Elephas maximus indicus,124
45,Mesoplodon,Mesoplodon densirostris,124
46,Tursiops,Tursiops truncatus,124
47,Globicephala,Globicephala melas,124
48,Camelus,Camelus dromedarius,124
49,Lagenorhynchus,Lagenorhynchus obliquidens,124
50,Physeter,Physeter catodon,124
51,Rhinopithecus,Rhinopithecus roxellana,123
52,Balaenoptera,Balaenoptera musculus,123
53,Eubalaena,Eubalaena glacialis,123
54,Molossus,Molossus molossus,123
55,Loxodonta,Loxodonta africana,123
56,Pteronotus,Pteronotus parnellii mesoamericanus,122
