,GENUS,SPECIES,Match
0,Odocoileus,Odocoileus virginianus texanus,125
1,Moschus,Moschus berezovskii,125
2,Cervus,Cervus elaphus,124
3,Capra,Capra hircus,124
4,Cervus,Cervus canadensis,124
5,Ovis,Ovis aries,123
6,Dama,Dama dama,123
7,Oryx,Oryx dammah,123
8,Neophocaena,Neophocaena asiaeorientalis,121
9,Budorcas,Budorcas taxicolor,120
10,Phocoena,Phocoena sinus,119
11,Bos,Bos indicus,118
12,Bos,Bos taurus,118
13,Bison,Bison bison bison,118
14,Bos,Bos indicus x Bos taurus,118
15,Bos,Bos javanicus,118
16,Bos,Bos mutus,117
17,Meles,Meles meles,117
18,Bubalus,Bubalus kerabau,116
19,Ursus,Ursus americanus,116
20,Physeter,Physeter catodon,116
21,Ursus,Ursus arctos,116
22,Balaenoptera,Balaenoptera acutorostrata,115
23,Kogia,Kogia breviceps,115
24,Panthera,Panthera onca,115
25,Mustela,Mustela putorius furo,115
26,Panthera,Panthera leo,115
27,Mustela,Mustela nigripes,115
28,Bubalus,Bubalus bubalis,115
29,Mustela,Mustela lutreola,115
30,Panthera,Panthera uncia,115
31,Ursus,Ursus maritimus,115
32,Phacochoerus,Phacochoerus africanus,115
33,Nyctereutes,Nyctereutes procyonoides,115
34,Neogale,Neogale vison,115
35,Mustela,Mustela erminea,115
36,Canis,Canis lupus dingo,115
37,Mesoplodon,Mesoplodon densirostris,114
38,Felis,Felis catus,114
39,Ailuropoda,Ailuropoda melanoleuca,114
40,Urocitellus,Urocitellus parryii,114
41,Vulpes,Vulpes lagopus,114
42,Lutra,Lutra lutra,114
43,Vicugna,Vicugna pacos,114
44,Lynx,Lynx rufus,113
45,Lynx,Lynx canadensis,113
46,Monodon,Monodon monoceros,113
47,Prionailurus,Prionailurus viverrinus,113
48,Panthera,Panthera tigris,113
49,Marmota,Marmota monax,113
50,Nannospalax,Nannospalax galili,113
51,Marmota,Marmota marmota marmota,113
52,Vulpes,Vulpes vulpes,113
53,Prionailurus,Prionailurus bengalensis,113
54,Marmota,Marmota flaviventris,113
55,Acinonyx,Acinonyx jubatus,113
56,Lagenorhynchus,Lagenorhynchus obliquidens,112
57,Delphinus,Delphinus delphis,112
58,Sciurus,Sciurus carolinensis,112
59,Orcinus,Orcinus orca,112
60,Lagenorhynchus,Lagenorhynchus albirostris,112
61,Neofelis,Neofelis nebulosa,112
62,Globicephala,Globicephala melas,112
63,Balaenoptera,Balaenoptera ricei,112
64,Delphinapterus,Delphinapterus leucas,112
65,Canis,Canis lupus familiaris,111
66,Tursiops,Tursiops truncatus,111
67,Suricata,Suricata suricatta,111
68,Rhinolophus,Rhinolophus sinicus,111
69,Leopardus,Leopardus geoffroyi,111
70,Rhinopithecus,Rhinopithecus roxellana,111
71,Panthera,Panthera pardus,111
72,Tupaia,Tupaia chinensis,111
73,Balaenoptera,Balaenoptera musculus,111
74,Hippopotamus,Hippopotamus amphibius kiboko,111
75,Eubalaena,Eubalaena glacialis,110
76,Sturnira,Sturnira hondurensis,110
77,Sus,Sus scrofa domesticus,110
78,Propithecus,Propithecus coquereli,110
79,Sus,Sus scrofa,110
80,Lontra,Lontra canadensis,110
81,Piliocolobus,Piliocolobus tephrosceles,109
82,Rousettus,Rousettus aegyptiacus,109
83,Rhinolophus,Rhinolophus ferrumequinum,109
84,Hyaena,Hyaena hyaena,109
85,Rhinopithecus,Rhinopithecus bieti,109
86,Ictidomys,Ictidomys tridecemlineatus,109
87,Dipodomys,Dipodomys ordii,108
88,Lemur,Lemur catta,108
89,Camelus,Camelus dromedarius,108
