,GENUS,SPECIES,Match
0,Dama,Dama dama,157
1,Cervus,Cervus elaphus,157
2,Cervus,Cervus canadensis,157
3,Moschus,Moschus berezovskii,153
4,Odocoileus,Odocoileus virginianus texanus,151
5,Oryx,Oryx dammah,150
6,Capra,Capra hircus,149
7,Ovis,Ovis aries,148
8,Budorcas,Budorcas taxicolor,147
9,Bison,Bison bison bison,146
10,Bos,Bos javanicus,146
11,Bos,Bos indicus,146
12,Bos,Bos taurus,146
13,Bos,Bos indicus x Bos taurus,146
14,Bos,Bos mutus,145
15,Bubalus,Bubalus bubalis,145
16,Bubalus,Bubalus kerabau,144
17,Vicugna,Vicugna pacos,143
18,Phacochoerus,Phacochoerus africanus,140
19,Camelus,Camelus dromedarius,139
20,Camelus,Camelus ferus,137
21,Ursus,Ursus arctos,137
22,Felis,Felis catus,137
23,Panthera,Panthera onca,137
24,Panthera,Panthera leo,137
25,Camelus,Camelus bactrianus,137
26,Ursus,Ursus americanus,137
27,Lemur,Lemur catta,137
28,Neofelis,Neofelis nebulosa,137
29,Panthera,Panthera uncia,137
30,Acinonyx,Acinonyx jubatus,136
31,Ursus,Ursus maritimus,136
32,Ailuropoda,Ailuropoda melanoleuca,136
33,Prionailurus,Prionailurus bengalensis,136
34,Panthera,Panthera tigris,136
35,Prionailurus,Prionailurus viverrinus,136
36,Leopardus,Leopardus geoffroyi,136
37,Canis,Canis lupus dingo,136
38,Lynx,Lynx canadensis,136
39,Lynx,Lynx rufus,136
40,Callorhinus,Callorhinus ursinus,135
41,Sus,Sus scrofa domesticus,135
42,Sus,Sus scrofa,135
43,Tupaia,Tupaia chinensis,135
44,Equus,Equus asinus,135
45,Vulpes,Vulpes lagopus,134
46,Meles,Meles meles,134
47,Equus,Equus quagga,134
48,Suricata,Suricata suricatta,134
49,Nyctereutes,Nyctereutes procyonoides,134
50,Hippopotamus,Hippopotamus amphibius kiboko,133
51,Propithecus,Propithecus coquereli,133
52,Mustela,Mustela putorius furo,133
53,Equus,Equus caballus,133
54,Hyaena,Hyaena hyaena,133
55,Neogale,Neogale vison,133
56,Mustela,Mustela erminea,133
57,Eumetopias,Eumetopias jubatus,133
58,Mustela,Mustela lutreola,133
59,Vulpes,Vulpes vulpes,133
60,Mustela,Mustela nigripes,133
61,Galeopterus,Galeopterus variegatus,132
62,Lutra,Lutra lutra,132
63,Zalophus,Zalophus californianus,132
64,Panthera,Panthera pardus,132
65,Rhinopithecus,Rhinopithecus roxellana,132
66,Odobenus,Odobenus rosmarus divergens,131
67,Canis,Canis lupus familiaris,131
68,Cynocephalus,Cynocephalus volans,131
69,Octodon,Octodon degus,130
70,Rhinopithecus,Rhinopithecus bieti,130
71,Pipistrellus,Pipistrellus kuhlii,130
72,Chlorocebus,Chlorocebus sabaeus,130
73,Loxodonta,Loxodonta africana,130
74,Urocitellus,Urocitellus parryii,129
75,Lontra,Lontra canadensis,129
76,Hipposideros,Hipposideros armiger,129
77,Marmota,Marmota monax,128
78,Microcebus,Microcebus murinus,128
79,Sturnira,Sturnira hondurensis,128
80,Marmota,Marmota marmota marmota,128
81,Piliocolobus,Piliocolobus tephrosceles,128
82,Marmota,Marmota flaviventris,128
83,Neophocaena,Neophocaena asiaeorientalis,128
84,Rhinolophus,Rhinolophus sinicus,127
85,Castor,Castor canadensis,127
86,Rattus,Rattus norvegicus,127
87,Colobus,Colobus angolensis palliatus,127
88,Sciurus,Sciurus carolinensis,127
89,Mesoplodon,Mesoplodon densirostris,127
90,Rattus,Rattus rattus,127
91,Ochotona,Ochotona princeps,127
92,Neomonachus,Neomonachus schauinslandi,127
93,Macaca,Macaca mulatta,127
94,Nannospalax,Nannospalax galili,126
95,Macaca,Macaca thibetana thibetana,126
96,Otolemur,Otolemur garnettii,126
97,Papio,Papio anubis,126
98,Fukomys,Fukomys damarensis,126
99,Macaca,Macaca fascicularis,126
100,Peromyscus,Peromyscus leucopus,125
101,Rousettus,Rousettus aegyptiacus,125
102,Elephas,Elephas maximus indicus,125
103,Myotis,Myotis lucifugus,125
104,Mirounga,Mirounga angustirostris,125
105,Phoca,Phoca vitulina,125
106,Lepus,Lepus europaeus,125
107,Pteronotus,Pteronotus parnellii mesoamericanus,125
108,Lagenorhynchus,Lagenorhynchus obliquidens,124
109,Mandrillus,Mandrillus leucophaeus,124
110,Theropithecus,Theropithecus gelada,124
111,Cercocebus,Cercocebus atys,124
112,Phocoena,Phocoena sinus,124
113,Tursiops,Tursiops truncatus,124
114,Artibeus,Artibeus jamaicensis,124
115,Trachypithecus,Trachypithecus francoisi,124
116,Oryctolagus,Oryctolagus cuniculus,124
117,Rhinolophus,Rhinolophus ferrumequinum,124
118,Globicephala,Globicephala melas,124
119,Lagenorhynchus,Lagenorhynchus albirostris,124
120,Jaculus,Jaculus jaculus,124
121,Mus,Mus musculus,124
122,Delphinus,Delphinus delphis,124
123,Orcinus,Orcinus orca,124
124,Arvicanthis,Arvicanthis niloticus,124
125,Ochotona,Ochotona curzoniae,123
126,Choloepus,Choloepus didactylus,123
127,Halichoerus,Halichoerus grypus,123
128,Meriones,Meriones unguiculatus,123
129,Heterocephalus,Heterocephalus glaber,123
130,Pteropus,Pteropus giganteus,123
131,Phyllostomus,Phyllostomus discolor,123
132,Ictidomys,Ictidomys tridecemlineatus,123
133,Pongo,Pongo pygmaeus,123
134,Nomascus,Nomascus leucogenys,123
135,Homo,Homo sapiens,123
136,Myotis,Myotis daubentonii,123
137,Psammomys,Psammomys obesus,122
138,Mirounga,Mirounga leonina,122
139,Peromyscus,Peromyscus maniculatus bairdii,122
140,Macaca,Macaca nemestrina,122
141,Phyllostomus,Phyllostomus hastatus,122
142,Eptesicus,Eptesicus fuscus,122
143,Miniopterus,Miniopterus natalensis,122
144,Diceros,Diceros bicornis minor,122
145,Myotis,Myotis myotis,122
146,Desmodus,Desmodus rotundus,122
147,Molossus,Molossus molossus,121
148,Mastomys,Mastomys coucha,121
149,Dasypus,Dasypus novemcinctus,121
150,Callithrix,Callithrix jacchus,121
151,Pongo,Pongo abelii,121
152,Hylobates,Hylobates moloch,121
153,Symphalangus,Symphalangus syndactylus,121
154,Dipodomys,Dipodomys ordii,121
155,Erinaceus,Erinaceus europaeus,121
156,Cavia,Cavia porcellus,120
157,Mus,Mus caroli,120
158,Physeter,Physeter catodon,120
159,Gorilla,Gorilla gorilla gorilla,120
160,Chinchilla,Chinchilla lanigera,120
161,Dipodomys,Dipodomys spectabilis,120
162,Trichechus,Trichechus manatus latirostris,119
163,Grammomys,Grammomys surdaster,119
164,Nycticebus,Nycticebus coucang,119
165,Apodemus,Apodemus sylvaticus,119
166,Acomys,Acomys russatus,118
167,Monodon,Monodon monoceros,118
168,Saimiri,Saimiri boliviensis boliviensis,118
169,Pan,Pan troglodytes,117
170,Orycteropus,Orycteropus afer afer,117
171,Pan,Pan paniscus,117
172,Onychomys,Onychomys torridus,117
173,Peromyscus,Peromyscus californicus insignis,117
174,Eubalaena,Eubalaena glacialis,117
175,Kogia,Kogia breviceps,116
176,Balaenoptera,Balaenoptera acutorostrata,116
177,Manis,Manis javanica,116
178,Balaenoptera,Balaenoptera musculus,116
179,Suncus,Suncus etruscus,116
180,Delphinapterus,Delphinapterus leucas,115
181,Manis,Manis pentadactyla,115
182,Myodes,Myodes glareolus,115
183,Phodopus,Phodopus roborovskii,115
184,Perognathus,Perognathus longimembris pacificus,114
185,Microtus,Microtus fortis,114
186,Talpa,Talpa occidentalis,114
187,Carlito,Carlito syrichta,114
188,Microtus,Microtus ochrogaster,114
189,Balaenoptera,Balaenoptera ricei,114
190,Aotus,Aotus nancymaae,113
191,Arvicola,Arvicola amphibius,113
192,Cricetulus,Cricetulus griseus,112
193,Chionomys,Chionomys nivalis,112
194,Sorex,Sorex fumeus,112
195,Cebus,Cebus imitator,111
196,Mesocricetus,Mesocricetus auratus,111
197,Sorex,Sorex araneus,111
198,Sapajus,Sapajus apella,110
199,Condylura,Condylura cristata,110
200,Microtus,Microtus oregoni,109
201,Echinops,Echinops telfairi,94
