,GENUS,SPECIES,Match
0,Capra,Capra hircus,116
1,Moschus,Moschus berezovskii,115
2,Oryx,Oryx dammah,114
3,Ovis,Ovis aries,114
4,Budorcas,Budorcas taxicolor,113
5,Dama,Dama dama,112
6,Cervus,Cervus elaphus,111
7,Cervus,Cervus canadensis,111
8,Odocoileus,Odocoileus virginianus texanus,110
9,Physeter,Physeter catodon,108
10,Bos,Bos javanicus,107
11,Bison,Bison bison bison,107
12,Bos,Bos mutus,107
13,Bos,Bos indicus x Bos taurus,107
14,Bos,Bos taurus,107
15,Kogia,Kogia breviceps,107
16,Hippopotamus,Hippopotamus amphibius kiboko,106
17,Propithecus,Propithecus coquereli,106
18,Lemur,Lemur catta,106
19,Bos,Bos indicus,106
20,Bubalus,Bubalus kerabau,105
21,Bubalus,Bubalus bubalis,105
22,Phacochoerus,Phacochoerus africanus,102
23,Orcinus,Orcinus orca,101
24,Trachypithecus,Trachypithecus francoisi,100
25,Lagenorhynchus,Lagenorhynchus obliquidens,100
26,Mesoplodon,Mesoplodon densirostris,100
27,Piliocolobus,Piliocolobus tephrosceles,100
28,Lagenorhynchus,Lagenorhynchus albirostris,100
29,Equus,Equus quagga,100
30,Vicugna,Vicugna pacos,100
31,Delphinus,Delphinus delphis,100
32,Equus,Equus caballus,100
33,Neophocaena,Neophocaena asiaeorientalis,100
34,Sorex,Sorex fumeus,99
35,Tursiops,Tursiops truncatus,99
36,Rhinopithecus,Rhinopithecus roxellana,99
37,Ursus,Ursus americanus,99
38,Ailuropoda,Ailuropoda melanoleuca,99
39,Rhinopithecus,Rhinopithecus bieti,99
40,Colobus,Colobus angolensis palliatus,99
41,Monodon,Monodon monoceros,99
42,Equus,Equus asinus,99
43,Balaenoptera,Balaenoptera acutorostrata,99
44,Phocoena,Phocoena sinus,99
45,Ursus,Ursus arctos,99
46,Papio,Papio anubis,99
47,Erinaceus,Erinaceus europaeus,99
48,Chlorocebus,Chlorocebus sabaeus,99
49,Globicephala,Globicephala melas,99
50,Ursus,Ursus maritimus,98
51,Panthera,Panthera leo,98
52,Panthera,Panthera onca,98
