,GENUS,SPECIES,Match
0,Hippopotamus,Hippopotamus amphibius kiboko,94
1,Nannospalax,Nannospalax galili,79
2,Dipodomys,Dipodomys ordii,77
3,Desmodus,Desmodus rotundus,76
4,Marmota,Marmota monax,76
5,Marmota,Marmota marmota marmota,76
6,Rousettus,Rousettus aegyptiacus,76
7,Meles,Meles meles,76
8,Marmota,Marmota flaviventris,76
9,Hyaena,Hyaena hyaena,76
10,Condylura,Condylura cristata,75
11,Ailuropoda,Ailuropoda melanoleuca,75
12,Eumetopias,Eumetopias jubatus,75
13,Phoca,Phoca vitulina,75
14,Diceros,Diceros bicornis minor,75
15,Talpa,Talpa occidentalis,75
16,Callorhinus,Callorhinus ursinus,75
17,Neogale,Neogale vison,74
18,Mustela,Mustela lutreola,74
19,Mustela,Mustela putorius furo,74
20,Mustela,Mustela erminea,74
21,Ursus,Ursus americanus,74
22,Sorex,Sorex fumeus,74
23,Phacochoerus,Phacochoerus africanus,74
24,Erinaceus,Erinaceus europaeus,74
25,Felis,Felis catus,74
26,Ursus,Ursus arctos,74
27,Mustela,Mustela nigripes,74
28,Neofelis,Neofelis nebulosa,74
29,Leopardus,Leopardus geoffroyi,74
30,Ursus,Ursus maritimus,74
31,Camelus,Camelus dromedarius,74
32,Lynx,Lynx rufus,73
33,Phyllostomus,Phyllostomus discolor,73
34,Vulpes,Vulpes lagopus,73
35,Panthera,Panthera uncia,73
36,Prionailurus,Prionailurus viverrinus,73
37,Acinonyx,Acinonyx jubatus,73
38,Sorex,Sorex araneus,73
39,Nyctereutes,Nyctereutes procyonoides,73
40,Lynx,Lynx canadensis,73
41,Prionailurus,Prionailurus bengalensis,73
42,Halichoerus,Halichoerus grypus,73
43,Miniopterus,Miniopterus natalensis,73
44,Panthera,Panthera leo,73
45,Panthera,Panthera onca,73
46,Canis,Canis lupus dingo,73
47,Physeter,Physeter catodon,73
48,Lutra,Lutra lutra,73
49,Vulpes,Vulpes vulpes,73
50,Tupaia,Tupaia chinensis,73
51,Urocitellus,Urocitellus parryii,72
52,Canis,Canis lupus familiaris,72
53,Sus,Sus scrofa domesticus,72
54,Vicugna,Vicugna pacos,72
55,Sturnira,Sturnira hondurensis,72
56,Hipposideros,Hipposideros armiger,72
57,Sus,Sus scrofa,72
58,Rhinolophus,Rhinolophus sinicus,72
59,Sciurus,Sciurus carolinensis,72
60,Phyllostomus,Phyllostomus hastatus,71
61,Cebus,Cebus imitator,71
62,Zalophus,Zalophus californianus,71
63,Dipodomys,Dipodomys spectabilis,71
64,Lontra,Lontra canadensis,71
65,Perognathus,Perognathus longimembris pacificus,71
66,Choloepus,Choloepus didactylus,71
67,Suncus,Suncus etruscus,71
68,Mirounga,Mirounga angustirostris,71
69,Odobenus,Odobenus rosmarus divergens,71
70,Mirounga,Mirounga leonina,71
71,Bos,Bos javanicus,70
72,Manis,Manis pentadactyla,70
73,Bos,Bos indicus,70
74,Camelus,Camelus ferus,70
75,Panthera,Panthera tigris,70
76,Manis,Manis javanica,70
77,Sapajus,Sapajus apella,70
78,Artibeus,Artibeus jamaicensis,70
79,Pteropus,Pteropus giganteus,70
80,Camelus,Camelus bactrianus,70
81,Phodopus,Phodopus roborovskii,70
82,Bos,Bos indicus x Bos taurus,70
83,Bos,Bos taurus,70
84,Bison,Bison bison bison,70
85,Panthera,Panthera pardus,69
86,Globicephala,Globicephala melas,69
87,Kogia,Kogia breviceps,69
88,Bos,Bos mutus,69
89,Ictidomys,Ictidomys tridecemlineatus,69
