,GENUS,SPECIES,Match
0,Callorhinus,Callorhinus ursinus,157
1,Eumetopias,Eumetopias jubatus,156
2,Zalophus,Zalophus californianus,152
3,Lutra,Lutra lutra,151
4,Meles,Meles meles,149
5,Odobenus,Odobenus rosmarus divergens,149
6,Mustela,Mustela erminea,148
7,Mustela,Mustela lutreola,148
8,Mustela,Mustela putorius furo,148
9,Mustela,Mustela nigripes,148
10,Neogale,Neogale vison,148
11,Ailuropoda,Ailuropoda melanoleuca,148
12,Ursus,Ursus americanus,146
13,Ursus,Ursus arctos,146
14,Ursus,Ursus maritimus,146
15,Suricata,Suricata suricatta,145
16,Phoca,Phoca vitulina,144
17,Lynx,Lynx canadensis,144
18,Prionailurus,Prionailurus bengalensis,144
19,Panthera,Panthera uncia,144
20,Lynx,Lynx rufus,144
21,Acinonyx,Acinonyx jubatus,144
22,Neofelis,Neofelis nebulosa,144
23,Panthera,Panthera leo,144
24,Panthera,Panthera onca,144
25,Prionailurus,Prionailurus viverrinus,144
26,Lontra,Lontra canadensis,143
27,Felis,Felis catus,143
28,Vulpes,Vulpes vulpes,143
29,Mirounga,Mirounga leonina,143
30,Halichoerus,Halichoerus grypus,142
31,Mirounga,Mirounga angustirostris,142
32,Canis,Canis lupus dingo,142
33,Nyctereutes,Nyctereutes procyonoides,142
34,Vulpes,Vulpes lagopus,142
35,Panthera,Panthera tigris,140
36,Panthera,Panthera pardus,139
37,Leopardus,Leopardus geoffroyi,138
38,Hyaena,Hyaena hyaena,138
39,Canis,Canis lupus familiaris,137
40,Diceros,Diceros bicornis minor,137
41,Piliocolobus,Piliocolobus tephrosceles,133
42,Equus,Equus quagga,133
43,Equus,Equus asinus,133
44,Marmota,Marmota marmota marmota,132
45,Marmota,Marmota monax,132
46,Oryctolagus,Oryctolagus cuniculus,132
47,Equus,Equus caballus,132
48,Condylura,Condylura cristata,132
49,Manis,Manis pentadactyla,132
50,Dipodomys,Dipodomys ordii,132
51,Marmota,Marmota flaviventris,132
52,Chlorocebus,Chlorocebus sabaeus,132
53,Papio,Papio anubis,132
54,Neomonachus,Neomonachus schauinslandi,131
55,Homo,Homo sapiens,131
56,Colobus,Colobus angolensis palliatus,130
57,Dipodomys,Dipodomys spectabilis,130
58,Urocitellus,Urocitellus parryii,130
59,Sciurus,Sciurus carolinensis,130
60,Microcebus,Microcebus murinus,130
61,Sorex,Sorex araneus,129
62,Rhinopithecus,Rhinopithecus roxellana,129
63,Manis,Manis javanica,129
64,Rhinopithecus,Rhinopithecus bieti,129
65,Pipistrellus,Pipistrellus kuhlii,129
66,Galeopterus,Galeopterus variegatus,129
67,Lepus,Lepus europaeus,129
68,Sorex,Sorex fumeus,128
69,Propithecus,Propithecus coquereli,128
70,Gorilla,Gorilla gorilla gorilla,128
71,Trachypithecus,Trachypithecus francoisi,128
72,Cynocephalus,Cynocephalus volans,128
73,Callithrix,Callithrix jacchus,128
74,Sapajus,Sapajus apella,128
75,Erinaceus,Erinaceus europaeus,127
76,Bos,Bos javanicus,127
77,Bos,Bos indicus,127
78,Mandrillus,Mandrillus leucophaeus,127
79,Cebus,Cebus imitator,127
80,Cercocebus,Cercocebus atys,127
81,Bison,Bison bison bison,127
82,Pongo,Pongo pygmaeus,127
83,Bos,Bos indicus x Bos taurus,127
84,Ictidomys,Ictidomys tridecemlineatus,127
85,Pongo,Pongo abelii,127
86,Bos,Bos taurus,127
87,Nomascus,Nomascus leucogenys,127
88,Elephas,Elephas maximus indicus,126
89,Macaca,Macaca fascicularis,126
90,Pan,Pan paniscus,126
91,Miniopterus,Miniopterus natalensis,126
92,Macaca,Macaca thibetana thibetana,126
93,Theropithecus,Theropithecus gelada,126
94,Pan,Pan troglodytes,126
95,Bos,Bos mutus,126
96,Saimiri,Saimiri boliviensis boliviensis,126
97,Rattus,Rattus norvegicus,126
98,Macaca,Macaca nemestrina,125
99,Choloepus,Choloepus didactylus,125
100,Macaca,Macaca mulatta,125
101,Talpa,Talpa occidentalis,125
102,Phacochoerus,Phacochoerus africanus,125
103,Bubalus,Bubalus bubalis,125
104,Bubalus,Bubalus kerabau,125
105,Cervus,Cervus elaphus,125
106,Hylobates,Hylobates moloch,125
107,Cervus,Cervus canadensis,125
108,Symphalangus,Symphalangus syndactylus,124
109,Dama,Dama dama,124
110,Chinchilla,Chinchilla lanigera,124
111,Phyllostomus,Phyllostomus discolor,124
112,Lemur,Lemur catta,123
113,Moschus,Moschus berezovskii,123
114,Tupaia,Tupaia chinensis,123
115,Loxodonta,Loxodonta africana,123
116,Rattus,Rattus rattus,123
117,Hippopotamus,Hippopotamus amphibius kiboko,122
118,Eptesicus,Eptesicus fuscus,122
119,Sturnira,Sturnira hondurensis,122
120,Odocoileus,Odocoileus virginianus texanus,122
121,Castor,Castor canadensis,122
122,Carlito,Carlito syrichta,122
123,Molossus,Molossus molossus,121
124,Perognathus,Perognathus longimembris pacificus,121
125,Artibeus,Artibeus jamaicensis,121
126,Pteronotus,Pteronotus parnellii mesoamericanus,121
127,Nannospalax,Nannospalax galili,121
128,Desmodus,Desmodus rotundus,121
129,Hipposideros,Hipposideros armiger,121
130,Rhinolophus,Rhinolophus sinicus,120
131,Phodopus,Phodopus roborovskii,120
132,Jaculus,Jaculus jaculus,120
133,Physeter,Physeter catodon,120
134,Rousettus,Rousettus aegyptiacus,120
135,Phyllostomus,Phyllostomus hastatus,120
136,Vicugna,Vicugna pacos,119
137,Cricetulus,Cricetulus griseus,119
138,Heterocephalus,Heterocephalus glaber,119
139,Sus,Sus scrofa,119
140,Sus,Sus scrofa domesticus,119
141,Onychomys,Onychomys torridus,119
142,Microtus,Microtus ochrogaster,119
143,Arvicola,Arvicola amphibius,118
144,Myotis,Myotis myotis,118
145,Aotus,Aotus nancymaae,118
146,Arvicanthis,Arvicanthis niloticus,117
147,Ochotona,Ochotona princeps,117
148,Ochotona,Ochotona curzoniae,117
149,Microtus,Microtus oregoni,117
150,Myodes,Myodes glareolus,117
151,Kogia,Kogia breviceps,116
152,Oryx,Oryx dammah,116
153,Mesocricetus,Mesocricetus auratus,116
154,Microtus,Microtus fortis,116
155,Chionomys,Chionomys nivalis,116
156,Myotis,Myotis lucifugus,116
157,Camelus,Camelus dromedarius,116
158,Nycticebus,Nycticebus coucang,115
159,Peromyscus,Peromyscus californicus insignis,115
160,Otolemur,Otolemur garnettii,115
161,Neophocaena,Neophocaena asiaeorientalis,115
162,Capra,Capra hircus,114
163,Ovis,Ovis aries,114
164,Fukomys,Fukomys damarensis,114
165,Myotis,Myotis daubentonii,114
166,Delphinapterus,Delphinapterus leucas,114
167,Pteropus,Pteropus giganteus,114
168,Rhinolophus,Rhinolophus ferrumequinum,114
169,Globicephala,Globicephala melas,114
170,Grammomys,Grammomys surdaster,114
171,Octodon,Octodon degus,114
172,Phocoena,Phocoena sinus,113
173,Mesoplodon,Mesoplodon densirostris,113
174,Peromyscus,Peromyscus leucopus,113
175,Monodon,Monodon monoceros,113
176,Camelus,Camelus ferus,112
177,Balaenoptera,Balaenoptera acutorostrata,112
178,Camelus,Camelus bactrianus,112
179,Peromyscus,Peromyscus maniculatus bairdii,111
180,Budorcas,Budorcas taxicolor,111
181,Orcinus,Orcinus orca,111
182,Delphinus,Delphinus delphis,110
183,Lagenorhynchus,Lagenorhynchus obliquidens,110
184,Tursiops,Tursiops truncatus,110
185,Lagenorhynchus,Lagenorhynchus albirostris,110
186,Suncus,Suncus etruscus,109
187,Trichechus,Trichechus manatus latirostris,108
188,Psammomys,Psammomys obesus,107
189,Apodemus,Apodemus sylvaticus,107
190,Dasypus,Dasypus novemcinctus,107
191,Eubalaena,Eubalaena glacialis,106
192,Meriones,Meriones unguiculatus,106
193,Balaenoptera,Balaenoptera ricei,106
194,Mastomys,Mastomys coucha,106
195,Balaenoptera,Balaenoptera musculus,106
196,Orycteropus,Orycteropus afer afer,104
197,Mus,Mus caroli,101
198,Mus,Mus musculus,100
199,Cavia,Cavia porcellus,99
200,Acomys,Acomys russatus,95
201,Echinops,Echinops telfairi,94
