,GENUS,SPECIES,Match
0,Phoca,Phoca vitulina,79
1,Halichoerus,Halichoerus grypus,77
2,Mirounga,Mirounga angustirostris,75
3,Mirounga,Mirounga leonina,75
4,Callorhinus,Callorhinus ursinus,74
5,Eumetopias,Eumetopias jubatus,74
6,Zalophus,Zalophus californianus,73
7,Meles,Meles meles,71
8,Odobenus,Odobenus rosmarus divergens,70
9,Lutra,Lutra lutra,69
10,Mustela,Mustela putorius furo,68
11,Neogale,Neogale vison,68
12,Mustela,Mustela erminea,68
13,Mustela,Mustela lutreola,68
14,Vulpes,Vulpes vulpes,68
15,Mustela,Mustela nigripes,68
16,Acinonyx,Acinonyx jubatus,67
17,Vulpes,Vulpes lagopus,67
18,Lynx,Lynx canadensis,67
19,Neofelis,Neofelis nebulosa,67
20,Prionailurus,Prionailurus viverrinus,67
21,Prionailurus,Prionailurus bengalensis,67
22,Lynx,Lynx rufus,67
23,Felis,Felis catus,66
24,Hyaena,Hyaena hyaena,66
25,Ailuropoda,Ailuropoda melanoleuca,66
26,Canis,Canis lupus familiaris,66
27,Panthera,Panthera uncia,65
28,Nyctereutes,Nyctereutes procyonoides,65
29,Panthera,Panthera onca,65
30,Canis,Canis lupus dingo,65
31,Panthera,Panthera leo,65
32,Panthera,Panthera pardus,64
33,Ursus,Ursus arctos,64
34,Ursus,Ursus americanus,64
35,Ursus,Ursus maritimus,64
36,Piliocolobus,Piliocolobus tephrosceles,64
37,Lontra,Lontra canadensis,64
38,Sorex,Sorex araneus,64
39,Papio,Papio anubis,64
40,Leopardus,Leopardus geoffroyi,64
41,Rhinopithecus,Rhinopithecus roxellana,63
42,Suricata,Suricata suricatta,63
43,Rhinopithecus,Rhinopithecus bieti,63
44,Cebus,Cebus imitator,63
45,Callithrix,Callithrix jacchus,63
46,Neomonachus,Neomonachus schauinslandi,63
47,Trachypithecus,Trachypithecus francoisi,63
48,Chlorocebus,Chlorocebus sabaeus,63
49,Mandrillus,Mandrillus leucophaeus,62
50,Cercocebus,Cercocebus atys,62
51,Equus,Equus asinus,62
52,Sapajus,Sapajus apella,62
53,Hipposideros,Hipposideros armiger,62
54,Colobus,Colobus angolensis palliatus,62
55,Theropithecus,Theropithecus gelada,62
56,Sorex,Sorex fumeus,62
57,Macaca,Macaca thibetana thibetana,61
58,Panthera,Panthera tigris,61
59,Diceros,Diceros bicornis minor,61
60,Phodopus,Phodopus roborovskii,61
61,Equus,Equus caballus,61
62,Equus,Equus quagga,61
63,Macaca,Macaca fascicularis,61
64,Macaca,Macaca nemestrina,61
65,Urocitellus,Urocitellus parryii,60
66,Saimiri,Saimiri boliviensis boliviensis,60
67,Galeopterus,Galeopterus variegatus,60
68,Macaca,Macaca mulatta,60
69,Cynocephalus,Cynocephalus volans,60
70,Manis,Manis pentadactyla,59
71,Homo,Homo sapiens,59
72,Carlito,Carlito syrichta,59
73,Pan,Pan troglodytes,59
74,Dipodomys,Dipodomys ordii,59
75,Pan,Pan paniscus,59
76,Rhinolophus,Rhinolophus sinicus,59
77,Bos,Bos javanicus,58
78,Perognathus,Perognathus longimembris pacificus,58
79,Bos,Bos indicus,58
80,Bos,Bos indicus x Bos taurus,58
81,Microtus,Microtus fortis,58
82,Bison,Bison bison bison,58
83,Marmota,Marmota monax,58
84,Symphalangus,Symphalangus syndactylus,58
85,Myodes,Myodes glareolus,58
86,Gorilla,Gorilla gorilla gorilla,58
87,Cricetulus,Cricetulus griseus,58
88,Sciurus,Sciurus carolinensis,58
89,Vicugna,Vicugna pacos,58
90,Choloepus,Choloepus didactylus,58
91,Arvicola,Arvicola amphibius,58
92,Marmota,Marmota flaviventris,58
93,Pongo,Pongo pygmaeus,58
94,Nomascus,Nomascus leucogenys,58
95,Heterocephalus,Heterocephalus glaber,58
96,Aotus,Aotus nancymaae,58
97,Bos,Bos taurus,58
98,Manis,Manis javanica,58
99,Hylobates,Hylobates moloch,58
100,Microtus,Microtus oregoni,58
101,Hippopotamus,Hippopotamus amphibius kiboko,58
102,Pongo,Pongo abelii,58
103,Marmota,Marmota marmota marmota,58
104,Grammomys,Grammomys surdaster,57
105,Chinchilla,Chinchilla lanigera,57
106,Phyllostomus,Phyllostomus hastatus,57
