,GENUS,SPECIES,Match
0,Neogale,Neogale vison,59
1,Mustela,Mustela putorius furo,59
2,Mustela,Mustela lutreola,59
3,Mustela,Mustela erminea,59
4,Mustela,Mustela nigripes,59
5,Ailuropoda,Ailuropoda melanoleuca,58
6,Ursus,Ursus americanus,58
7,Ursus,Ursus arctos,58
8,Ursus,Ursus maritimus,58
9,Lutra,Lutra lutra,58
10,Meles,Meles meles,56
11,Zalophus,Zalophus californianus,55
12,Eumetopias,Eumetopias jubatus,55
13,Callorhinus,Callorhinus ursinus,55
14,Lontra,Lontra canadensis,55
15,Odobenus,Odobenus rosmarus divergens,54
16,Felis,Felis catus,54
17,Lynx,Lynx rufus,53
18,Prionailurus,Prionailurus bengalensis,53
19,Nyctereutes,Nyctereutes procyonoides,53
20,Canis,Canis lupus dingo,53
21,Neofelis,Neofelis nebulosa,53
22,Lynx,Lynx canadensis,53
23,Acinonyx,Acinonyx jubatus,53
24,Prionailurus,Prionailurus viverrinus,53
25,Canis,Canis lupus familiaris,52
26,Vulpes,Vulpes lagopus,52
27,Vulpes,Vulpes vulpes,52
28,Mirounga,Mirounga leonina,51
29,Suricata,Suricata suricatta,51
30,Panthera,Panthera pardus,51
31,Leopardus,Leopardus geoffroyi,51
32,Panthera,Panthera leo,51
33,Panthera,Panthera tigris,51
34,Panthera,Panthera onca,51
35,Panthera,Panthera uncia,51
36,Mirounga,Mirounga angustirostris,51
37,Phoca,Phoca vitulina,50
38,Bos,Bos javanicus,49
39,Bos,Bos indicus,49
40,Bos,Bos indicus x Bos taurus,49
41,Bos,Bos taurus,49
42,Bison,Bison bison bison,49
43,Halichoerus,Halichoerus grypus,49
44,Sorex,Sorex araneus,49
45,Bos,Bos mutus,48
46,Sorex,Sorex fumeus,48
47,Sciurus,Sciurus carolinensis,48
48,Neophocaena,Neophocaena asiaeorientalis,48
49,Dipodomys,Dipodomys ordii,48
50,Hyaena,Hyaena hyaena,48
51,Mastomys,Mastomys coucha,47
52,Bubalus,Bubalus bubalis,47
53,Dama,Dama dama,47
54,Equus,Equus caballus,47
55,Equus,Equus quagga,47
56,Neomonachus,Neomonachus schauinslandi,47
57,Apodemus,Apodemus sylvaticus,47
58,Bubalus,Bubalus kerabau,47
59,Vicugna,Vicugna pacos,47
60,Arvicanthis,Arvicanthis niloticus,47
61,Grammomys,Grammomys surdaster,47
62,Manis,Manis pentadactyla,46
63,Cervus,Cervus elaphus,46
64,Dipodomys,Dipodomys spectabilis,46
65,Trichechus,Trichechus manatus latirostris,46
66,Cervus,Cervus canadensis,46
67,Erinaceus,Erinaceus europaeus,46
68,Rattus,Rattus rattus,46
69,Manis,Manis javanica,46
70,Capra,Capra hircus,46
71,Ovis,Ovis aries,46
72,Callithrix,Callithrix jacchus,45
73,Odocoileus,Odocoileus virginianus texanus,45
74,Equus,Equus asinus,45
75,Homo,Homo sapiens,45
76,Oryx,Oryx dammah,45
77,Macaca,Macaca nemestrina,44
78,Macaca,Macaca fascicularis,44
79,Gorilla,Gorilla gorilla gorilla,44
80,Rattus,Rattus norvegicus,44
81,Ictidomys,Ictidomys tridecemlineatus,44
82,Balaenoptera,Balaenoptera musculus,44
83,Phodopus,Phodopus roborovskii,44
84,Diceros,Diceros bicornis minor,44
85,Moschus,Moschus berezovskii,44
86,Mesocricetus,Mesocricetus auratus,44
87,Perognathus,Perognathus longimembris pacificus,44
88,Aotus,Aotus nancymaae,44
89,Sapajus,Sapajus apella,44
90,Urocitellus,Urocitellus parryii,44
91,Hippopotamus,Hippopotamus amphibius kiboko,44
92,Cebus,Cebus imitator,44
93,Camelus,Camelus dromedarius,44
94,Macaca,Macaca mulatta,44
95,Saimiri,Saimiri boliviensis boliviensis,44
96,Budorcas,Budorcas taxicolor,44
97,Macaca,Macaca thibetana thibetana,44
98,Phocoena,Phocoena sinus,44
99,Chlorocebus,Chlorocebus sabaeus,43
100,Monodon,Monodon monoceros,43
101,Pan,Pan troglodytes,43
102,Pteropus,Pteropus giganteus,43
103,Phacochoerus,Phacochoerus africanus,43
104,Hylobates,Hylobates moloch,43
105,Marmota,Marmota flaviventris,43
106,Rousettus,Rousettus aegyptiacus,43
107,Camelus,Camelus ferus,43
108,Marmota,Marmota marmota marmota,43
109,Symphalangus,Symphalangus syndactylus,43
110,Piliocolobus,Piliocolobus tephrosceles,43
111,Marmota,Marmota monax,43
112,Camelus,Camelus bactrianus,43
113,Propithecus,Propithecus coquereli,43
114,Carlito,Carlito syrichta,43
115,Pan,Pan paniscus,43
116,Balaenoptera,Balaenoptera ricei,43
117,Artibeus,Artibeus jamaicensis,43
118,Papio,Papio anubis,42
119,Theropithecus,Theropithecus gelada,42
120,Colobus,Colobus angolensis palliatus,42
121,Mus,Mus musculus,42
122,Trachypithecus,Trachypithecus francoisi,42
123,Psammomys,Psammomys obesus,42
124,Castor,Castor canadensis,42
125,Hipposideros,Hipposideros armiger,42
126,Cricetulus,Cricetulus griseus,42
127,Mus,Mus caroli,42
128,Delphinapterus,Delphinapterus leucas,42
129,Cercocebus,Cercocebus atys,42
130,Nomascus,Nomascus leucogenys,42
131,Rhinopithecus,Rhinopithecus bieti,42
132,Pongo,Pongo pygmaeus,42
133,Pongo,Pongo abelii,42
134,Microcebus,Microcebus murinus,42
135,Sturnira,Sturnira hondurensis,42
136,Mandrillus,Mandrillus leucophaeus,42
137,Suncus,Suncus etruscus,42
138,Pipistrellus,Pipistrellus kuhlii,42
139,Lemur,Lemur catta,42
140,Tupaia,Tupaia chinensis,42
141,Balaenoptera,Balaenoptera acutorostrata,42
142,Peromyscus,Peromyscus leucopus,42
143,Heterocephalus,Heterocephalus glaber,42
144,Rhinopithecus,Rhinopithecus roxellana,42
145,Sus,Sus scrofa,41
146,Meriones,Meriones unguiculatus,41
147,Oryctolagus,Oryctolagus cuniculus,41
148,Eubalaena,Eubalaena glacialis,41
149,Myotis,Myotis lucifugus,41
150,Sus,Sus scrofa domesticus,41
151,Peromyscus,Peromyscus californicus insignis,41
152,Onychomys,Onychomys torridus,41
153,Jaculus,Jaculus jaculus,41
154,Choloepus,Choloepus didactylus,41
155,Eptesicus,Eptesicus fuscus,41
156,Myotis,Myotis myotis,41
157,Peromyscus,Peromyscus maniculatus bairdii,40
158,Orycteropus,Orycteropus afer afer,40
159,Phyllostomus,Phyllostomus discolor,40
160,Physeter,Physeter catodon,40
161,Nycticebus,Nycticebus coucang,40
162,Ochotona,Ochotona princeps,40
163,Kogia,Kogia breviceps,40
164,Desmodus,Desmodus rotundus,40
165,Lepus,Lepus europaeus,40
166,Nannospalax,Nannospalax galili,40
167,Myotis,Myotis daubentonii,40
168,Talpa,Talpa occidentalis,39
169,Otolemur,Otolemur garnettii,39
170,Arvicola,Arvicola amphibius,39
171,Myodes,Myodes glareolus,39
172,Fukomys,Fukomys damarensis,39
173,Rhinolophus,Rhinolophus ferrumequinum,39
174,Chinchilla,Chinchilla lanigera,39
175,Microtus,Microtus fortis,39
176,Loxodonta,Loxodonta africana,39
177,Orcinus,Orcinus orca,38
178,Pteronotus,Pteronotus parnellii mesoamericanus,38
179,Chionomys,Chionomys nivalis,38
180,Microtus,Microtus ochrogaster,38
181,Condylura,Condylura cristata,38
182,Galeopterus,Galeopterus variegatus,38
183,Microtus,Microtus oregoni,38
184,Elephas,Elephas maximus indicus,38
185,Ochotona,Ochotona curzoniae,38
186,Globicephala,Globicephala melas,38
187,Phyllostomus,Phyllostomus hastatus,38
188,Cynocephalus,Cynocephalus volans,37
189,Molossus,Molossus molossus,37
190,Delphinus,Delphinus delphis,37
191,Lagenorhynchus,Lagenorhynchus obliquidens,37
192,Lagenorhynchus,Lagenorhynchus albirostris,37
193,Acomys,Acomys russatus,37
194,Octodon,Octodon degus,37
195,Rhinolophus,Rhinolophus sinicus,37
196,Tursiops,Tursiops truncatus,37
197,Miniopterus,Miniopterus natalensis,36
198,Echinops,Echinops telfairi,35
199,Mesoplodon,Mesoplodon densirostris,35
200,Dasypus,Dasypus novemcinctus,34
201,Cavia,Cavia porcellus,33
