,GENUS,SPECIES,Match
0,Mustela,Mustela lutreola,74
1,Mustela,Mustela nigripes,74
2,Neogale,Neogale vison,74
3,Lutra,Lutra lutra,74
4,Mustela,Mustela erminea,74
5,Mustela,Mustela putorius furo,74
6,Meles,Meles meles,72
7,Lontra,Lontra canadensis,71
8,Eumetopias,Eumetopias jubatus,70
9,Callorhinus,Callorhinus ursinus,70
10,Ailuropoda,Ailuropoda melanoleuca,70
11,Zalophus,Zalophus californianus,70
12,Ursus,Ursus americanus,69
13,Ursus,Ursus maritimus,69
14,Ursus,Ursus arctos,69
15,Lynx,Lynx rufus,68
16,Prionailurus,Prionailurus bengalensis,68
17,Felis,Felis catus,68
18,Lynx,Lynx canadensis,68
19,Prionailurus,Prionailurus viverrinus,68
20,Acinonyx,Acinonyx jubatus,68
21,Odobenus,Odobenus rosmarus divergens,68
22,Vulpes,Vulpes vulpes,68
23,Neofelis,Neofelis nebulosa,68
24,Vulpes,Vulpes lagopus,67
25,Phoca,Phoca vitulina,67
26,Mirounga,Mirounga leonina,67
27,Mirounga,Mirounga angustirostris,66
28,Panthera,Panthera uncia,66
29,Nyctereutes,Nyctereutes procyonoides,66
30,Suricata,Suricata suricatta,66
31,Panthera,Panthera leo,66
32,Panthera,Panthera onca,66
33,Canis,Canis lupus dingo,66
34,Panthera,Panthera pardus,66
35,Halichoerus,Halichoerus grypus,65
36,Canis,Canis lupus familiaris,65
37,Leopardus,Leopardus geoffroyi,64
38,Panthera,Panthera tigris,64
39,Bos,Bos taurus,64
40,Bos,Bos javanicus,64
41,Manis,Manis pentadactyla,64
42,Bos,Bos indicus x Bos taurus,64
43,Diceros,Diceros bicornis minor,64
44,Bos,Bos indicus,64
45,Bison,Bison bison bison,64
46,Sorex,Sorex fumeus,63
47,Bubalus,Bubalus bubalis,63
48,Bos,Bos mutus,63
49,Bubalus,Bubalus kerabau,63
50,Saimiri,Saimiri boliviensis boliviensis,63
51,Neomonachus,Neomonachus schauinslandi,62
52,Hyaena,Hyaena hyaena,62
53,Vicugna,Vicugna pacos,62
54,Phodopus,Phodopus roborovskii,62
55,Sorex,Sorex araneus,62
56,Papio,Papio anubis,62
57,Manis,Manis javanica,62
58,Artibeus,Artibeus jamaicensis,61
59,Perognathus,Perognathus longimembris pacificus,61
60,Equus,Equus quagga,61
61,Equus,Equus caballus,61
62,Homo,Homo sapiens,61
63,Camelus,Camelus dromedarius,61
64,Piliocolobus,Piliocolobus tephrosceles,61
65,Colobus,Colobus angolensis palliatus,61
66,Chlorocebus,Chlorocebus sabaeus,61
67,Sturnira,Sturnira hondurensis,60
68,Rhinopithecus,Rhinopithecus roxellana,60
69,Budorcas,Budorcas taxicolor,60
70,Camelus,Camelus bactrianus,60
71,Cervus,Cervus canadensis,60
72,Sus,Sus scrofa domesticus,60
73,Cebus,Cebus imitator,60
74,Rhinopithecus,Rhinopithecus bieti,60
75,Cervus,Cervus elaphus,60
76,Trachypithecus,Trachypithecus francoisi,60
77,Mandrillus,Mandrillus leucophaeus,60
78,Moschus,Moschus berezovskii,60
79,Pipistrellus,Pipistrellus kuhlii,60
80,Camelus,Camelus ferus,60
81,Dama,Dama dama,60
82,Urocitellus,Urocitellus parryii,60
83,Theropithecus,Theropithecus gelada,60
84,Phacochoerus,Phacochoerus africanus,60
85,Cercocebus,Cercocebus atys,60
86,Sus,Sus scrofa,60
87,Sapajus,Sapajus apella,59
88,Ictidomys,Ictidomys tridecemlineatus,59
89,Hippopotamus,Hippopotamus amphibius kiboko,59
90,Hylobates,Hylobates moloch,59
91,Equus,Equus asinus,59
92,Sciurus,Sciurus carolinensis,59
93,Cricetulus,Cricetulus griseus,59
94,Mesocricetus,Mesocricetus auratus,59
95,Pongo,Pongo abelii,58
96,Ovis,Ovis aries,58
97,Callithrix,Callithrix jacchus,58
98,Marmota,Marmota marmota marmota,58
99,Capra,Capra hircus,58
100,Myotis,Myotis lucifugus,58
101,Tupaia,Tupaia chinensis,58
102,Macaca,Macaca thibetana thibetana,58
103,Dipodomys,Dipodomys ordii,58
104,Odocoileus,Odocoileus virginianus texanus,58
105,Symphalangus,Symphalangus syndactylus,58
106,Gorilla,Gorilla gorilla gorilla,58
107,Marmota,Marmota monax,58
108,Macaca,Macaca nemestrina,58
109,Marmota,Marmota flaviventris,58
110,Macaca,Macaca fascicularis,58
111,Nomascus,Nomascus leucogenys,58
112,Aotus,Aotus nancymaae,57
113,Hipposideros,Hipposideros armiger,57
114,Eptesicus,Eptesicus fuscus,57
115,Castor,Castor canadensis,57
116,Myotis,Myotis myotis,57
117,Oryx,Oryx dammah,57
118,Pan,Pan troglodytes,57
119,Pongo,Pongo pygmaeus,57
120,Pan,Pan paniscus,57
121,Microcebus,Microcebus murinus,57
122,Neophocaena,Neophocaena asiaeorientalis,57
123,Macaca,Macaca mulatta,57
124,Oryctolagus,Oryctolagus cuniculus,57
125,Desmodus,Desmodus rotundus,57
126,Rousettus,Rousettus aegyptiacus,56
127,Microtus,Microtus fortis,56
128,Myotis,Myotis daubentonii,56
129,Phyllostomus,Phyllostomus discolor,56
130,Arvicola,Arvicola amphibius,56
131,Carlito,Carlito syrichta,56
132,Trichechus,Trichechus manatus latirostris,56
133,Chionomys,Chionomys nivalis,56
134,Dipodomys,Dipodomys spectabilis,56
135,Propithecus,Propithecus coquereli,56
136,Lemur,Lemur catta,56
137,Myodes,Myodes glareolus,56
138,Grammomys,Grammomys surdaster,55
139,Otolemur,Otolemur garnettii,55
140,Microtus,Microtus oregoni,55
141,Phyllostomus,Phyllostomus hastatus,55
142,Rhinolophus,Rhinolophus ferrumequinum,55
143,Erinaceus,Erinaceus europaeus,55
144,Microtus,Microtus ochrogaster,55
145,Choloepus,Choloepus didactylus,55
146,Lepus,Lepus europaeus,55
147,Jaculus,Jaculus jaculus,54
148,Apodemus,Apodemus sylvaticus,54
149,Arvicanthis,Arvicanthis niloticus,54
150,Phocoena,Phocoena sinus,54
151,Ochotona,Ochotona curzoniae,54
152,Nycticebus,Nycticebus coucang,54
153,Rhinolophus,Rhinolophus sinicus,54
154,Loxodonta,Loxodonta africana,54
155,Molossus,Molossus molossus,54
156,Mastomys,Mastomys coucha,54
157,Galeopterus,Galeopterus variegatus,53
158,Talpa,Talpa occidentalis,53
159,Condylura,Condylura cristata,53
160,Psammomys,Psammomys obesus,53
161,Elephas,Elephas maximus indicus,53
162,Mus,Mus caroli,52
163,Cynocephalus,Cynocephalus volans,52
164,Rattus,Rattus norvegicus,52
165,Pteropus,Pteropus giganteus,52
166,Ochotona,Ochotona princeps,52
167,Rattus,Rattus rattus,52
168,Onychomys,Onychomys torridus,52
169,Heterocephalus,Heterocephalus glaber,52
170,Pteronotus,Pteronotus parnellii mesoamericanus,52
171,Peromyscus,Peromyscus maniculatus bairdii,52
172,Mus,Mus musculus,52
173,Nannospalax,Nannospalax galili,51
174,Suncus,Suncus etruscus,51
175,Physeter,Physeter catodon,51
176,Kogia,Kogia breviceps,51
177,Meriones,Meriones unguiculatus,51
178,Monodon,Monodon monoceros,51
179,Peromyscus,Peromyscus californicus insignis,51
180,Peromyscus,Peromyscus leucopus,51
181,Balaenoptera,Balaenoptera musculus,51
182,Eubalaena,Eubalaena glacialis,50
183,Globicephala,Globicephala melas,50
184,Miniopterus,Miniopterus natalensis,50
185,Delphinapterus,Delphinapterus leucas,50
186,Fukomys,Fukomys damarensis,50
187,Chinchilla,Chinchilla lanigera,50
188,Echinops,Echinops telfairi,48
189,Orcinus,Orcinus orca,48
190,Acomys,Acomys russatus,47
191,Octodon,Octodon degus,47
192,Mesoplodon,Mesoplodon densirostris,47
193,Delphinus,Delphinus delphis,47
194,Lagenorhynchus,Lagenorhynchus obliquidens,47
195,Tursiops,Tursiops truncatus,47
196,Lagenorhynchus,Lagenorhynchus albirostris,47
197,Orycteropus,Orycteropus afer afer,47
198,Dasypus,Dasypus novemcinctus,47
199,Balaenoptera,Balaenoptera ricei,46
200,Balaenoptera,Balaenoptera acutorostrata,46
201,Cavia,Cavia porcellus,44
