,GENUS,SPECIES,Match
0,Mustela,Mustela erminea,76
1,Mustela,Mustela lutreola,76
2,Mustela,Mustela putorius furo,76
3,Mustela,Mustela nigripes,76
4,Neogale,Neogale vison,76
5,Lutra,Lutra lutra,75
6,Meles,Meles meles,74
7,Lontra,Lontra canadensis,72
8,Felis,Felis catus,72
9,Ursus,Ursus americanus,71
10,Vulpes,Vulpes vulpes,71
11,Lynx,Lynx canadensis,71
12,Ailuropoda,Ailuropoda melanoleuca,71
13,Neofelis,Neofelis nebulosa,71
14,Prionailurus,Prionailurus bengalensis,71
15,Prionailurus,Prionailurus viverrinus,71
16,Acinonyx,Acinonyx jubatus,71
17,Ursus,Ursus maritimus,71
18,Ursus,Ursus arctos,71
19,Vulpes,Vulpes lagopus,71
20,Lynx,Lynx rufus,71
21,Nyctereutes,Nyctereutes procyonoides,70
22,Callorhinus,Callorhinus ursinus,70
23,Eumetopias,Eumetopias jubatus,70
24,Canis,Canis lupus dingo,70
25,Canis,Canis lupus familiaris,69
26,Panthera,Panthera onca,69
27,Panthera,Panthera uncia,69
28,Panthera,Panthera leo,69
29,Zalophus,Zalophus californianus,69
30,Leopardus,Leopardus geoffroyi,68
31,Suricata,Suricata suricatta,68
32,Panthera,Panthera pardus,68
33,Mirounga,Mirounga angustirostris,67
34,Sorex,Sorex araneus,67
35,Odobenus,Odobenus rosmarus divergens,66
36,Mirounga,Mirounga leonina,66
37,Panthera,Panthera tigris,66
38,Phoca,Phoca vitulina,66
39,Manis,Manis pentadactyla,65
40,Sorex,Sorex fumeus,65
41,Manis,Manis javanica,64
42,Halichoerus,Halichoerus grypus,64
43,Hyaena,Hyaena hyaena,64
44,Papio,Papio anubis,64
45,Piliocolobus,Piliocolobus tephrosceles,64
46,Colobus,Colobus angolensis palliatus,63
47,Chlorocebus,Chlorocebus sabaeus,63
48,Phodopus,Phodopus roborovskii,63
49,Rhinopithecus,Rhinopithecus bieti,63
50,Trachypithecus,Trachypithecus francoisi,63
51,Cebus,Cebus imitator,63
52,Mandrillus,Mandrillus leucophaeus,62
53,Rhinopithecus,Rhinopithecus roxellana,62
54,Sapajus,Sapajus apella,62
55,Diceros,Diceros bicornis minor,62
56,Cercocebus,Cercocebus atys,62
57,Theropithecus,Theropithecus gelada,62
58,Saimiri,Saimiri boliviensis boliviensis,62
59,Homo,Homo sapiens,61
