,GENUS,SPECIES,Match
0,Vulpes,Vulpes vulpes,103
1,Vulpes,Vulpes lagopus,103
2,Canis,Canis lupus dingo,103
3,Nyctereutes,Nyctereutes procyonoides,102
4,Prionailurus,Prionailurus viverrinus,101
5,Lynx,Lynx rufus,101
6,Prionailurus,Prionailurus bengalensis,101
7,Acinonyx,Acinonyx jubatus,101
8,Lynx,Lynx canadensis,101
9,Neofelis,Neofelis nebulosa,101
10,Felis,Felis catus,100
11,Panthera,Panthera leo,100
12,Panthera,Panthera onca,100
13,Panthera,Panthera uncia,100
14,Mustela,Mustela nigripes,99
15,Ailuropoda,Ailuropoda melanoleuca,99
16,Mustela,Mustela putorius furo,99
17,Neogale,Neogale vison,99
18,Canis,Canis lupus familiaris,99
19,Panthera,Panthera tigris,99
20,Mustela,Mustela erminea,99
21,Mustela,Mustela lutreola,99
22,Ursus,Ursus americanus,98
23,Leopardus,Leopardus geoffroyi,98
24,Ursus,Ursus arctos,98
25,Ursus,Ursus maritimus,98
26,Lutra,Lutra lutra,98
27,Panthera,Panthera pardus,96
28,Suricata,Suricata suricatta,96
29,Lontra,Lontra canadensis,94
30,Eumetopias,Eumetopias jubatus,94
31,Meles,Meles meles,94
32,Callorhinus,Callorhinus ursinus,94
33,Hyaena,Hyaena hyaena,92
34,Odobenus,Odobenus rosmarus divergens,90
35,Zalophus,Zalophus californianus,90
36,Phoca,Phoca vitulina,90
37,Equus,Equus quagga,89
38,Equus,Equus caballus,89
39,Diceros,Diceros bicornis minor,89
40,Neomonachus,Neomonachus schauinslandi,88
41,Dipodomys,Dipodomys ordii,88
42,Bos,Bos javanicus,87
43,Bos,Bos indicus,87
44,Halichoerus,Halichoerus grypus,87
45,Manis,Manis pentadactyla,87
46,Kogia,Kogia breviceps,87
47,Bison,Bison bison bison,87
48,Equus,Equus asinus,87
49,Bos,Bos taurus,87
50,Bos,Bos indicus x Bos taurus,87
51,Manis,Manis javanica,86
52,Bos,Bos mutus,86
