,GENUS,SPECIES,Match
0,Castor,Castor canadensis,50
1,Dipodomys,Dipodomys ordii,50
2,Dipodomys,Dipodomys spectabilis,49
3,Equus,Equus quagga,48
4,Equus,Equus caballus,48
5,Equus,Equus asinus,48
6,Budorcas,Budorcas taxicolor,48
7,Capra,Capra hircus,47
8,Pongo,Pongo pygmaeus,47
9,Ovis,Ovis aries,47
10,Gorilla,Gorilla gorilla gorilla,46
11,Delphinapterus,Delphinapterus leucas,46
12,Hippopotamus,Hippopotamus amphibius kiboko,46
13,Homo,Homo sapiens,46
14,Cervus,Cervus canadensis,46
15,Nomascus,Nomascus leucogenys,46
16,Kogia,Kogia breviceps,46
17,Cervus,Cervus elaphus,46
18,Dama,Dama dama,46
19,Oryx,Oryx dammah,46
20,Pongo,Pongo abelii,46
21,Monodon,Monodon monoceros,46
22,Odocoileus,Odocoileus virginianus texanus,46
23,Lemur,Lemur catta,45
24,Physeter,Physeter catodon,45
25,Hylobates,Hylobates moloch,45
26,Pipistrellus,Pipistrellus kuhlii,45
27,Symphalangus,Symphalangus syndactylus,45
28,Pan,Pan troglodytes,45
29,Sciurus,Sciurus carolinensis,45
30,Urocitellus,Urocitellus parryii,45
31,Pan,Pan paniscus,45
32,Marmota,Marmota marmota marmota,44
33,Camelus,Camelus bactrianus,44
34,Tupaia,Tupaia chinensis,44
35,Bos,Bos indicus x Bos taurus,44
36,Propithecus,Propithecus coquereli,44
37,Callithrix,Callithrix jacchus,44
38,Bos,Bos taurus,44
39,Acinonyx,Acinonyx jubatus,44
40,Prionailurus,Prionailurus bengalensis,44
41,Panthera,Panthera leo,44
42,Desmodus,Desmodus rotundus,44
43,Bos,Bos javanicus,44
44,Chinchilla,Chinchilla lanigera,44
45,Panthera,Panthera uncia,44
46,Choloepus,Choloepus didactylus,44
47,Phyllostomus,Phyllostomus discolor,44
48,Lontra,Lontra canadensis,44
49,Panthera,Panthera onca,44
50,Mandrillus,Mandrillus leucophaeus,44
51,Galeopterus,Galeopterus variegatus,44
52,Bison,Bison bison bison,44
53,Rhinopithecus,Rhinopithecus roxellana,44
54,Bubalus,Bubalus bubalis,44
55,Marmota,Marmota monax,44
56,Lynx,Lynx canadensis,44
57,Bos,Bos indicus,44
58,Lepus,Lepus europaeus,44
59,Prionailurus,Prionailurus viverrinus,44
60,Ochotona,Ochotona princeps,44
61,Microcebus,Microcebus murinus,44
62,Marmota,Marmota flaviventris,44
63,Neofelis,Neofelis nebulosa,44
64,Cercocebus,Cercocebus atys,44
65,Papio,Papio anubis,44
66,Felis,Felis catus,44
67,Bubalus,Bubalus kerabau,44
68,Cynocephalus,Cynocephalus volans,44
69,Heterocephalus,Heterocephalus glaber,44
70,Lynx,Lynx rufus,44
71,Saimiri,Saimiri boliviensis boliviensis,44
72,Camelus,Camelus ferus,44
73,Leopardus,Leopardus geoffroyi,44
74,Colobus,Colobus angolensis palliatus,44
75,Trachypithecus,Trachypithecus francoisi,43
76,Ailuropoda,Ailuropoda melanoleuca,43
77,Arvicanthis,Arvicanthis niloticus,43
78,Nannospalax,Nannospalax galili,43
