,species,genus,subfamily,family,order,Match,Maximum Possible
0,Canis lupus dingo,Canis,,Canidae,Carnivora,160,241
1,Vulpes vulpes,Vulpes,,Canidae,Carnivora,159,241
2,Nyctereutes procyonoides,Nyctereutes,,Canidae,Carnivora,159,241
3,Vulpes lagopus,Vulpes,,Canidae,Carnivora,159,241
4,Canis lupus familiaris,Canis,,Canidae,Carnivora,157,241
5,Panthera onca,Panthera,Pantherinae,Felidae,Carnivora,153,241
6,Panthera leo,Panthera,Pantherinae,Felidae,Carnivora,153,241
7,Panthera uncia,Panthera,Pantherinae,Felidae,Carnivora,153,241
8,Panthera tigris,Panthera,Pantherinae,Felidae,Carnivora,152,241
9,Lynx canadensis,Lynx,Felinae,Felidae,Carnivora,151,241
10,Prionailurus viverrinus,Prionailurus,Felinae,Felidae,Carnivora,151,241
11,Leopardus geoffroyi,Leopardus,Felinae,Felidae,Carnivora,151,241
12,Lynx rufus,Lynx,Felinae,Felidae,Carnivora,151,241
13,Prionailurus bengalensis,Prionailurus,Felinae,Felidae,Carnivora,151,241
14,Acinonyx jubatus,Acinonyx,Felinae,Felidae,Carnivora,151,241
15,Felis catus,Felis,Felinae,Felidae,Carnivora,150,241
16,Neofelis nebulosa,Neofelis,Pantherinae,Felidae,Carnivora,150,241
17,Ursus arctos,Ursus,,Ursidae,Carnivora,148,241
18,Ursus americanus,Ursus,,Ursidae,Carnivora,148,241
19,Suricata suricatta,Suricata,,Herpestidae,Carnivora,148,241
20,Ailuropoda melanoleuca,Ailuropoda,,Ursidae,Carnivora,148,241
21,Ursus maritimus,Ursus,,Ursidae,Carnivora,147,241
22,Panthera pardus,Panthera,Pantherinae,Felidae,Carnivora,147,241
23,Hyaena hyaena,Hyaena,,Hyaenidae,Carnivora,144,241
24,Neogale vison,Neogale,Mustelinae,Mustelidae,Carnivora,143,241
25,Mustela lutreola,Mustela,Mustelinae,Mustelidae,Carnivora,143,241
26,Lutra lutra,Lutra,Lutrinae,Mustelidae,Carnivora,143,241
27,Mustela nigripes,Mustela,Mustelinae,Mustelidae,Carnivora,143,241
28,Mustela erminea,Mustela,Mustelinae,Mustelidae,Carnivora,143,241
29,Mustela putorius furo,Mustela,Mustelinae,Mustelidae,Carnivora,143,241
30,Lontra canadensis,Lontra,Lutrinae,Mustelidae,Carnivora,141,241
31,Manis javanica,Manis,,Manidae,Pholidota,140,241
32,Meles meles,Meles,Melinae,Mustelidae,Carnivora,140,241
33,Odobenus rosmarus divergens,Odobenus,,Odobenidae,Carnivora,139,241
34,Callorhinus ursinus,Callorhinus,,Otariidae,Carnivora,139,241
35,Cynocephalus volans,Cynocephalus,,Cynocephalidae,Dermoptera,138,241
36,Eumetopias jubatus,Eumetopias,,Otariidae,Carnivora,137,241
37,Manis pentadactyla,Manis,,Manidae,Pholidota,137,241
38,Diceros bicornis minor,Diceros,,Rhinocerotidae,Perissodactyla,137,241
39,Phacochoerus africanus,Phacochoerus,,Suidae,Artiodactyla,137,241
40,Galeopterus variegatus,Galeopterus,,Cynocephalidae,Dermoptera,136,241
41,Phoca vitulina,Phoca,Phocinae,Phocidae,Carnivora,135,241
42,Bos indicus,Bos,Bovinae,Bovidae,Artiodactyla,134,241
43,Bison bison bison,Bison,Bovinae,Bovidae,Artiodactyla,134,241
44,Rhinopithecus roxellana,Rhinopithecus,Colobinae,Cercopithecidae,Primates,134,241
45,Zalophus californianus,Zalophus,,Otariidae,Carnivora,134,241
46,Bos javanicus,Bos,Bovinae,Bovidae,Artiodactyla,134,241
47,Bubalus kerabau,Bubalus,Bovinae,Bovidae,Artiodactyla,134,241
48,Bubalus bubalis,Bubalus,Bovinae,Bovidae,Artiodactyla,134,241
49,Bos taurus,Bos,Bovinae,Bovidae,Artiodactyla,134,241
50,Bos indicus x Bos taurus,Bos,Bovinae,Bovidae,Artiodactyla,134,241
51,Equus quagga,Equus,,Equidae,Perissodactyla,133,241
52,Mirounga angustirostris,Mirounga,Monachinae,Phocidae,Carnivora,133,241
53,Halichoerus grypus,Halichoerus,Phocinae,Phocidae,Carnivora,133,241
54,Bos mutus,Bos,Bovinae,Bovidae,Artiodactyla,133,241
55,Hippopotamus amphibius kiboko,Hippopotamus,,Hippopotamidae,Artiodactyla,133,241
56,Sus scrofa domesticus,Sus,,Suidae,Artiodactyla,132,241
57,Piliocolobus tephrosceles,Piliocolobus,Colobinae,Cercopithecidae,Primates,132,241
58,Talpa occidentalis,Talpa,,Talpidae,Eulipotyphla,132,241
59,Sus scrofa,Sus,,Suidae,Artiodactyla,132,241
60,Papio anubis,Papio,Cercopithecinae,Cercopithecidae,Primates,132,241
61,Colobus angolensis palliatus,Colobus,Colobinae,Cercopithecidae,Primates,132,241
62,Rhinopithecus bieti,Rhinopithecus,Colobinae,Cercopithecidae,Primates,132,241
63,Tupaia chinensis,Tupaia,,Tupaiidae,Scandentia,132,241
64,Equus caballus,Equus,,Equidae,Perissodactyla,132,241
65,Neomonachus schauinslandi,Neomonachus,Monachinae,Phocidae,Carnivora,131,241
66,Sciurus carolinensis,Sciurus,Sciurinae,Sciuridae,Rodentia,131,241
67,Rousettus aegyptiacus,Rousettus,Rousettinae,Pteropodidae,Chiroptera,131,241
68,Mandrillus leucophaeus,Mandrillus,Cercopithecinae,Cercopithecidae,Primates,131,241
69,Erinaceus europaeus,Erinaceus,Erinaceinae,Erinaceidae,Eulipotyphla,131,241
70,Pteropus giganteus,Pteropus,Pteropodinae,Pteropodidae,Chiroptera,131,241
71,Loxodonta africana,Loxodonta,,Elephantidae,Proboscidea,131,241
72,Macaca mulatta,Macaca,Cercopithecinae,Cercopithecidae,Primates,131,241
73,Equus asinus,Equus,,Equidae,Perissodactyla,131,241
74,Cercocebus atys,Cercocebus,Cercopithecinae,Cercopithecidae,Primates,131,241
